hours,wage,kidslt6,age,educ,exper,nwifeinc
2640,2.2727001,0,51,12,16,16.65007
240,2.6375,0,30,12,6,6.3520002
1173,2.2899001,0,46,12,12,27.31395
3640,1.0989,0,58,12,32,14.5
340,1.1765,0,37,12,15,16.25799
500,1.6,0,52,8,17,9.5
1599,1.8762,0,52,10,34,7.9999561
1830,4.0437002,0,31,16,9,12.50003
1920,9.6353998,0,55,14,37,14.00003
2052,8.0409002,0,34,17,10,20.80007
2312,4.599,0,55,14,35,19.385111
196,2.1429,0,39,12,6,12.38699
2500,4.4000001,0,40,14,19,28.5
1980,3.5353999,0,43,12,10,15.04991
1840,2.7174001,0,48,8,11,10.49998
320,6.25,0,47,12,15,11.81
419,11.933,0,41,12,12,6.9500728
1880,3.5931001,0,36,8,12,12.41997
72,6.9443998,0,46,17,14,17.4
120,2.9166999,0,34,12,11,15.5
1885,3.0769,0,41,12,9,21.217039
240,3.75,0,51,12,24,18
1729,5.7259002,0,33,12,12,11.89992
1850,3.6756999,0,52,12,13,26.751961
2033,5.1648002,0,58,9,29,12.14996
608,8.2236996,2,34,10,11,10.19999
1153,4.3365002,0,31,12,13,8.1200151
2208,4.9819002,0,48,12,19,10.65996
252,.35710001,0,32,12,2,18.10001
337,2.9674001,0,49,17,24,8.5999861
90,1,2,32,15,9,13.665
1174,2.5553999,0,58,12,6,32.34996
372,.86019999,0,50,6,22,12.08501
30,1,0,60,14,30,12.15
1800,2.9261,0,50,12,10,17.695021
282,3.5460999,0,56,14,6,24.700001
720,1.6264,0,51,9,29,2.133992
1440,8.3332996,0,54,17,29,20.95005
2100,3.0952001,0,59,13,36,10.50008
1000,2.7,0,46,9,19,10.55
952,5.2521,0,46,15,8,45.75
1413,1.4154,1,39,12,13,13.63204
2100,4.7986002,0,44,12,16,18.238939
120,1.6667,2,33,12,11,17.09
3000,1.1217,1,33,12,15,30.2349
1000,.5,0,48,12,6,28.700001
336,.71429998,0,31,12,13,19.629999
1216,2.7960999,0,45,12,22,12.82494
988,4.8583002,0,45,12,24,23.799999
2581,1.7435,0,32,13,2,26.30003
2030,2.4631,0,47,12,6,20.699909
413,2.4212999,0,34,13,2,26
782,1.5345,0,37,12,2,10.87702
1388,2.8817999,0,36,12,14,25.612061
1450,2.4068999,1,47,12,9,20.988991
1720,5.2326002,0,48,16,11,70.749931
800,3.75,0,42,12,9,17.049999
360,1.3889,0,33,13,6,21
2000,4,0,46,11,19,8.1199999
1176,3.2313001,0,47,12,26,20.88599
2058,3.4014001,0,44,12,19,17.668921
900,1.3333,0,36,12,3,25.200029
215,9.3023005,2,31,17,7,14.24501
2000,4.5,0,55,14,28,14.3
757,4.6234999,0,45,16,13,23.70001
1264,3.9556999,0,47,17,9,46
2064,5.8140001,0,46,12,15,42.999901
1280,.5,0,49,11,20,14.749
1715,4.0816002,0,49,12,29,16.150049
2000,6,0,45,12,9,17.774
12,3.6666999,1,38,17,1,91
1528,3.8613,0,47,10,8,22.299931
561,2.7629001,0,54,13,19,34.60001
2058,2.931,0,41,11,23,9.6200018
1823,4.3884001,0,43,12,3,10.89995
1680,5.4166999,1,31,16,13,14.49994
1440,9.8611002,0,47,17,8,22.000019
4950,.16159999,0,35,12,17,17.90008
1176,.38260001,0,45,16,4,23.67506
1100,3.6364,1,33,12,15,11.79996
1516,2.3747001,0,54,16,11,16.141951
900,4.6666999,0,35,8,7,18.399969
1080,1.8519,1,31,12,0,15.49995
480,5.1999998,0,55,12,0,17.323999
288,3.2986,0,34,12,10,19.205
1875,8.5333004,0,38,13,8,21.30006
630,2.0634999,0,45,11,2,23.559999
234,2.5641,0,47,12,4,20.85
1600,2.1875,0,39,12,6,26.15
960,6.25,1,36,14,18,17
120,3.3333001,1,33,12,3,20.719999
2025,4.4443998,0,50,12,22,17.00009
1809,6.6335001,0,58,12,33,16
3087,8.4224005,0,49,17,28,19.50005
910,4.3955998,0,41,14,23,12
1840,2.4456999,0,51,12,27,13.73191
784,1.2244999,0,53,9,11,27.199989
400,1.625,1,36,12,6,5.3150001
1000,3,0,46,12,11,16
1904,4.7269001,0,36,12,14,27.871981
1771,1.1293,0,53,14,17,40.000011
1486,7.4024,0,40,16,17,15.90003
740,4.4594998,0,42,17,14,27.499969
1820,2.4725001,1,33,15,11,17.02005
1275,1.8824,0,43,12,7,22.394939
450,4,1,31,16,8,11.1
1221,8.1899996,0,47,17,6,32.700008
1550,7.0967999,0,54,17,8,27.799959
180,1.6667,1,33,12,4,2.1999941
2090,3.4449999,0,43,16,25,19.720949
1960,4.2347002,0,46,13,24,9.9999876
1440,2.7778001,0,35,12,11,13.19997
794,1.8892,0,37,11,19,12.70897
993,5.0352001,0,37,16,9,27.300051
160,1.25,0,34,14,19,21.200001
105,2.8571,1,43,16,14,14.4
1200,4.1167002,0,46,12,22,20.57596
450,1.7778,0,35,9,6,12.49999
996,13.554,0,46,17,23,17.500219
1052,4.5626998,0,46,14,15,44.000038
1128,2.1277001,0,43,12,6,13.11895
1840,2.9891,0,30,12,11,14.00006
1910,2.5653999,0,41,11,2,9.6450863
980,5.6121998,0,54,12,22,17.397051
2317,2.8053999,0,31,12,10,7.7998891
1089,1.607,0,44,10,14,13.13398
800,2.25,0,32,12,12,25.6
1230,2.0325,0,47,5,9,13.90003
1158,5.5320001,0,46,17,13,19.297939
2272,1.5845,0,37,11,18,9.200016
528,3.7879,0,51,12,8,37.999989
1000,3,0,49,12,11,44
520,8.6538,0,36,14,9,21.372021
760,4.2104998,0,39,11,9,23.66802
1920,4.6875,0,48,12,14,9
1220,4.0984001,0,38,14,9,25.199949
200,25,0,40,12,2,21.219999
2480,2.6331,1,39,10,12,33.96991
2750,6,0,37,16,15,17.07
2014,5.4126,0,49,13,11,6.0160241
1355,.66420001,0,33,12,7,17.10001
80,1.25,0,30,12,9,8.2370005
1670,2.2753999,0,54,12,19,13.30008
520,3.4614999,0,39,11,11,16.000019
288,4.1666999,0,43,12,8,12.53999
2014,4.4686999,0,31,9,13,18.00004
800,1.75,0,33,13,4,31.200001
1984,3.6694,0,40,12,7,20.74991
1823,6.5826001,0,36,12,19,11.09992
1500,2.5999999,0,51,12,14,20.68
2261,4.8650999,0,44,13,14,18.00001
1728,5.7870002,0,42,16,3,32.430069
1960,4.5408001,0,40,12,9,32.900028
1578,9.5057001,1,34,16,7,24.10001
1316,10.638,0,30,17,7,17.80039
1530,1.1111,0,54,12,14,20.500019
2220,4.0541,0,51,12,29,10.4999
1336,2.6870999,0,44,9,19,10.43703
1008,2.9762001,0,43,12,14,18.19499
1944,3.1728001,0,34,12,16,12.84508
2000,3.55,0,45,13,10,13.8
258,17.907,0,39,12,12,22.200001
1785,3.4173999,0,50,12,24,6.6999412
480,3.3333001,0,52,12,6,6.2500162
772,3.8859999,0,41,12,9,15.60001
900,2.3111,0,59,10,14,3.30001
1428,1.7108001,0,52,12,26,3.6709781
210,2.1143,0,46,16,7,7.7899971
239,9.9330997,1,41,12,4,18.27199
1878,3.0276999,0,33,11,15,10.95398
215,1.8605,0,45,12,23,13.49999
2340,.12819999,1,36,10,1,11.20001
1960,6.6327,0,48,12,29,20.99991
532,5.6391001,0,47,12,9,25.700001
394,1.599,0,45,12,6,8.9329939
675,2.6666999,0,37,12,11,19.159981
1515,7.9208002,0,46,16,17,26.589991
1030,5.3397999,0,43,17,6,22.400009
1250,4,0,42,12,7,20.632999
1158,6.0448999,1,34,17,2,28.20001
112,6.25,0,52,12,24,28.799999
336,2.9762001,0,37,12,4,8.9999971
1984,4.2339001,0,37,12,11,11.39994
716,3.4916,0,52,8,25,10.40001
1410,4.9645,1,30,12,11,19.080059
1300,2.7692001,0,31,13,2,9.4660397
1640,3.6585,0,38,12,19,6.5000601
1202,5.3934999,0,43,12,7,29.11701
489,.65640002,0,49,8,2,19.10302
2076,4.7687998,0,55,12,20,16.34997
526,8.5551004,0,38,17,10,32.025021
1721,10.459,0,52,17,19,16.70006
1327,2.6375,0,48,12,17,4.811038
584,6.8492999,0,32,13,12,24.626011
1376,5.0872002,0,32,12,11,17.400009
1040,.96149999,0,38,12,6,13.02504
548,4.3066001,0,46,12,10,19.006981
15,7.0667,0,40,12,4,14.03
1980,2.5253,0,31,9,2,14.89991
1520,7.8947001,0,43,10,13,25.000059
1880,4.1489,0,51,12,21,10.70007
1260,8.1745996,1,30,16,9,24.25
1092,9.5971003,0,52,13,4,39.139969
1587,2.0164001,1,30,8,2,7.1999731
156,7.6217999,0,51,16,19,31.811001
1939,3.1975,0,31,13,4,10.00005
1250,1.6,0,34,12,9,20.66
610,4.0984001,0,49,11,14,13.49998
270,1.4815,1,35,13,6,25.379999
660,3.6364,1,53,12,24,18.274981
1000,1,0,32,12,1,39.213001
1920,2.6041999,0,38,10,13,10.49994
200,1.75,0,54,12,3,34.856998
1500,4.8000002,0,47,17,10,28.502001
868,5.5300002,0,45,15,16,12.99996
2318,4.0984001,0,47,16,9,41.39991
2000,1.25,0,59,10,19,14.78
60,1.6667,0,32,11,4,15.05
1715,3.7901001,0,45,12,10,29.69998
550,2.3636,0,40,12,5,16.16502
1960,10.204,0,47,14,7,25.20516
44,6.8182001,1,36,16,3,14.2
1920,7.2146001,0,56,14,38,18.15897
2540,2.4484,0,41,8,16,28.98106
156,1.1987,0,48,7,13,13.392
780,1.641,1,36,12,1,9.1750202
3120,1.7821,0,41,12,7,27.03985
2040,2.9412,0,41,14,15,13.14995
1610,4.9689002,0,36,12,10,16.40007
215,1.8605,0,37,12,2,21.29999
1120,8.0356998,0,38,12,19,17.201019
846,3.9716001,0,43,14,25,8.5600262
3225,3.0416,0,54,16,25,6.49084
1376,2.9070001,0,38,12,7,12.49997
980,3.0611999,1,30,12,15,27.000019
1838,4.8965998,0,49,12,11,53.50005
1494,4.0160999,0,45,13,25,52.49995
450,5.5556002,0,51,13,19,38.399979
1976,1.2227,0,34,10,4,13.89194
2012,2.6839001,0,34,12,14,3.8999929
561,2.6738,0,41,12,19,34.200001
1715,9.3294001,0,49,12,18,19.700081
1912,3.1380999,0,32,12,14,18.49995
3686,.54259998,0,32,14,11,10.99998
1080,8.6111002,0,32,17,4,43.300011
1799,3.6687,0,47,10,29,18.76001
1984,2.3185,0,39,9,21,4.800096
1839,2.882,0,49,12,24,21.5
1579,3.1666,0,37,12,19,28.03994
96,3.6458001,0,59,16,31,26
1920,6.25,0,50,12,28,27
1688,10.249,0,32,17,15,17.79969
1589,3.2096,0,46,12,27,17.401951
345,7.6522002,0,43,17,13,19.30999
1521,1.9724,0,37,11,4,9.99998
1490,4.698,0,32,16,10,11.17998
989,2.1234,0,39,11,8,18.85696
600,2.3333001,0,34,13,4,12.30002
2646,2.3896,0,39,11,18,13.67712
2149,1.2564,0,45,8,3,9.5599966
320,1.0937999,0,50,11,11,24.499981
1600,3.75,0,40,12,8,23.15
2419,3.3072,0,30,10,10,15.59088
2005,5.1352,0,57,17,33,14.42092
1960,6.6327,0,39,12,19,17.45491
2147,4.5644999,0,53,12,35,9.8000193
1207,11.848,0,48,17,21,17.574459
2000,3.75,0,46,14,7,16.555
1260,4.3650999,0,47,12,18,13.29497
90,3.9333,0,43,12,4,11.844
1800,3.3333001,0,47,12,12,46.645061
573,3.3159001,0,47,12,16,14.69999
1825,3.5616,0,47,12,14,26.09008
75,1.6,0,46,12,3,9.8999996
1348,2.2255001,0,34,9,1,9.0480261
1880,4.7872,0,48,10,27,30.750059
1240,5.8065,0,30,12,12,8.4999399
848,2.3585,0,51,12,6,22.24999
150,2,0,52,12,9,42.91
2000,1.9,0,37,12,2,33.299999
1952,5.1230001,0,32,12,6,13.8199
1456,5.4945002,0,36,17,9,23.60001
1740,6.3218002,0,35,12,16,13.00007
1400,7.1429,0,45,17,22,20.749941
2000,2.375,0,56,12,26,6.3000002
1750,2.5429001,0,40,10,11,7.7889252
1101,2.1798,1,45,12,11,10.47004
2000,2.5999999,0,32,12,15,12
1877,3.7293999,0,45,12,13,16.979919
160,4.375,0,40,12,6,17.9
1886,4.4432998,0,38,12,20,15.53994
1446,4.2877002,0,49,12,17,9.8839865
1500,1.6667,0,47,16,8,28.599951
860,3.2558,0,52,13,13,17.660009
1848,5.4113002,0,34,13,15,25.99992
1678,2.2049999,0,44,12,14,13.60201
160,4.0625,0,36,16,14,15.8
108,.64819998,0,50,17,6,41.099991
1738,5.3825998,0,45,12,24,10.77504
1170,.1709,0,44,14,10,9.0000467
15,23.466999,0,57,12,2,24.398991
2088,9.5784998,0,35,17,9,37.300091
2490,3.6947999,0,46,12,23,27.99995
135,2.2221999,2,30,14,12,13.7
1944,1.749,0,42,12,8,17.20994
690,1.1594,0,34,12,16,14.00001
608,6.9900999,0,45,17,10,35.75502
63,3.9683001,1,35,16,7,23.5
154,21.429001,0,40,16,19,31.999929
420,.47620001,0,32,12,2,17.15
651,2.1505001,0,54,9,9,20.250019
675,1.8578,0,38,12,14,5.4859848
1663,4.3295002,0,43,12,9,25.075041
1680,8.9286003,0,54,16,16,18.21995
180,2.7778001,0,39,14,7,26
1581,2.6565001,0,37,12,6,34.500069
1200,2.5,0,46,12,22,12.4
450,18.267,0,56,11,9,10.78685
547,.81900001,0,41,12,9,16.323009
300,2,0,45,16,14,30.5
975,15.385,0,44,17,17,51.299629
1621,6.4775,0,50,17,12,33.049969
300,8.3332996,0,37,14,13,34.750011
1868,4.5503001,0,44,12,8,16.40004
1803,2.4958,0,32,14,10,19.700069
2143,4.4797001,1,34,12,16,6.6000028
1080,2.2323999,0,32,10,1,9.0200081
1352,2.0710001,0,37,12,6,10.40001
537,1.676,0,44,13,4,14.51999
352,3.4091001,0,34,16,8,17.200001
200,2.5,1,33,12,4,43
2045,3.9609001,0,43,7,15,13.87196
1253,6.2275,0,35,16,7,-.029057501
1960,3.9286001,0,43,14,14,16.769939
2000,2.9000001,0,34,12,16,7.8000002
1960,4.0816002,0,36,10,15,14.50006
2000,2.8499999,0,41,12,23,7.9000001
1568,7.0152998,0,41,16,19,79.800011
1225,2.9388001,0,35,10,4,7.1759701
780,1.9231,1,32,12,12,17.506981
480,6.875,0,30,14,12,20.6
1923,3.9001999,0,43,12,25,18.559919
2000,2,0,54,6,14,9.3000002
2110,4.9762998,0,35,15,14,5.120008
1664,1.2019,0,50,12,11,14.50004
48,22.5,1,34,17,7,19.799999
1791,6.8677001,0,52,14,18,18.29995
1404,3.5613,0,35,13,4,33.999939
1920,1.9792,0,55,6,37,11.62794
2141,5.3713002,0,35,16,13,11.80005
1720,1.7442,0,49,14,14,39.099979
3533,5.0948,2,38,15,17,18.430071
2000,2.5,0,42,14,5,21
800,3.825,0,48,8,2,59
3000,1,0,51,14,0,25.299999
293,3.0717001,0,43,12,3,23.248989
1872,1.7163,0,43,12,21,24.928089
2058,4.0208998,0,38,12,20,14.78199
1832,5.4584999,0,44,12,19,18.90003
120,25,1,36,12,4,21
1632,2.3896999,0,38,12,19,10.00001
778,3.2133999,0,47,8,11,29.309971
1984,3.3770001,0,34,12,14,13.14003
225,1.7778,1,40,17,8,25.089991
1960,3.1633,0,31,12,13,14.59993
444,2.7026999,0,46,12,24,1.200001
384,1.6927,0,36,14,1,32
1170,.2137,1,39,13,1,16.11997
1330,6.7669001,0,36,17,3,26.500019
1350,1.7407,0,37,8,4,12.75006
480,2.5,0,39,12,21,12.9
1984,4.4858999,1,36,11,10,10.69998
1944,2.572,0,49,12,13,14.43403
50,3.46,1,45,12,9,23.709
460,4.7825999,2,32,17,14,15.1
680,2.3118,0,36,10,2,18.19998
2450,5.3060999,0,40,12,21,22.64106
2144,5.8674998,0,43,13,22,21.640079
1760,3.4091001,0,33,12,14,23.999981
490,4.0816002,0,30,12,7,16.000019
