"id1","id2","id3","id31","id4","id41","hhmid","HHMID1","s10aiv_a31","s10aiv_a32","s10aiv_a33","s10aiv_a341i","s10aiv_a341ii","s10aiv_a341iii","s10aiv_a342i","s10aiv_a342ii","s10aiv_a342iii","s10aiv_a343i","s10aiv_a343ii","s10aiv_a343iii","s10aiv_a351i","s10aiv_a351ii","s10aiv_a351iii","s10aiv_a352i","s10aiv_a352ii","s10aiv_a352iii","s10aiv_a353i","s10aiv_a353ii","s10aiv_a353iii","s10aiv_a36i","s10aiv_a36ii","s10aiv_a37i","s10aiv_a37ii","s10aiv_a38","s10aiv_a39i","s10aiv_a39ii","s10aiv_a40i","s10aiv_a40ii","s10aiv_a41","uniquehhmid","hhno"
6,92,195,"195",12,"012",3,"03",10,10,10,,,,,,,,,,"LEARN A TRADE",100,,,,,,,,,,,,,,,,,,"19501203",106195012
6,95,184,"184",14,"014",1,"01",10,10,10,,,,,,,,,,"PAY MY FEES",100,,,,,,,,5,,7,,2,7,,10,,2,"18401401",106184014
8,9,297,"297",59,"059",2,"02",6,5,6,,,,,,,,,,"BUSINESS",70,0,"CLOTHING",20,0,"FOOD INGREDIENTS",10,0,2,50,2,50,2,5,0,5,0,2,"29705902",108297059
2,29,44,"044",128,"128",2,"02",10,10,10,,,,,,,,,,"INVEST IN FARM",50,,"EDUCATION FOR CHILDREN",50,,,,,2,,3,,2,,,,,,"04412802",102044128
5,80,143,"143",28,"028",4,"04",10,8,9,,,,,,,,,,"INVEST IN EDUCATION",100,,,,,,,,10,,15,,2,20,,25,,2,"14302804",105143028
8,9,297,"297",59,"059",11,"11",10,9,9,,,,,,,,,,"CLOTHING",20,0,"BOOKS",20,0,"DAILY CONSUMPTION",60,0,2,0,3,50,2,3,50,10,0,2,"29705911",108297059
9,154,326,"326",37,"037",2,"02",10,10,10,,,,,,,,,,"TRADING",100,,,,,,,,,,,,,,,,,,"32603702",109326037
8,138,278,"278",11,"011",6,"06",10,10,10,,,,,,,,,,"RICE",60,,"MAIZE",40,,,,,,50,1,,1,1,,1,50,1,"27801106",108278011
4,3,102,"102",2,"002",3,"03",10,10,10,,,,,,,,,,"GOAT",40,,"MAIZE",50,,"BISCUIT",10,,8,,15,,2,10,,15,,2,"10200203",104102002
6,110,227,"227",39,"039",1,"01",10,10,10,,,,,,,,,,"USE AS CAPITAL FOR BUSINESS",100,,,,,,,,2,,2,,2,2,,2,,2,"22703901",106227039
5,67,153,"153",10,"010",2,"02",10,10,10,,,,,,,,,,"TRADE WITH IT",100,,,,,,,,1,,2,,1,3,,5,,1,"15301002",105153010
4,54,106,"106",65,"065",2,"02",,,,,,,,,,,,,"TRADING IN (FOOD STUFF)",100,,,,,,,,60,,100,,2,100,,15,,2,"10606502",104106065
8,153,283,"283",25,"025",2,"02",5,5,5,,,,,,,,,,"FOODSTUFF",100,,,,,,,,1,50,3,,2,,,,,,"28302502",108283025
5,15,177,"177",39,"039",2,"02",10,9,8,,,,,,,,,,"INVEST IN BUSINESS",50,,"SAVINGS",50,,,,,5,,8,,2,8,,15,,2,"17703902",105177039
9,162,321,"321",18,"018",2,"02",10,10,10,,,,,,,,,,"16",100,,,,,,,,,,,,,,,,,,"32101802",109321018
4,49,123,"123",32,"032",1,"01",10,10,10,,,,,,,,,,"FARMING",100,0,,,,,,,,,,,,5,0,10,0,2,"12303201",104123032
6,97,189,"189",73,"073",2,"02",10,10,10,,,,,,,,,,"ACCOUNTS",50,,"CEMENT",30,,"FOOD",20,,4,50,4,50,2,5,,6,,2,"18907302",106189073
4,62,118,"118",16,"016",1,"01",,,9,,,,,,,,,,"KEROSINE BUSINESS",50,,"CHARCOAL BUSINESS",30,,"SAVE IN THE BANK",20,,5,,10,,1,6,,8,,2,"11801601",104118016
5,7,156,"156",8,"008",4,"04",10,10,10,,,,,,,,,,"EDUCATION",100,,,,,,,,4,,8,,2,50,,60,,2,"15600804",105156008
2,20,48,"048",52,"052",3,"03",10,10,10,,,,,,,,,,"EDUCATION",50,0,"DAILY CONSUMPTION",30,0,"BOOKS",20,0,1,50,3,0,2,,,,,,"04805203",102048052
6,110,227,"227",39,"039",2,"02",10,10,10,,,,,,,,,,"SUPPORT EDUCATION",100,,,,,,,,1,,1,,2,4,,4,,2,"22703902",106227039
3,1,77,"077",97,"097",1,"01",,,3,,,,,,,,,,"DAILY CONSUMPTION",100,,,,,,,,1,,2,,,2,,3,,2,"07709701",103077097
5,12,170,"170",1,"001",2,"02",4,5,6,,,,,,,,,,"START TRADING",100,0,,,,,,,8,0,5,0,2,5,0,20,0,2,"17000102",105170001
3,43,94,"094",14,"014",2,"02",10,10,10,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,,,,,,3,,5,,2,"09401402",103094014
2,25,47,"047",64,"064",1,"01",10,10,10,,,,,,,,,,"INVEST IN FARM",100,,,,,,,,2,,4,,2,,,,,,"04706401",102047064
5,7,156,"156",68,"068",4,"04",10,10,10,,,,,,,,,,"BUILD A HOUSE",100,,,,,,,,10,,20,,2,100,,30,,2,"15606804",105156068
3,1,72,"072",35,"035",2,"02",10,10,10,,,,,,,,,,,,,"INVEST INTO A TABLE TOP BUSINESS",100,0,,,,4,,5,,2,5,,6,,2,"07203502",103072035
8,151,308,"308",20,"020",2,"02",10,10,10,,,,,,,,,,"TRADING",100,,,,,,,,,,,,,,,,,,"30802002",108308020
5,12,170,"170",1,"001",3,"03",1,1,1,,,,,,,,,,"START TRADING",100,0,,,,,,,3,0,5,0,2,10,0,15,0,2,"17000103",105170001
8,141,294,"294",14,"014",7,"07",6,5,5,,,,,,,,,,"GOATS",100,,,,,,,,2,,3,,2,3,,7,,3,"29401407",108294014
8,10,305,"305",59,"059",4,"04",10,7,10,,,,,,,,,,"PUT THE MONEY INTO MY BUSINESS",100,,,,,,,,2,,5,,2,5,,7,,2,"30505904",108305059
8,147,273,"273",14,"014",2,"02",10,10,10,,,,,,,,,,"BUY CHILDREN SCHOOL UNIFORM",30,,"BUY FOODSTUFF",40,,"INVEST IN FARMING",30,,,,,,,,,,,,"27301402",108273014
5,67,149,"149",25,"025",1,"01",10,10,,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,3,,5,,2,5,,10,,1,"14902501",105149025
4,58,131,"131",8,"008",3,"03",10,10,10,,,,,,,,,,"GIVE TO MUM",100,0,,,,,,,,,,,,4,0,5,0,2,"13100803",104131008
5,12,169,"169",23,"023",2,"02",10,10,10,,,,,,,,,,"START BUSINESS",100,0,,,,,,,5,0,5,0,2,10,0,15,0,2,"16902302",105169023
7,112,243,"243",73,"073",1,"01",10,10,10,,,,,,,,,,"GARMENT",30,,"FOOTWEAR",40,,"WRISTWATCH",30,,3,,5,,2,,,,,,"24307301",107243073
6,108,229,"229",14,"014",2,"02",10,10,,,,,,,,,,,"SUPPORT HOUSEHOLD",50,,"SAVE",50,,,,,1,,2,,2,2,,3,,2,"22901402",106229014
2,29,43,"043",6,"006",1,"01",,,10,,,,,,,,,,"BUSINESS",60,0,"CLOTH",40,0,,,,2,0,3,0,2,,,,,,"04300601",102043006
5,12,170,"170",8,"008",2,"02",10,10,10,,,,,,,,,,"OPEN SAVINGS ACCOUNT",100,0,,,,,,,50,0,100,0,2,12,50,20,0,2,"17000802",105170008
5,13,171,"171",29,"029",4,"04",10,10,10,,,,,,,,,,"SAVINGS",100,0,,,,,,,7,0,10,0,2,10,0,15,0,,"17102904",105171029
10,166,337,"337",7,"007",2,"02",10,10,3,,,,,,,,,,"START SHEA BUTTER BUSINESS",100,,,,,,,,,,,,,,,,,,"33700702",110337007
8,142,279,"279",32,"032",1,"01",10,5,5,,,,,,,,,,"PAYMENT OF CHILDREN FEES",,,,,,,,,,,,,,2,,3,,2,"27903201",108279032
1,1,31,"031",17,"017",2,"02",10,10,10,,,,,,,,,,"SAVE TO PAY MY FEES",100,0,,,,,,,,,,,,,,,,,"03101702",101031017
1,8,14,"014",36,"036",1,"01",10,10,10,,,,,,,,,,"PUT IT INTO MY BUSINESS",100,,,,,,,,5,,5,,2,,,,,,"01403601",101014036
8,10,301,"301",14,"014",2,"02",10,9,5,,,,,,,,,,"EDUCATION",100,,,,,,,,2,,3,,1,8,,9,,1,"30101402",108301014
5,12,170,"170",10,"010",1,"01",,10,8,,,,,,,,,,"INVEST IN BUSINESS",100,0,,,,,,,2,40,18,0,2,5,0,24,0,2,"17001001",105170010
7,126,272,"272",17,"017",1,"01",10,10,10,,,,,,,,,,"WORK WITH",50,,"DAILY CONSUMPTION",30,,"SAVE",20,,3,,5,,2,3,,5,,2,"27201701",107272017
8,140,293,"293",2,"002",1,"01",10,10,10,,,,,,,,,,"COW",60,,"GOAT",40,,,,,2,,2,,1,2,,2,,1,"29300201",108293002
3,1,75,"075",49,"049",1,"01",,,,,,,,,,,,,"ELECTRIC BILLS",50,,"HOUSE KEEPING",30,,"POCKET",10,,3,,6,,2,3,,6,,2,"07504901",103075049
6,88,238,"238",14,"014",2,"02",10,10,7,,,,,,,,,,"SCH. FEES",50,,"UNIFORMS",30,,"TRADE",20,,,,,,,5,,6,,2,"23801402",106238014
3,1,76,"076",72,"072",1,"01",10,10,5,,,,,,,,,,"BUSINESS",40,,"HOUSE KEEPING",20,,"REPAIR WORKS ON BUILDING",40,,3,,5,,2,5,,10,,2,"07607201",103076072
2,23,57,"057",90,"090",3,"03",10,10,9,,,,,,,,,,"BUY SCHOOL MATERIALS",50,,"SAVE FOR FUTURE USE",50,,,,,4,,3,,2,,,,,,"05709003",102057090
4,7,117,"117",11,"011",1,"01",10,10,,,,,,,,,,,"INVEATMENT",90,,"SAVINGS",10,,,,,,,,,,8,,10,,2,"11701101",104117011
8,140,293,"293",15,"015",2,"02",10,10,10,,,,,,,,,,"GOATS",100,,,,,,,,1,50,2,,2,3,,5,,1,"29301502",108293015
4,46,107,"107",66,"066",2,"02",,,,,,,,,,,,,"PETTY TRADING",40,,"HEALTH",40,,"FARMING",20,,5,,8,,2,10,,20,,2,"10706602",104107066
3,1,76,"076",42,"042",2,"02",10,10,10,,,,,,,,,,"BLENDER",50,,"CLOTH",30,,"SANDAL",20,,4,,5,,2,5,,6,,2,"07604202",103076042
9,156,317,"317",35,"035",2,"02",10,10,6,,,,,,,,,,"BUY FOODSTUFF",50,0,"BUY INGREDIENT",50,0,,,,,,,,,,,,,,"31703502",109317035
3,1,76,"076",40,"040",1,"01",10,10,9,,,,,,,,,,"ELECTRIC BILL",50,,"HAIR CREAM",20,,"POCKET",30,,5,,7,,2,5,,7,,2,"07604001",103076040
5,66,172,"172",34,"034",4,"04",10,10,10,,,,,,,,,,"PAY SCHOOL FEES",100,0,,,,,,,4,0,6,0,2,10,0,15,0,2,"17203404",105172034
8,10,301,"301",17,"017",2,"02",10,4,3,,,,,,,,,,"UTENSILS",40,,"MAIZE",40,,"CLOTH",20,,2,,4,,1,3,,4,,1,"30101702",108301017
6,10,215,"215",89,"089",2,"02",10,10,10,,,,,,,,,,"BUSINESS",100,,,,,,,,1,,2,,1,2,,5,,1,"21508902",106215089
8,142,275,"275",22,"022",3,"03",10,10,10,,,,,,,,,,"YAM SEEDS",100,,,,,,,,2,,5,,1,,,,,,"27502203",108275022
3,1,75,"075",79,"079",1,"01",,,,,,,,,,,,,"CONSUMPTION",50,,"HEALTH",50,,,,,5,,10,,2,10,,15,,2,"07507901",103075079
5,12,169,"169",35,"035",3,"03",6,7,8,,,,,,,,,,"START BUSINESS",60,0,"START FARMING",40,0,,,,18,0,100,0,2,50,0,50,0,3,"16903503",105169035
4,60,110,"110",34,"034",1,"01",8,10,10,,,,,,,,,,"FARMING",100,,,,,,,,10,,15,,2,20,,30,,2,"11003401",104110034
8,10,301,"301",18,"018",3,"03",10,10,5,,,,,,,,,,"CLOTHS",45,,"BOOKS",25,,"SANDALS",30,,1,,2,,1,3,,4,,1,"30101803",108301018
2,20,48,"048",98,"098",1,"01",,,10,,,,,,,,,,"AGRICULTURE",50,0,"DAILY CONSUMPTION",50,0,,,,5,0,7,0,2,,,,,,"04809801",102048098
6,89,188,"188",49,"049",1,"01",10,10,10,,,,,,,,,,"START A TRADE",100,,,,,,,,,,,,,,,,,,"18804901",106188049
6,84,193,"193",59,"059",1,"01",10,10,10,,,,,,,,,,"GARDEN EGGS",50,0,"TOMATOES",30,0,"PEPPER",20,0,2,0,5,0,3,2,0,7,0,2,"19305901",106193059
9,156,320,"320",11,"011",4,"04",10,10,10,,,,,,,,,,"LIVESTOCKS",70,,"FOOD",30,,,,,,,,,,,,,,,"32001104",109320011
5,15,176,"176",40,"040",1,"01",10,10,10,,,,,,,,,,"TRADE WITH IT",100,,,,,,,,3,,3,50,2,4,,5,,2,"17604001",105176040
3,37,92,"092",39,"039",1,"01",,,,,,,,,,,,,"GOAT BUSINESS",100,,,,,,,,5,,8,,2,12,,15,,2,"09203901",103092039
2,2,35,"035",9,"009",1,"01",10,10,7,,,,,,,,,,"FOR BUSINESS",100,,,,,,,,,,,,,5,,15,,2,"03500901",102035009
8,149,306,"306",8,"008",2,"02",10,10,10,,,,,,,,,,"ADD TO BUSINESS",100,,,,,,,,1,,1,,1,2,,2,,1,"30600802",108306008
9,158,313,"313",4,"004",1,"01",10,10,9,,,,,,,,,,"BUSINESS",100,,,,,,,,,,,,,,,,,,"31300401",109313004
5,9,162,"162",20,"020",3,"03",10,10,10,,,,,,,,,,"INVEST IN EDUCATION",50,0,"BUY CLOTHINGS",20,0,"KEEP FOR DAILY CONSUMPTION",30,0,8,0,8,0,2,100,0,12,0,2,"16202003",105162020
8,152,289,"289",18,"018",5,"05",10,10,10,,,,,,,,,,"START BUSINESS",100,,,,,,,,2,,5,,1,10,,20,,2,"28901805",108289018
6,10,215,"215",64,"064",2,"02",10,10,10,,,,,,,,,,"BUY CLOTHES",50,,"SHOES",30,,"BAGS",20,,2,,4,,1,2,,4,,1,"21506402",106215064
3,1,75,"075",13,"013",2,"02",10,10,10,,,,,,,,,,"BUSINESS",100,,,,,,,,15,,25,,3,25,,30,,2,"07501302",103075013
8,140,293,"293",13,"013",8,"08",10,10,10,,,,,,,,,,"START BUSINESS",100,,,,,,,,3,,5,,2,4,,5,,1,"29301308",108293013
8,140,291,"291",25,"025",1,"01",10,10,5,,,,,,,,,,"SHEEP",40,,"GOAT",30,,"CORN",30,,1,,3,,2,3,,5,,2,"29102501",108291025
6,109,228,"228",24,"024",2,"02",10,10,,,,,,,,,,,"TRADING",50,,"SAVE",50,,,,,1,,2,,1,2,,4,,1,"22802402",106228024
5,12,169,"169",35,"035",1,"01",10,10,10,,,,,,,,,,"SCHOOL UNIFORM FOR CHILDREN",40,0,"CAPITAL FOR WIFE",20,0,"DAILY CONSUMPTION",40,0,15,0,20,0,3,20,0,25,0,2,"16903501",105169035
1,13,9,"009",108,"108",1,"01",,10,10,,,,,,,,,,"TREASURY BILLS",100,,,,,,,,,,,,,2,,4,,2,"00910801",101009108
8,9,297,"297",13,"013",2,"02",10,10,2,,,,,,,,,,"FEES",40,0,"BAGS AND CLOTH",30,0,"GOAT",30,0,2,0,3,0,1,2,0,3,0,1,"29701302",108297013
9,162,321,"321",30,"030",1,"01",10,10,10,,,,,,,,,,"1",50,,"2",50,,,,,,,,,,,,,,,"32103001",109321030
1,13,9,"009",222,"222",3,"03",10,10,10,,,,,,,,,,"SCHOOL FEES",50,,"OTHER NEEDS",50,,,,,,,,,,1,20,2,,3,"00922203",101009222
6,103,222,"222",43,"043",2,"02",10,10,10,,,,,,,,,,"BUY THING AND SELL",50,,"SAVE",50,,,,,2,,5,,2,2,,5,,2,"22204302",106222043
8,153,282,"282",15,"015",3,"03",5,5,5,,,,,,,,,,"MILLET FOR RESALE",40,0,"MAIZE FOR RESALE",30,0,"RICE FOR RESALE",30,0,10,0,20,0,1,,,,,,"28201503",108282015
4,55,122,"122",9,"009",1,"01",,,8,,,,,,,,,,"FOR TRADE",100,,,,,,,,7,,7,,1,16,,18,,2,"12200901",104122009
1,13,9,"009",222,"222",2,"02",10,5,2,,,,,,,,,,"TREASURY BILLS",50,,"SAVINGS",50,,,,,,,,,,1,10,3,50,2,"00922202",101009222
7,112,244,"244",36,"036",1,"01",10,10,1,,,,,,,,,,"TRADE",50,,"SAVE",20,,"SCH UNIFORM",30,,3,,5,,2,5,,5,,1,"24403601",107244036
2,20,48,"048",28,"028",1,"01",,9,10,,,,,,,,,,"AGRICULTURE",100,0,,,,,,,2,0,3,0,2,,,,,,"04802801",102048028
4,49,120,"120",10,"010",1,"01",,10,9,,,,,,,,,,"BUY A PIECE OF LAND",100,,,,,,,,,,,,,3,,5,,1,"12001001",104120010
3,1,80,"080",2,"002",1,"01",10,10,10,,,,,,,,,,"ROOFING SHEET",60,,"CEMENT",26,,"IRON RODS",14,,20,,40,,1,30,,40,,2,"08000201",103080002
6,10,215,"215",59,"059",1,"01",10,10,5,,,,,,,,,,"BUSINESS",100,,,,,,,,2,,5,,1,3,,6,,1,"21505901",106215059
8,140,292,"292",16,"016",2,"02",5,5,5,,,,,,,,,,,,,,,,,,,2,0,3,0,2,10,0,15,0,2,"29201602",108292016
1,13,9,"009",68,"068",3,"03",10,10,10,,,,,,,,,,"PERSONAL NEEDS",100,,,,,,,,,,,,,3,,3,,2,"00906803",101009068
5,82,296,"296",52,"052",4,"04",5,5,5,,,,,,,,,,"GOAT",15,,"CALF",55,,"SHEEP",30,,3,,5,,2,3,,5,,2,"29605204",108296052
8,143,281,"281",100,"100",2,"02",6,6,6,,,,,,,,,,,,,,,,,,,2,0,2,0,2,3,0,7,0,,"28110002",108281100
5,14,174,"174",65,"065",1,"01",,,,,,,,,,,,,"SUPPORT CHILDREN",50,0,"SAVINGS",50,0,,,,1,0,3,0,2,10,0,15,0,2,"17406501",105174065
8,137,287,"287",2,"002",1,"01",9,5,5,,,,,,,,,,"EDUCATION OF SON",50,,"FARMING",50,,,,,10,,20,,2,,,,,,"28700201",108287002
3,1,74,"074",7,"007",2,"02",10,10,10,,,,,,,,,,"RE-SIT EXAMS",50,,"CLOTHES",20,,"OPEN ACCOUNT",30,,4,50,10,,3,5,,15,,2,"07400702",103074007
9,154,328,"328",44,"044",4,"04",10,10,10,,,,,,,,,,"EDUCATION",100,,,,,,,,,,,,,,,,,,"32804404",109328044
6,1,179,"179",128,"128",4,"04",10,10,10,,,,,,,,,,"TRADE IN PROVISIONS",100,,,,,,,,1,50,2,,2,2,,2,50,2,"17912804",106179128
9,156,317,"317",60,"060",3,"03",10,10,10,,,,,,,,,,"SCHOOL FEES AND BOOK",100,,,,0,,,0,,,,,,,,,,,"31706003",109317060
6,91,185,"185",60,"060",2,"02",10,10,10,,,,,,,,,,"DRESSES",30,,"FOOTWEAR",30,,"BAG",40,,1,,5,,,3,,5,,2,"18506002",106185060
8,10,304,"304",10,"010",1,"01",10,10,10,,,,,,,,,,"FEES",50,,"FOOD",20,,"HEALTH",30,,3,,4,,1,4,,5,,2,"30401001",108304010
6,10,215,"215",53,"053",1,"01",10,10,10,,,,,,,,,,"PAY FEES",100,,,,,,,,1,,2,,1,2,,4,,1,"21505301",106215053
6,92,196,"196",5,"005",1,"01",,,10,,,,,,,,,,"DAILY USAGE",100,0,,,,,,,,,,,,,,,,,"19600501",106196005
3,1,73,"073",53,"053",1,"01",7,4,2,,,,,,,,,,"SAVINGS",100,,,,,,,,2,,4,,2,5,,7,,2,"07305301",103073053
5,9,162,"162",27,"027",2,"02",10,10,10,,,,,,,,,,"FARMING",50,0,"BUSINESS",50,0,,,,5,0,8,0,2,10,0,15,0,2,"16202702",105162027
9,156,319,"319",29,"029",3,"03",10,10,10,,,,,,,,,,"CLOTHES",50,,"BOOKS",40,,"SANDALS",10,,3,,5,,1,6,,8,,1,"31902903",109319029
6,16,235,"235",53,"053",1,"01",10,10,9,,,,,,,,,,"SEND TO MY DAUGTHER",30,,"BUY SCH UNIFORM & SHOE FOR MY DAUGTHER",40,,"SAVE",30,,5,,,80,2,5,,5,,1,"23505301",106235053
9,162,321,"321",18,"018",3,"03",10,10,10,,,,,,,,,,"3",100,,,,,,,,1,70,1,70,,2,,8,,2,"32101803",109321018
6,103,222,"222",18,"018",1,"01",10,10,10,,,,,,,,,,"BUY THINGS AND SELL",100,,,,,,,,2,,5,,2,8,,10,,2,"22201801",106222018
3,1,66,"066",55,"055",1,"01",,8,5,,,,,,,,,,"INVESTMENT",100,,,,,,,,1,,2,,2,2,,3,,,"06605501",103066055
3,1,80,"080",41,"041",1,"01",10,10,8,,,,,,,,,,"EDUCATION",50,,"CHILDREN EDUCATION",50,,,,,7,,10,,1,8,,12,,1,"08004101",103080041
4,46,107,"107",21,"021",1,"01",6,7,9,,,,,,,,,,"FOOD STUFFS",100,,,,,,,,8,,12,,2,10,,16,,2,"10702101",104107021
9,158,312,"312",54,"054",1,"01",10,10,10,,,,,,,,,,"CEMENT",,,"ZINC",,,"PAY SCHOOL FEES",,,1,,2,,1,3,,4,,1,"31205401",109312054
5,7,155,"155",1,"001",2,"02",10,10,10,,,,,,,,,,"START A TRADE",100,,,,,,,,3,,3,,2,,,,,2,"15500102",105155001
2,29,60,"060",14,"014",1,"01",10,10,10,,,,,,,,,,"START A TRADE",100,,,,,,,,2,50,4,,2,,,,,,"06001401",102060014
8,141,294,"294",3,"003",1,"01",10,10,5,,,,,,,,,,"START UP BUSINESS",100,,,,,,,,1,,3,,1,3,,5,,2,"29400301",108294003
6,103,221,"221",65,"065",2,"02",10,10,10,,,,,,,,,,"BUSINESS",100,,,,,,,,2,,4,,2,3,,5,,2,"22106502",106221065
4,58,130,"130",27,"027",2,"02",7,7,6,,,,,,,,,,"ADD TO CAPITAL",100,,,,,,,,,,,,,8,,10,,1,"13002702",104130027
5,69,135,"135",33,"033",2,"02",9,5,4,,,,,,,,,,"TRADE",100,,,,,,,,2,,4,,2,3,,5,,2,"13503302",105135033
3,43,96,"096",50,"050",2,"02",10,10,10,,,,,,,,,,"PAY SCHOOL FEES",50,,"INVEST INTO BUSINESS",50,,,,,2,,4,,2,,,,,,"09605002",103096050
3,1,80,"080",68,"068",1,"01",10,7,2,,,,,,,,,,,,,"BUY T. BILLS",100,0,,,,1,50,2,50,2,2,0,3,0,2,"08006801",103080068
8,144,280,"280",2,"002",2,"02",10,10,10,,,,,,,,,,"START FISH SELLING",100,,,,,,,,,,,,,,,,,,"28000202",108280002
9,156,317,"317",35,"035",6,"06",10,10,10,,,,,,,,,,"DO BUSINESS",100,,,,,,,,,,,,,,,,,,"31703506",109317035
2,29,60,"060",80,"080",1,"01",10,10,6,,,,,,,,,,"INVEST IN BLACKSMITH BUSINESS",100,,,,,,,,2,,3,,2,,,,,,"06008001",102060080
4,60,110,"110",14,"014",1,"01",10,10,10,,,,,,,,,,"FARMING",100,,,,,,,,4,,8,,2,10,,15,,2,"11001401",104110014
8,148,302,"302",14,"014",2,"02",10,10,10,,,,,,,,,,"BUSINESS",50,,"HOUSE",35,,"CHILD EDUCATION",15,,2,,4,,2,5,,10,,2,"30201402",108302014
8,152,290,"290",5,"005",2,"02",10,10,10,,,,,,,,,,"GROUNDNUT",40,0,"MILLET",30,0,"MAIZE",30,0,,50,1,50,1,3,0,10,0,1,"29000502",108290005
5,69,135,"135",59,"059",3,"03",10,10,8,,,,,,,,,,"SCHOOL BAG",10,,"SHOE",10,,"DAILY CONSUMPTION",80,,1,,2,,1,2,,4,,1,"13505903",105135059
4,59,128,"128",15,"015",1,"01",10,10,10,,,,,,,,,,"ADD TO RENT",50,,"CLOTHES FOR CHILDREN",30,,"PART OF SCH FEES",20,,,,,,,10,,15,,1,"12801501",104128015
3,40,90,"090",32,"032",1,"01",10,10,10,,,,,,,,,,"INVEST INTO BUSINESS",100,,,,,,,,,,,,,2,,5,,2,"09003201",103090032
6,93,194,"194",57,"057",2,"02",10,8,8,,,,,,,,,,"BUSINESS",100,,,,,,,,4,,5,,2,4,,5,,2,"19405702",106194057
4,54,104,"104",20,"020",1,"01",7,8,,,,,,,,,,,"DRIVING LINCENSE",100,,,,,,,,5,,6,,2,6,,8,,2,"10402001",104104020
8,10,304,"304",42,"042",2,"02",10,10,10,,,,,,,,,,"BUSINESS",40,,"FOOD STUFFS",40,,"POCKET MONEY",20,,1,,2,,1,1,50,2,,1,"30404202",108304042
10,171,330,"330",14,"014",1,"01",10,10,10,,,,,,,,,,"EDUCATE CHILDREN",100,0,,,,,,,,,,,,,,,,,"33001401",110330014
8,148,298,"298",16,"016",6,"06",,,10,,,,,,,,,,"FOOD",100,,,,,,,,,,,,,,,,,,"29801606",108298016
4,60,112,"112",52,"052",2,"02",9,10,7,,,,,,,,,,"START A BUSINESS",100,,,,,,,,5,,10,,2,10,,12,,2,"11205202",104112052
7,112,243,"243",82,"082",1,"01",10,10,10,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,2,,10,,2,,,,,,"24308201",107243082
3,1,72,"072",5,"005",1,"01",10,10,10,,,,,,,,,,"FOOD",20,,"EDUCATION",50,,"BUSINESS",30,,3,,4,,2,4,,5,,2,"07200501",103072005
3,1,72,"072",2,"002",1,"01",10,10,10,,,,,,,,,,"DO BUSINESS",100,,,,,,,,3,,4,,2,4,,6,,2,"07200201",103072002
3,1,72,"072",1,"001",1,"01",10,10,10,,,,,,,,,,"UTILITY BILLS",100,,,,,,,,4,,5,,2,5,,7,,2,"07200101",103072001
5,67,151,"151",4,"004",2,"02",8,8,8,,,,,,,,,,"START BUSINESS",100,,,,,,,,2,,3,,2,4,,6,,1,"15100402",105151004
8,148,298,"298",3,"003",4,"04",10,10,2,,,,,,,,,,"START A BUSINESS",100,,,,,,,,1,,2,70,2,,40,,80,3,"29800304",108298003
7,122,266,"266",30,"030",1,"01",10,10,10,,,,,,,,,,"HEALTH",50,,"DAILY CONSUMPTION",30,,"CLOTHING",20,,5,,8,,2,10,,15,,2,"26603001",107266030
5,7,155,"155",18,"018",1,"01",10,10,10,,,,,,,,,,"INVEST IN AGRICULTURE",100,,,,,,,,5,,15,,,10,,20,,2,"15501801",105155018
9,154,325,"325",29,"029",3,"03",10,10,10,,,,,,,,,,"FARMING",100,,,,,,,,,,,,,,,,,,"32502903",109325029
6,91,185,"185",49,"049",1,"01",10,10,10,,,,,,,,,,"EXPAND MY FARM",50,,"START A TRADE",50,,,,,,,,,,,,,,,"18504901",106185049
6,110,227,"227",112,"112",3,"03",10,10,10,,,,,,,,,,"CLOTHS",20,,"SAVINGS",80,,,,,1,,3,,2,2,,4,,2,"22711203",106227112
6,10,213,"213",54,"054",1,"01",10,10,10,,,,,,,,,,"BUSINESS",50,0,"SAVE",30,0,"FOR FOOD",20,0,,,,,,,,,,,"21305401",106213054
4,58,131,"131",7,"007",5,"05",10,10,10,,,,,,,,,,"TRADING",100,0,,,,,,,6,0,8,0,2,,,,,,"13100705",104131007
6,92,195,"195",134,"134",1,"01",10,10,10,,,,,,,,,,"START A FARM",100,,,,,,,,4,,5,,2,4,,5,,2,"19513401",106195134
5,8,157,"157",53,"053",1,"01",10,10,10,,,,,,,,,,"PAYMENT OF TITHE",10,,"THANKSGIVING OFFERING",10,,"SUPPORT CHILD'S EDUCATION",80,,,,,,,2,30,8,20,2,"15705301",105157053
5,8,157,"157",83,"083",1,"01",10,10,10,,,,,,,,,,"INVEST IN BUSINESS",100,,,,,,,,,,,,,5,,10,,2,"15708301",105157083
6,103,222,"222",27,"027",2,"02",10,10,10,,,,,,,,,,"SAVE",100,,,,,,,,3,,3,,2,3,,3,,2,"22202702",106222027
8,149,306,"306",31,"031",1,"01",,10,10,,,,,,,,,,"BUY LIVESTOCK",100,,,,,,,,,60,1,,1,1,,1,,1,"30603101",108306031
2,25,47,"047",66,"066",1,"01",10,10,10,,,,,,,,,,"START A BUSINESS",70,,"INVEST IN FARM",30,,,,,4,,4,,2,,,,,,"04706601",102047066
