"id1","id2","id3","id4","sav_no","s3bv_51","s3bv_52ii","s3bv_53i","s3bv_53ii","s3bv_54","s3bv_55","s3bv_56i","s3bv_56ii","s3bv_57i","s3bv_57ii","s3bv_57iii","s3bv_57iv","s3bv_57v","s3bv_58","s3bv_59i","s3bv_59ii","s3bv_60i","s3bv_61","s3v_61_1","s3v_61_2","s3v_61_3","s3v_61_4","s3v_61_5","s3v_61_6","hhno"
1,5,4,2,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101004002
1,5,4,5,1,1,1,20,,1,-8,39,,17,10,21,,,30,39,,2,"1,2,3",1,2,3,,,,101004005
1,5,4,6,2,1,2,40,,1,-8,350,,,,,,,,,,,,,,,,,,101004006
1,5,4,6,1,1,1,100,,1,-8,2000,,,,,,,,,,,,,,,,,,101004006
1,5,4,10,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101004010
1,5,4,12,1,1,1,1200,,1,-8,240,,,,,,,60,60,,11,"2",2,,,,,,101004012
1,5,4,14,1,1,1,150,,2,,,,,,,,,,,,,,,,,,,,101004014
1,5,4,14,2,1,2,100,,1,-8,700,,,,,,,30,210,,1,"1",1,,,,,,101004014
1,5,4,16,2,1,2,15,,2,,,,,,,,,,,,,,,,,,,,101004016
1,5,4,16,1,1,1,30,,1,-8,100,,,,,,,,,,,,,,,,,,101004016
1,5,4,17,1,1,1,150,,1,-8,25,,5,10,21,,,25,25,,2,"1,2,3",1,2,3,,,,101004017
1,5,4,20,1,1,1,,40,2,,,,,,,,,,,,,,,,,,,,101004020
1,5,4,22,1,1,1,100,,1,-8,20,,,,,,,,,,,,,,,,,,101004022
1,5,4,24,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101004024
1,5,4,24,2,1,2,15,,1,-8,90,,,,,,,30,30,,1,"1,2",1,2,,,,,101004024
1,5,4,27,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101004027
1,5,4,27,1,1,1,60,,1,-8,3,,,,,,,,,,,,,,,,,,101004027
1,5,4,31,1,1,1,5,,2,,,,,,,,,,,,,,,,,,,,101004031
1,5,4,32,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,101004032
1,5,4,32,2,1,2,3,,1,-8,100,,,,,,,,,,,,,,,,,,101004032
1,2,5,1,1,1,1,200,,1,-8,200,,,,,,,60,40,,4,"5",5,,,,,,101005001
1,2,5,3,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101005003
1,2,5,4,1,1,1,100,,1,-8,150,,,,,,,3,100,,4,"5",5,,,,,,101005004
1,2,5,13,1,1,1,200,,1,-8,300,,,,,,,4,200,,4,"5",5,,,,,,101005013
1,2,5,19,1,1,1,70,,2,,,,,,,,,,,,,,,,,,,,101005019
1,2,5,23,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101005023
1,2,5,24,1,2,1,,,1,-8,100,,,,,,,2,15,,4,,,,,,,,101005024
1,2,5,33,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101005033
1,2,5,36,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,40,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101005040
1,2,5,41,1,1,1,35,,2,,,,,,,,,,,,,,,,,,,,101005041
1,2,5,52,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101005052
1,2,6,9,1,2,1,,,1,-8,200,,,,,,,,,,,,,,,,,,101006009
1,2,6,15,1,1,2,100,,2,,,,,,,,,,,,,,,,,,,,101006015
1,2,6,42,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101006042
1,2,6,55,1,2,1,,,1,,60,,,,,,,1,10,,4,"8",8,,,,,,101006055
1,2,6,56,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101006056
1,2,6,59,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101006059
1,2,6,64,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101006064
1,2,7,7,1,1,1,35,,2,,,,,,,,,,,,,,,,,,,,101007007
1,2,7,11,1,1,1,37,50,2,,,,,,,,,,,,,,,,,,,,101007011
1,2,7,25,1,2,1,,,1,,15,,,,,,,4,15,,2,"7",7,,,,,,101007025
1,2,7,26,1,1,1,150,70,2,,,,,,,,,,,,,,,,,,,,101007026
1,2,7,36,1,2,1,,,1,-8,15,,,,,,,,,,,,,,,,,,101007036
1,1,8,4,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101008004
1,1,8,14,1,1,1,2000,,2,,,,,,,,,,,,,,,,,,,,101008014
1,1,8,19,1,2,1,,,1,-8,,,,,,,,,,,,,,,,,,,101008019
1,1,8,22,1,2,1,,,1,,300,,,,,,,,30,,5,"1",1,,,,,,101008022
1,1,8,29,1,2,1,,,1,-8,50,,,,,,,,,,,,,,,,,,101008029
1,1,8,35,1,1,1,100,,1,-8,270,,,,,,,,,,,,,,,,,,101008035
1,1,8,44,1,2,1,,,1,-8,100,,,,,,,,,,,,,,,,,,101008044
1,1,8,47,1,2,1,,,1,-8,150,,,,,,,,,,,,,,,,,,101008047
1,1,8,60,1,2,1,,,1,-8,50,,,,,,,,,,,,,,,,,,101008060
1,1,8,67,1,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101008067
1,1,8,74,1,2,1,,,1,-8,400,,,,,,,,,,,,,,,,,,101008074
1,13,9,61,4,1,4,20,,2,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,2,1,2,150,,2,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,5,1,5,40,,1,,530,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,61,3,1,3,30,,2,,,,,,,,,,,,,,,,,,,,101009061
1,13,9,68,1,1,1,50,,1,,50,,,,,,,,,,,,,,,,,,101009068
1,13,9,94,1,1,1,3,,1,,10,,,,,,,,,,,,,,,,,,101009094
1,13,9,108,1,1,1,5,,1,,70,,,,,,,,,,,,,,,,,,101009108
1,13,9,136,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101009136
1,13,9,180,3,1,6,5,,1,,20,,,,,,,,,,,,,,,,,,101009180
1,13,9,180,1,1,1,15,,1,,100,,,,,,,,,,,,,,,,,,101009180
1,13,9,180,2,1,2,5,,2,,,,,,,,,,,,,,,,,,,,101009180
1,13,9,191,1,1,1,4,,1,,10,,,,,,,,,,,,,,,,,,101009191
1,13,9,195,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101009195
1,13,9,195,5,1,5,20,,1,,5,,,,,,,,,,,,,,,,,,101009195
1,13,9,195,1,1,1,45,,1,,10,,,,,,,,,,,,,,,,,,101009195
1,13,9,195,4,1,4,10,,1,,20,,,,,,,,,,,,,,,,,,101009195
1,13,9,195,3,1,3,20,,1,,40,,,,,,,,,,,,,,,,,,101009195
1,13,9,206,1,1,1,130,,1,,200,,,,,,,,,,,,,,,,,,101009206
1,13,9,210,1,1,1,20,,1,,15,,,,,,,,,,,,,,,,,,101009210
1,13,9,222,1,1,1,360,,2,,,,,,,,,,,,,,,,,,,,101009222
1,13,9,222,2,1,2,20,,1,,200,,,,,,,,,,,,,,,,,,101009222
1,13,9,227,2,1,2,50,,1,,600,,,,,,,,,,,,,,,,,,101009227
1,13,9,227,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101009227
1,13,9,235,2,1,2,5,,2,,,,,,,,,,,,,,,,,,,,101009235
1,13,9,235,1,1,1,200,,1,,18,25,,,,,,,,,,,,,,,,,101009235
1,13,9,258,1,1,1,50,,1,,350,,,,,,,,,,,,,,,,,,101009258
1,13,9,258,2,1,1,300,,2,,,,,,,,,,,,,,,,,,,,101009258
1,13,9,262,1,1,1,10,,1,,50,,,,,,,,,,,,,,,,,,101009262
1,13,10,113,1,2,1,,,1,,200,,,,,,,20,20,,9,"5",5,,,,,,101010113
1,13,10,175,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101010175
1,13,11,6,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101011006
1,13,11,6,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101011006
1,13,11,19,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101011019
1,13,11,19,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101011019
1,13,11,28,2,1,2,10,,1,-8,60,,,,,,,,,,,,,,,,,,101011028
1,13,11,28,1,1,1,4,,1,-8,1000,,,,,,,,,,,,,,,,,,101011028
1,13,11,31,1,1,1,20,,1,-8,300,,,,,,,,,,,,,,,,,,101011031
1,13,11,44,2,1,2,10,,1,-8,50,,,,,,,,,,,,,,,,,,101011044
1,13,11,44,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101011044
1,13,11,48,2,1,2,20,,1,,200,,,,,,,,,,,,,,,,,,101011048
1,13,11,48,1,1,1,50,,1,,10,,,,,,,,,,,,,,,,,,101011048
1,13,11,50,1,1,1,50,,1,,2500,,,,,,,,,,,,,,,,,,101011050
1,13,11,50,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101011050
1,13,11,54,1,1,1,30,,1,-8,100,,,,,,,,,,,,,,,,,,101011054
1,13,11,54,2,1,2,43,,2,,,,,,,,,,,,,,,,,,,,101011054
1,13,11,58,1,1,1,100,,1,-8,20,,,,,,,,,,,,,,,,,,101011058
1,13,11,58,2,1,2,20,,1,-8,35,,,,,,,,,,,,,,,,,,101011058
1,13,11,85,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101011085
1,13,11,94,1,1,1,5,,1,-8,50,,,,,,,,,,,,,,,,,,101011094
1,13,11,104,1,1,1,40,,1,1,300,,,,,,,,,,,,,,,,,,101011104
1,13,11,146,1,1,1,40,,1,,12,,,,,,,,,,,,,,,,,,101011146
1,13,11,146,2,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101011146
1,13,11,161,1,1,1,30,,1,-8,245,84,,,,,,,,,,,,,,,,,101011161
1,13,11,172,1,1,1,30,,1,-8,110,,,,,,,,,,,,,,,,,,101011172
1,13,12,6,2,1,2,60,,1,-8,50,,,,,,,,,,,,,,,,,,101012006
1,13,12,6,1,1,1,70,,1,-8,100,,,,,,,,,,,,,,,,,,101012006
1,13,12,7,2,1,2,,,1,,200,,,,,,,,,,,,,,,,,,101012007
1,13,12,7,1,1,1,130,,1,,300,,,,,,,,,,,,,,,,,,101012007
1,13,12,7,3,1,4,10,,2,,,,,,,,,,,,,,,,,,,,101012007
1,13,12,13,1,1,1,20,,1,-8,70,,,,,,,,,,,,,,,,,,101012013
1,13,12,13,2,1,2,20,,1,-8,50,,,,,,,,,,,,,,,,,,101012013
1,13,12,14,1,1,1,50,,1,-8,1500,,,,,,,,,,,,,,,,,,101012014
1,13,12,17,1,1,2,1,,1,,1100,,,,,,,,,,,,,,,,,,101012017
1,13,12,17,2,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101012017
1,13,12,22,1,1,1,300,,1,-8,200,,,,,,,,,,,,,,,,,,101012022
1,13,12,36,1,1,1,50,,1,-8,50,,,,,,,,,,,,,,,,,,101012036
1,13,12,38,1,1,1,30,,1,-8,1000,,,,,,,,,,,,,,,,,,101012038
1,13,12,39,4,1,4,75,,1,,50,,,,,,,,,,,,,,,,,,101012039
1,13,12,39,1,1,1,150,,1,,700,,,,,,,,,,,,,,,,,,101012039
1,13,12,39,2,1,2,120,,1,,450,,,,,,,,,,,,,,,,,,101012039
1,13,12,39,3,1,3,80,,1,,25,,,,,,,,,,,,,,,,,,101012039
1,13,12,45,1,1,1,50,,1,-8,500,,,,,,,,,,,,,,,,,,101012045
1,13,12,45,2,1,2,30,,1,-8,400,,,,,,,,,,,,,,,,,,101012045
1,13,12,50,2,1,1,,,1,-8,100,,,,,,,,,,,,,,,,,,101012050
1,13,12,50,1,1,1,50,,1,-8,300,,,,,,,,,,,,,,,,,,101012050
1,13,12,51,1,1,1,50,,1,-8,500,,,,,,,,,,,,,,,,,,101012051
1,13,12,51,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101012051
1,13,12,55,1,1,1,50,,1,,1000,,,,,,,,,,,,,,,,,,101012055
1,13,12,55,2,1,2,10,,1,,50,,,,,,,,,,,,,,,,,,101012055
1,13,12,85,2,1,2,50,,1,-8,600,,,,,,,,,,,,,,,,,,101012085
1,13,12,85,1,1,1,200,,1,-8,4000,,,,,,,,,,,,,,,,,,101012085
1,13,12,94,1,1,1,100,,1,,1000,,,,,,,,,,,,,,,,,,101012094
1,13,12,94,2,1,2,50,,1,,1000,,,,,,,,,,,,,,,,,,101012094
1,8,13,6,1,1,1,20,,1,,300,,,,,,,,,,,,,,,,,,101013006
1,8,13,8,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,15,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,101013015
1,8,13,20,1,1,1,5,,2,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,20,2,1,2,5,,2,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,28,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,28,2,1,2,50,,2,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,30,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101013030
1,8,13,32,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,101013032
1,8,13,36,2,1,2,100,,2,,,,,,,,,,,,,,,,,,,,101013036
1,8,13,36,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101013036
1,8,13,48,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101013048
1,8,13,48,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101013048
1,8,13,66,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101013066
1,8,13,67,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,67,2,1,2,4,,2,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,87,1,1,2,50,,2,,,,,,,,,,,,,,,,,,,,101013087
1,8,13,95,1,1,1,300,,1,,3400,,,,,,,,,,,,,,,,,,101013095
1,8,13,95,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101013095
1,8,13,103,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101013103
1,8,13,103,2,,2,2,,2,,,,,,,,,,,,,,,,,,,,101013103
1,8,14,15,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,15,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,22,2,1,2,250,,2,,,,,,,,,,,,,,,,,,,,101014022
1,8,14,22,1,1,1,250,,2,,,,,,,,,,,,,,,,,,,,101014022
1,8,14,33,2,1,2,70,,2,,,,,,,,,,,,,,,,,,,,101014033
1,8,14,33,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101014033
1,8,14,36,1,1,1,300,,2,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,41,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,101014041
1,8,14,41,2,1,2,2,,2,,,,,,,,,,,,,,,,,,,,101014041
1,8,14,46,1,1,1,60,,2,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,3,1,3,400,,2,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,2,1,2,70,,1,-8,300,,,,,,,,,,,,,,,,,,101014046
1,8,14,57,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,57,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,69,1,1,1,90,,2,,,,,,,,,,,,,,,,,,,,101014069
1,8,14,69,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101014069
1,8,14,82,2,1,2,40,,2,,,,,,,,,,,,,,,,,,,,101014082
1,8,14,82,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101014082
1,8,14,113,1,1,1,200,0,2,,,,,,,,,,,,,,,,,,,,101014113
1,8,14,129,2,1,2,5,,2,,,,,,,,,,,,,,,,,,,,101014129
1,8,14,129,1,1,1,25,,2,,,,,,,,,,,,,,,,,,,,101014129
1,8,15,6,1,1,1,300,,2,,,,,,,,,,,,,,,,,,,,101015006
1,8,15,6,2,1,2,200,,1,-8,300,,-8,,,,,30,60,,3,"1,2,3,6",1,2,3,6,,,101015006
1,8,15,34,1,2,1,,,1,-8,,,,,,,,,,,,,,,,,,,101015034
1,8,15,119,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101015119
1,8,15,119,2,1,2,10,,2,,,,,,,,,,,,,,,,,,,,101015119
1,8,15,120,1,1,1,50,,1,-8,500,,,,,,,,,,,,,,,,,,101015120
1,8,15,151,1,2,1,,,1,-8,3000,,,,,,,,,,,,,,,,,,101015151
1,8,15,188,1,1,1,,,1,,230,,,,,,,30,30,,1,"1,2,3,5",1,2,3,5,,,101015188
1,8,15,191,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,101015191
1,8,15,191,2,1,2,5,,2,,,,,,,,,,,,,,,,,,,,101015191
1,8,15,194,1,1,1,5,,2,,,,,,,,,,,,,,,,,,,,101015194
1,8,16,23,2,1,2,4,,2,,,,,,,,,,,,,,,,,,,,101016023
1,8,16,23,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101016023
1,8,16,41,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101016041
1,8,16,41,2,1,2,30,,2,,,,,,,,,,,,,,,,,,,,101016041
1,8,16,51,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101016051
1,8,16,107,1,1,1,2,,2,,,,,,,,,,,,,,,,,,,,101016107
1,8,16,144,2,1,2,30,,2,,,,,,,,,,,,,,,,,,,,101016144
1,8,16,144,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101016144
1,8,16,217,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101016217
1,8,16,217,2,1,2,100,,2,,,,,,,,,,,,,,,,,,,,101016217
1,10,17,4,1,2,1,,,1,-8,100,,,,,,,,,,,,,,,,,,101017004
1,10,17,19,1,1,1,300,,2,,,,,,,,,,,,,,,,,,,,101017019
1,10,17,20,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101017020
1,10,17,21,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101017021
1,10,17,22,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101017022
1,10,17,27,1,1,2,35,,2,,,,,,,,,,,,,,,,,,,,101017027
1,10,17,31,1,1,1,120,,2,,,,,,,,,,,,,,,,,,,,101017031
1,10,17,49,1,2,1,,,1,-8,80,,,,,,,,,,,,,,,,,,101017049
1,10,17,51,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101017051
1,10,17,56,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101017056
1,10,18,14,1,1,2,100,,2,,,,,,,,,,,,,,,,,,,,101018014
1,10,18,18,1,2,1,,,1,1,500,,,,,,,,,,,,,,,,,,101018018
1,10,18,19,1,1,1,250,,2,,,,,,,,,,,,,,,,,,,,101018019
1,10,18,26,1,1,1,140,,2,,,,,,,,,,,,,,,,,,,,101018026
1,10,18,27,1,1,1,500,,2,,,,,,,,,,,,,,,,,,,,101018027
1,10,18,28,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101018028
1,10,18,30,1,1,1,250,,2,,,,,,,,,,,,,,,,,,,,101018030
1,10,18,33,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101018033
1,10,18,34,1,1,1,300,,1,-8,400,,,,,,,,,,,,,,,,,,101018034
1,10,18,41,1,1,1,300,,1,-8,1300,,,,,,,,,,,,,,,,,,101018041
1,10,18,43,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101018043
1,10,18,58,1,1,1,400,,2,,,,,,,,,,,,,,,,,,,,101018058
1,10,19,3,1,2,1,,,1,-8,100,,,,,,,,,,,,,,,,,,101019003
1,10,19,4,1,1,1,,,1,-8,100,,,,,,,,,,,,,,,,,,101019004
1,10,19,5,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101019005
1,10,19,10,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101019010
1,10,19,11,1,1,1,300,,2,,,,,,,,,,,,,,,,,,,,101019011
1,10,19,13,1,1,1,,,1,-8,50,,,,,,,,,,,,,,,,,,101019013
1,10,19,14,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101019014
1,10,19,17,1,1,1,400,,2,,,,,,,,,,,,,,,,,,,,101019017
1,10,19,20,1,1,1,30,,2,,,,,,,,,,,,,,,,,,,,101019020
1,10,20,4,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101020004
1,10,20,6,1,2,1,,,1,1,400,,,,,,,,,,,,,,,,,,101020006
1,10,20,10,1,2,1,,,1,-8,200,,,,,,,,,,,,,,,,,,101020010
1,10,20,14,1,2,1,,,1,1,50,,,,,,,,,,,,,,,,,,101020014
1,10,20,16,1,1,1,10,,1,-8,25,,,,,,,,,,,,,,,,,,101020016
1,10,20,18,1,2,1,,,1,1,,,,,,,,,,,,,,,,,,,101020018
1,10,20,25,1,1,1,150,,2,,,,,,,,,,,,,,,,,,,,101020025
1,10,20,37,1,2,1,,,1,2,30,,1,,,,,26,60,,4,"7",7,,,,,,101020037
1,10,21,1,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101021001
1,10,21,7,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101021007
1,10,21,11,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101021011
1,10,21,26,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101021026
1,10,21,26,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101021026
1,10,21,30,1,1,1,70,,2,,,,,,,,,,,,,,,,,,,,101021030
1,10,21,30,2,1,2,20,,2,,,,,,,,,,,,,,,,,,,,101021030
1,10,21,34,1,1,1,120,,2,,,,,,,,,,,,,,,,,,,,101021034
1,10,21,45,1,1,1,80,,1,-8,100,,,,,,,,,,,,,,,,,,101021045
1,10,21,51,1,1,1,60,,2,,,,,,,,,,,,,,,,,,,,101021051
1,10,21,62,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101021062
1,10,21,63,1,1,1,80,70,1,-8,100,,,,,,,,,,,,,,,,,,101021063
1,10,21,67,1,1,1,120,,2,,,,,,,,,,,,,,,,,,,,101021067
1,10,21,68,1,1,1,150,,2,,,,,,,,,,,,,,,,,,,,101021068
1,10,21,69,1,1,1,2000,,2,,,,,,,,,,,,,,,,,,,,101021069
1,10,21,69,2,1,2,500,,2,,,,,,,,,,,,,,,,,,,,101021069
1,17,22,5,1,1,1,1000,,2,,,,,,,,,,,,,,,,,,,,101022005
1,17,22,9,1,1,1,250,,1,-8,20,,,,,,,,,,,,,,,,,,101022009
1,17,22,11,1,2,1,,,1,-8,1000,,,,,,,,,,,,,,,,,,101022011
1,17,22,12,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101022012
1,17,22,18,1,1,1,20,,2,,,,,,,,,,,,,,,,,,,,101022018
1,17,22,24,1,1,1,130,,2,,,,,,,,,,,,,,,,,,,,101022024
1,17,22,25,1,1,1,10,,2,,,,,,,,,,,,,,,,,,,,101022025
1,17,22,33,1,1,1,400,,2,,,,,,,,,,,,,,,,,,,,101022033
1,17,22,35,1,1,1,20,,1,-8,25,,,,,,,,,,,,,,,,,,101022035
1,17,22,36,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101022036
1,17,22,36,2,2,1,,,1,-8,30,,,,,,,,,,,,,,,,,,101022036
1,17,22,37,1,1,1,120,,2,,,,,,,,,,,,,,,,,,,,101022037
1,16,23,11,1,1,1,150,,2,,,,,,,,,,,,,,,,,,,,101023011
1,16,23,13,1,1,1,70,,1,-8,800,,,,,,,,,,,,,,,,,,101023013
1,16,23,14,1,1,1,180,,1,-8,520,,,,,,,,,,,,,,,,,,101023014
1,16,23,15,1,1,1,40,,2,,,,,,,,,,,,,,,,,,,,101023015
1,16,23,17,1,1,1,140,,2,,,,,,,,,,,,,,,,,,,,101023017
1,16,23,18,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101023018
1,16,23,24,1,1,1,100,,2,,,,,,,,,,,,,,,,,,,,101023024
1,16,23,28,1,1,1,50,,2,,,,,,,,,,,,,,,,,,,,101023028
1,16,23,30,1,1,1,200,,2,,,,,,,,,,,,,,,,,,,,101023030
1,16,23,31,1,1,1,250,,2,,,,,,,,,,,,,,,,,,,,101023031
