"id1","id2","id3","id4","s4avi1_plotno","s4avi_a161i","s4avi_a162","s4avi_a163","s4avi_a164i","s4avi_a164ii","s4avi_a165i","s4avi_a165ii","s4avi_a166","s4avi_a167i","s4avi_a167ii","s4avi_a168i","s4avi_a168ii","s4avi_a169i","s4avi_a169ii","s4avi_a169iii","s4avi_a169iv","s4avi_a170i","s4avi_a170","s4avi_a171","s4avi_a172i","s4avi_a172ii","s4avi_a173i","s4avi_a173ii","s4avi_a174","s4avi_a175i","s4avi_a175ii","s4avi_a176i","s4avi_a176ii","s4avi_a177i","s4avi_a177ii","s4avi_a177iii","s4avi_a177iv","s4avi_a178i","s4avi_a178","s4avi_a179","s4avi_a180i","s4avi_a180ii","s4avi_a181i","s4avi_a181ii","s4avi_a182","s4avi_a183i","s4avi_a183ii","s4avi_a184i","s4avi_a184ii","s4avi_a185i","s4avi_a185ii","s4avi_a185iii","s4avi_a185iv","s4avi_a186i","s4avi_a186","s4avi_a187","s4avi_a188i","s4avi_a188ii","s4avi_a189i","s4avi_a189ii","s4avi_a190","s4avi_a191i","s4avi_a191ii","s4avi_a192i","s4avi_a192ii","s4avi_a193i","s4avi_a193ii","s4avi_a193iii","s4avi_a193iv","s4avi_a194i","s4avi_a194","s4avi_a195","s4avi_a196i","s4avi_a196ii","s4avi_a197i","s4avi_a197ii","s4avi_a198","s4avi_a199i","s4avi_a199ii","s4avi_a200i","s4avi_a200ii","s4avi_a201i","s4avi_a201ii","s4avi_a201iii","s4avi_a201iv","hhno"
1,2,25,12,1,1,1,4,3,15,43,,3,,,,,6,,,,18,1,4,2,15,24,,3,,,,,6,,,,91,1,2,5,19,100,,3,,,,,6,,,,21,1,5,20,37,400,,3,,,,,6,,,,55,1,3,3,15,24,,3,,,,,6,,,,101025012
1,2,25,13,2,1,1,4,1.5,15,27,,3,,,,,6,,,,22,1,3,1.5,15,15,,3,,,,,6,,,,15,1,2,6,19,90,,3,,,,,6,,,,51,1,5,13,37,13,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,13,1,1,1,4,1,15,18,,3,,,,,6,,,,22,1,3,1,15,10,,3,,,,,6,,,,15,1,2,3,19,45,,3,,,,,6,,,,51,1,5,6,37,6,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,33,2,1,1,4,3,15,75,,3,,,,,6,,,,18,1,4,2,15,30,,1,2,15,30,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,33,1,1,1,4,3,15,75,,3,,,,,6,,,,18,1,4,2,15,30,,1,2,15,30,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,37,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,101025037
1,2,25,37,1,1,1,4,1.5,15,22,50,1,1.5,15,22,50,6,,,,15,1,2,15,19,225,,3,,,,,6,,,,7,1,3,3,15,25,50,3,,,,,6,,,,89,1,5,25,37,15,,1,25,37,15,,6,,,,21,1,5,37,37,22,20,1,37,37,22,20,6,,,,101025037
1,2,25,43,1,55,1,3,3,15,24,,3,,,,,6,,,,1,1,4,2,15,30,,3,,,,,6,,,,18,1,4,3,15,30,,1,3,15,30,,6,,,,15,1,2,3,19,45,,3,,,,,6,,,,51,1,5,2,37,1,20,3,,,,,6,,,,101025043
1,2,25,43,2,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025043
1,2,25,44,,55,1,3,4,15,80,,1,4,15,80,,6,,,,18,1,4,1,18,40,,1,1,18,40,,6,,,,1,1,4,5,15,90,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025044
1,2,25,50,1,18,1,4,2,15,40,,1,2,15,40,,6,,,,1,1,4,2,15,30,,3,,,,,6,,,,15,1,2,2,19,45,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025050
1,2,25,51,1,1,1,4,3,15,75,,3,,,,,6,,,,15,1,2,2,19,50,,3,,,,,6,,,,18,1,2,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025051
1,2,25,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,54,1,1,1,4,2,15,30,,2,1,15,15,,6,,,,18,1,4,8,15,120,,2,2,15,30,,6,,,,38,1,4,6,15,204,,3,,,,,6,,,,21,1,5,100,37,100,,3,,,,,6,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,97,1,1,1,4,3,15,45,,3,,,,,6,,,,18,1,4,1,18,40,,1,1,18,40,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025097
1,2,25,100,1,1,1,4,10,15,150,,1,10,15,150,,6,,,,22,1,3,5,15,50,,3,,,,,6,,,,18,1,4,2,15,60,,1,2,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025100
1,2,25,100,2,1,1,4,15,15,225,,1,15,15,225,,6,,,,22,1,3,5,15,50,,3,,,,,6,,,,18,1,4,2,15,60,,1,2,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025100
1,2,25,101,1,1,1,4,1,15,20,,3,,,,,6,,,,18,1,2,1,18,40,,1,1,18,40,,6,,,,15,1,2,1,19,45,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025101
1,2,26,4,1,18,,4,4,15,40,,2,2,15,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026004
1,2,26,6,1,18,1,5,1,15,15,,1,1,15,15,,6,,,,19,1,4,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026006
1,2,26,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026010
1,2,26,10,1,19,1,2,3,15,60,,3,,,,,6,,,,1,1,4,4,15,60,,1,4,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026010
1,2,26,17,1,19,1,5,2,15,30,,1,2,15,30,,6,,,,18,1,4,2,15,20,,1,2,15,20,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026017
1,2,26,19,1,18,1,4,6,15,90,,2,1,15,15,,6,,,,1,1,4,1,15,25,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026019
1,2,26,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,23,2,1,1,4,1,15,20,,1,1,15,20,,6,,,,18,1,4,5,15,50,,1,5,15,50,,6,,,,19,1,2,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,24,1,19,1,2,0.5,15,12,50,1,0.5,15,12,50,6,,,,18,1,4,0.5,15,7,50,1,0.5,15,7,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026024
1,2,26,24,2,19,1,2,1.5,15,12,50,1,0.5,15,12,50,6,,,,18,1,4,0.5,15,7,50,1,0.5,15,7,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026024
1,2,26,26,1,1,1,4,2,15,50,,3,,,,,6,,,,19,1,2,3,15,60,,1,3,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026026
1,2,26,29,1,19,1,2,3,15,45,,3,,,,,6,,,,18,1,4,2,15,30,,3,,,,,6,,,,1,1,4,0.5,15,7,50,1,0.5,15,7,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026029
1,2,26,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026030
1,2,26,30,1,1,1,4,1,15,15,,3,,,,,6,,,,18,1,4,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026030
1,2,26,40,1,19,1,2,3,15,45,,1,3,15,45,,6,,,,18,1,4,3,15,45,,1,3,15,45,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,40,2,19,1,2,1,15,15,,3,,,,,6,,,,18,1,4,1,15,15,,1,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026040
1,2,26,42,1,18,1,4,15,15,225,,2,5,15,75,,6,,,,19,1,5,20,15,300,,2,4,15,60,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,2,18,1,,10,15,150,,3,,,,,6,,,,19,1,5,15,15,225,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026042
1,2,26,43,1,18,1,4,5,15,75,,1,5,15,75,,6,,,,19,1,2,6,15,90,,2,2,15,30,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
1,2,26,43,2,18,1,4,1,15,15,,1,1,15,15,,6,,,,19,1,2,1,15,15,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026043
1,2,28,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,8,4,22,1,3,13,14,30,,3,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,32,1,1,1,4,3,14,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,35,2,15,2,,,,,,,,,,,,,,,1,1,4,4,15,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028035
1,2,28,35,1,15,1,2,20,18,300,,3,,,,,6,,,,1,1,4,4,15,60,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028035
1,2,28,35,3,15,2,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028035
1,2,28,41,1,18,1,4,6,15,120,,3,,,,,6,,,,1,1,4,6,15,150,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028041
1,2,28,41,2,18,1,4,6,15,120,,3,,,,,6,,,,1,1,4,6,15,150,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028041
1,6,1,4,3,18,1,4,3,41,30,,3,,,,,6,,,,21,1,5,25,37,25,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001004
1,6,1,4,2,18,1,4,3,41,30,,3,,,,,6,,,,21,1,5,25,37,25,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001004
1,6,1,4,1,18,1,4,3,41,30,,3,,,,,6,,,,21,1,5,25,37,25,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001004
1,6,1,15,1,18,1,4,6,5,60,,3,,,,,5,,,,7,1,3,8,15,88,,3,,,,,6,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001015
1,6,1,15,2,18,2,,,,,,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001015
1,6,1,15,3,18,1,4,7,5,70,,3,,,,,5,,,,7,1,3,9,15,99,,3,,,,,6,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001015
1,6,1,23,1,22,1,3,2,5,20,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001023
1,6,1,24,2,18,1,4,3,41,30,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001024
1,6,1,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001024
1,6,1,24,1,18,1,4,3,41,30,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001024
1,6,1,29,1,18,1,4,5,4,50,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001029
1,6,1,34,1,19,1,2,5,41,55,,3,,,,,6,12,,,20,1,2,3,14,16,50,3,,,,,12,6,,,,1,4,12,41,,,1,12,41,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001034
1,8,13,6,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013006
1,8,13,6,2,7,1,3,1,15,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013006
1,8,13,8,3,7,1,3,2,15,20,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,8,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,8,2,7,1,,5,15,50,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,30,1,7,1,3,2,15,12,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013030
1,8,13,30,2,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013030
1,8,13,32,1,15,1,2,1,14,10,,3,,,,,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013032
1,8,13,67,4,78,2,,,,,,,,,,,,,,,6,1,3,1,15,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,67,1,78,1,2,2,19,15,,1,2,15,20,,6,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,67,2,78,2,,,,,,,,,,,,,,,6,1,3,3,15,30,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,67,3,78,2,,,,,,,,,,,,,,,6,1,3,1,15,10,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013067
1,8,13,95,1,18,1,4,3,7,900,,3,10,15,250,,,,,,78,1,2,10,19,150,,3,,,,,6,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013095
1,8,13,95,2,18,2,,,,,,,,,,,,,,,78,2,,,,,,,,,,,,,,,7,1,3,7,7,315,,3,,,,,,,,,33,1,3,10,15,100,,3,,,,,,,,,,,,,,,,,,,,,,,,,101013095
1,8,13,103,2,18,1,4,4,15,60,,2,2,15,30,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013103
1,8,13,103,3,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013103
1,8,13,103,1,18,1,4,2,15,30,,2,1,15,15,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013103
1,8,14,22,1,16,1,2,1,18,35,,3,,,,,19,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014022
1,8,14,36,1,19,1,2,4,19,112,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,41,1,33,1,3,3,15,19,50,3,,,,,,,,,15,2,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014041
1,8,14,41,2,33,1,3,3,15,19,50,3,,,,,,,,,15,1,2,1,19,30,,3,,,,,27,,,,10,1,4,3,15,18,,3,,,,,,,,,66,1,2,3,15,21,,3,,,,,,,,,,,,,,,,,,,,,,,,,101014041
1,8,14,46,4,66,1,3,0.5,15,3,,3,,,,,,,,,10,2,,,,,,,,,,,,,,,17,1,4,,,,,,1,15,5,,19,,,,15,1,2,0.5,19,12,50,3,,,,,22,,,,66,1,3,0.5,,3,,3,,,,,,,,,101014046
1,8,14,46,5,66,1,3,0.5,15,3,,3,,,,,,,,,10,2,,,,,,,,,,,,,,,17,2,,,,,,,,,,,,,,,15,1,2,0.5,19,12,50,3,,,,,22,,,,66,1,3,0.5,,3,,3,,,,,,,,,101014046
1,8,14,46,1,66,1,3,1,15,6,,3,,,,,,,,,10,2,,,,,,,,,,,,,,,17,1,4,,,,,,3,15,15,,19,,,,15,2,,,,,,,,,,,,,,,66,1,3,1,,6,,3,,,,,,,,,101014046
1,8,14,46,2,66,1,3,1,15,6,,3,,,,,,,,,10,2,,,,,,,,,,,,,,,17,1,4,,,,,,2,15,10,,19,,,,15,2,,,,,,,,,,,,,,,66,1,3,1,,6,,3,,,,,,,,,101014046
1,8,14,46,3,66,1,3,1,15,6,,3,,,,,,,,,10,1,4,3,15,9,,3,,,,,27,12,,,17,2,,,,,,,,,,,,,,,15,1,2,1,19,25,,3,,,,,29,27,12,,66,1,3,1,,6,,3,,,,,,,,,101014046
1,8,14,57,1,33,1,3,2,15,13,,3,,,,,,,,,66,1,3,2,15,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,57,2,33,1,3,3,15,19,50,3,,,,,,,,,66,1,3,2,15,15,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014065
1,8,14,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014065
1,8,14,65,3,66,1,2,12,15,84,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014065
1,8,14,69,2,15,1,2,2,19,120,,3,,,,,29,2,5,,1,2,,,,,,,,,,,,,,,33,1,3,6,15,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014069
1,8,14,69,1,15,1,2,1,19,60,,3,,,,,19,27,12,,1,1,3,3,15,90,,3,,,,,,,,,33,1,3,3,15,45,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014069
1,8,14,129,1,19,1,2,8,17,4,,3,,,,,27,12,,,10,1,4,3,15,9,,3,,,,,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014129
