"id1","id2","id3","id4","cropno","s4bii_b74i","s4bii_b74ii","s4bii_b75i","s4bii_b75ii","s4bii_b76i","s4bii_b76ii","s4bii_b77","s4bii_b78","s4bii_b79","s4bii_b80","s4bii_b81","s4bii_b82","hhno"
1,2,5,36,12,,,,,,,,,,,,,101005036
1,2,5,36,13,,,,,,,,,,,,,101005036
1,2,5,36,10,,,,,,,,,,,,,101005036
1,2,5,36,8,,,,,,,,,,,,,101005036
1,2,5,36,3,27,"PEPPER",1,4,1,4,2,2,,1,10,"2",101005036
1,2,5,36,6,,,,,,,,,,,,,101005036
1,2,5,36,7,,,,,,,,,,,,,101005036
1,2,5,36,14,,,,,,,,,,,,,101005036
1,2,5,36,11,,,,,,,,,,,,,101005036
1,2,5,36,2,,,,,,,,,,,,,101005036
1,2,5,36,4,,,,,,,,,,,,,101005036
1,2,5,36,5,,,,,,,,,,,,,101005036
1,2,5,36,15,,,,,,,,,,,,,101005036
1,2,5,36,9,,,,,,,,,,,,,101005036
1,2,5,36,1,5,"CASSAVA",5,18,4,18,1,2,,1,15,"5",101005036
1,2,5,52,3,,,,,,,,,,,,,101005052
1,2,5,52,10,,,,,,,,,,,,,101005052
1,2,5,52,13,,,,,,,,,,,,,101005052
1,2,5,52,5,,,,,,,,,,,,,101005052
1,2,5,52,2,19,"MAIZE",1,19,5,19,2,2,,2,,,101005052
1,2,5,52,15,,,,,,,,,,,,,101005052
1,2,5,52,7,,,,,,,,,,,,,101005052
1,2,5,52,12,,,,,,,,,,,,,101005052
1,2,5,52,4,,,,,,,,,,,,,101005052
1,2,5,52,1,5,"CASSAVA",2,4,1,4,1,2,,2,,,101005052
1,2,5,52,9,,,,,,,,,,,,,101005052
1,2,5,52,6,,,,,,,,,,,,,101005052
1,2,5,52,8,,,,,,,,,,,,,101005052
1,2,5,52,14,,,,,,,,,,,,,101005052
1,2,5,52,11,,,,,,,,,,,,,101005052
1,2,6,15,4,,,,,,,,,,,,,101006015
1,2,6,15,5,,,,,,,,,,,,,101006015
1,2,6,15,12,,,,,,,,,,,,,101006015
1,2,6,15,1,6,"COCOA",1,19,2,19,2,2,,2,,,101006015
1,2,6,15,13,,,,,,,,,,,,,101006015
1,2,6,15,11,,,,,,,,,,,,,101006015
1,2,6,15,6,,,,,,,,,,,,,101006015
1,2,6,15,14,,,,,,,,,,,,,101006015
1,2,6,15,9,,,,,,,,,,,,,101006015
1,2,6,15,10,,,,,,,,,,,,,101006015
1,2,6,15,7,,,,,,,,,,,,,101006015
1,2,6,15,15,,,,,,,,,,,,,101006015
1,2,6,15,2,,,,,,,,,,,,,101006015
1,2,6,15,8,,,,,,,,,,,,,101006015
1,2,6,15,3,,,,,,,,,,,,,101006015
1,2,7,26,14,,,,,,,,,,,,,101007026
1,2,7,26,9,,,,,,,,,,,,,101007026
1,2,7,26,13,,,,,,,,,,,,,101007026
1,2,7,26,1,12,,1.5,6,1.5,6,2,2,,2,,,101007026
1,2,7,26,5,,,,,,,,,,,,,101007026
1,2,7,26,12,,,,,,,,,,,,,101007026
1,2,7,26,3,,,,,,,,,,,,,101007026
1,2,7,26,8,,,,,,,,,,,,,101007026
1,2,7,26,7,,,,,,,,,,,,,101007026
1,2,7,26,4,,,,,,,,,,,,,101007026
1,2,7,26,10,,,,,,,,,,,,,101007026
1,2,7,26,11,,,,,,,,,,,,,101007026
1,2,7,26,15,,,,,,,,,,,,,101007026
1,2,7,26,6,,,,,,,,,,,,,101007026
1,2,7,26,2,,,,,,,,,,,,,101007026
1,2,7,33,6,,,,,,,,,,,,,101007033
1,2,7,33,9,,,,,,,,,,,,,101007033
1,2,7,33,3,,,,,,,,,,,,,101007033
1,2,7,33,11,,,,,,,,,,,,,101007033
1,2,7,33,1,5,"CASSAVA",10,4,,,1,2,,2,,,101007033
1,2,7,33,14,,,,,,,,,,,,,101007033
1,2,7,33,12,,,,,,,,,,,,,101007033
1,2,7,33,10,,,,,,,,,,,,,101007033
1,2,7,33,8,,,,,,,,,,,,,101007033
1,2,7,33,4,,,,,,,,,,,,,101007033
1,2,7,33,5,,,,,,,,,,,,,101007033
1,2,7,33,13,,,,,,,,,,,,,101007033
1,2,7,33,15,,,,,,,,,,,,,101007033
1,2,7,33,7,,,,,,,,,,,,,101007033
1,2,7,33,2,,,,,,,,,,,,,101007033
1,2,25,6,14,,,,,,,,,,,,,101025006
1,2,25,6,10,,,,,,,,,,,,,101025006
1,2,25,6,3,,,,,,,,,,,,,101025006
1,2,25,6,9,,,,,,,,,,,,,101025006
1,2,25,6,11,,,,,,,,,,,,,101025006
1,2,25,6,13,,,,,,,,,,,,,101025006
1,2,25,6,6,,,,,,,,,,,,,101025006
1,2,25,6,1,5,"CASSAVA",3,4,1,4,2,2,,2,,,101025006
1,2,25,6,8,,,,,,,,,,,,,101025006
1,2,25,6,4,,,,,,,,,,,,,101025006
1,2,25,6,15,,,,,,,,,,,,,101025006
1,2,25,6,7,,,,,,,,,,,,,101025006
1,2,25,6,12,,,,,,,,,,,,,101025006
1,2,25,6,5,,,,,,,,,,,,,101025006
1,2,25,6,2,29,"PLANTAIN",5,8,2,8,2,2,,2,,,101025006
1,2,25,13,9,,,,,,,,,,,,,101025013
1,2,25,13,8,,,,,,,,,,,,,101025013
1,2,25,13,5,,,,,,,,,,,,,101025013
1,2,25,13,12,,,,,,,,,,,,,101025013
1,2,25,13,15,,,,,,,,,,,,,101025013
1,2,25,13,6,,,,,,,,,,,,,101025013
1,2,25,13,7,,,,,,,,,,,,,101025013
1,2,25,13,11,,,,,,,,,,,,,101025013
1,2,25,13,13,,,,,,,,,,,,,101025013
1,2,25,13,3,,,,,,,,,,,,,101025013
1,2,25,13,2,,,,,,,,,,,,,101025013
1,2,25,13,14,,,,,,,,,,,,,101025013
1,2,25,13,10,,,,,,,,,,,,,101025013
1,2,25,13,4,,,,,,,,,,,,,101025013
1,2,25,13,1,29,"PLANTAIN",3,8,1,8,2,2,,2,,,101025013
1,2,25,37,6,,,,,,,,,,,,,101025037
1,2,25,37,13,,,,,,,,,,,,,101025037
1,2,25,37,2,,,,,,,,,,,,,101025037
1,2,25,37,15,,,,,,,,,,,,,101025037
1,2,25,37,7,,,,,,,,,,,,,101025037
1,2,25,37,1,5,"CASSAVA",3,18,1,18,2,2,,2,,,101025037
1,2,25,37,5,,,,,,,,,,,,,101025037
1,2,25,37,14,,,,,,,,,,,,,101025037
1,2,25,37,4,,,,,,,,,,,,,101025037
1,2,25,37,8,,,,,,,,,,,,,101025037
1,2,25,37,11,,,,,,,,,,,,,101025037
1,2,25,37,9,,,,,,,,,,,,,101025037
1,2,25,37,3,,,,,,,,,,,,,101025037
1,2,25,37,10,,,,,,,,,,,,,101025037
1,2,25,37,12,,,,,,,,,,,,,101025037
1,2,25,43,11,,,,,,,,,,,,,101025043
1,2,25,43,15,,,,,,,,,,,,,101025043
1,2,25,43,7,,,,,,,,,,,,,101025043
1,2,25,43,1,5,"CASSAVA",2,4,1,4,2,2,,2,,,101025043
1,2,25,43,13,,,,,,,,,,,,,101025043
1,2,25,43,2,,,,,,,,,,,,,101025043
1,2,25,43,8,,,,,,,,,,,,,101025043
1,2,25,43,3,,,,,,,,,,,,,101025043
1,2,25,43,6,,,,,,,,,,,,,101025043
1,2,25,43,14,,,,,,,,,,,,,101025043
1,2,25,43,9,,,,,,,,,,,,,101025043
1,2,25,43,5,,,,,,,,,,,,,101025043
1,2,25,43,4,,,,,,,,,,,,,101025043
1,2,25,43,12,,,,,,,,,,,,,101025043
1,2,25,43,10,,,,,,,,,,,,,101025043
1,2,25,51,1,5,"CASSAVA",1,18,5,4,2,2,,2,,,101025051
1,2,25,51,11,,,,,,,,,,,,,101025051
1,2,25,51,15,,,,,,,,,,,,,101025051
1,2,25,51,7,,,,,,,,,,,,,101025051
1,2,25,51,12,,,,,,,,,,,,,101025051
1,2,25,51,8,,,,,,,,,,,,,101025051
1,2,25,51,2,,,,,,,,,,,,,101025051
1,2,25,51,5,,,,,,,,,,,,,101025051
1,2,25,51,3,,,,,,,,,,,,,101025051
1,2,25,51,6,,,,,,,,,,,,,101025051
1,2,25,51,13,,,,,,,,,,,,,101025051
1,2,25,51,10,,,,,,,,,,,,,101025051
1,2,25,51,14,,,,,,,,,,,,,101025051
1,2,25,51,9,,,,,,,,,,,,,101025051
1,2,25,51,4,,,,,,,,,,,,,101025051
1,2,26,23,15,,,,,,,,,,,,,101026023
1,2,26,23,14,,,,,,,,,,,,,101026023
1,2,26,23,11,,,,,,,,,,,,,101026023
1,2,26,23,10,,,,,,,,,,,,,101026023
1,2,26,23,7,,,,,,,,,,,,,101026023
1,2,26,23,9,,,,,,,,,,,,,101026023
1,2,26,23,13,,,,,,,,,,,,,101026023
1,2,26,23,1,5,"CASSAVA",2,4,1,4,2,2,,2,,,101026023
1,2,26,23,3,,,,,,,,,,,,,101026023
1,2,26,23,2,29,"PLANTAIN",15,8,5,8,2,2,,2,,,101026023
1,2,26,23,6,,,,,,,,,,,,,101026023
1,2,26,23,4,,,,,,,,,,,,,101026023
1,2,26,23,5,,,,,,,,,,,,,101026023
1,2,26,23,8,,,,,,,,,,,,,101026023
1,2,26,23,12,,,,,,,,,,,,,101026023
1,2,26,29,1,5,"CASSAVA",12,4,10,4,1,2,,2,,,101026029
1,2,26,29,3,,,,,,,,,,,,,101026029
1,2,26,29,13,,,,,,,,,,,,,101026029
1,2,26,29,8,,,,,,,,,,,,,101026029
1,2,26,29,4,,,,,,,,,,,,,101026029
1,2,26,29,15,,,,,,,,,,,,,101026029
1,2,26,29,14,,,,,,,,,,,,,101026029
1,2,26,29,11,,,,,,,,,,,,,101026029
1,2,26,29,7,,,,,,,,,,,,,101026029
1,2,26,29,5,,,,,,,,,,,,,101026029
1,2,26,29,12,,,,,,,,,,,,,101026029
1,2,26,29,9,,,,,,,,,,,,,101026029
1,2,26,29,10,,,,,,,,,,,,,101026029
1,2,26,29,2,,,,,,,,,,,,,101026029
1,2,26,29,6,,,,,,,,,,,,,101026029
1,2,26,40,1,5,"CASSAVA",10,4,5,4,1,2,,2,,,101026040
1,2,26,40,14,,,,,,,,,,,,,101026040
1,2,26,40,15,,,,,,,,,,,,,101026040
1,2,26,40,12,,,,,,,,,,,,,101026040
1,2,26,40,5,,,,,,,,,,,,,101026040
1,2,26,40,13,,,,,,,,,,,,,101026040
1,2,26,40,2,29,"PLANTAIN",8,8,6,8,2,2,,2,,,101026040
1,2,26,40,11,,,,,,,,,,,,,101026040
1,2,26,40,3,,,,,,,,,,,,,101026040
1,2,26,40,10,,,,,,,,,,,,,101026040
1,2,26,40,7,,,,,,,,,,,,,101026040
1,2,26,40,4,,,,,,,,,,,,,101026040
1,2,26,40,6,,,,,,,,,,,,,101026040
1,2,26,40,9,,,,,,,,,,,,,101026040
1,2,26,40,8,,,,,,,,,,,,,101026040
1,2,28,10,13,,,,,,,,,,,,,101028010
1,2,28,10,6,,,,,,,,,,,,,101028010
1,2,28,10,2,,,,,,,,,,,,,101028010
1,2,28,10,1,6,"COCOA",12,18,2,18,6,2,,1,20,"7",101028010
1,2,28,10,7,,,,,,,,,,,,,101028010
1,2,28,10,12,,,,,,,,,,,,,101028010
1,2,28,10,3,,,,,,,,,,,,,101028010
1,2,28,10,11,,,,,,,,,,,,,101028010
1,2,28,10,5,,,,,,,,,,,,,101028010
1,2,28,10,8,,,,,,,,,,,,,101028010
1,2,28,10,4,,,,,,,,,,,,,101028010
1,2,28,10,15,,,,,,,,,,,,,101028010
1,2,28,10,14,,,,,,,,,,,,,101028010
1,2,28,10,10,,,,,,,,,,,,,101028010
1,2,28,10,9,,,,,,,,,,,,,101028010
1,6,1,35,4,,,,,,,,,,,,,101001035
1,6,1,35,14,,,,,,,,,,,,,101001035
1,6,1,35,15,,,,,,,,,,,,,101001035
1,6,1,35,1,5,"CASSAVA",1,19,1,19,2,2,,1,5,"7",101001035
1,6,1,35,8,,,,,,,,,,,,,101001035
1,6,1,35,11,,,,,,,,,,,,,101001035
1,6,1,35,9,,,,,,,,,,,,,101001035
1,6,1,35,5,,,,,,,,,,,,,101001035
1,6,1,35,10,,,,,,,,,,,,,101001035
1,6,1,35,12,,,,,,,,,,,,,101001035
1,6,1,35,2,,,,,,,,,,,,,101001035
1,6,1,35,3,,,,,,,,,,,,,101001035
1,6,1,35,13,,,,,,,,,,,,,101001035
1,6,1,35,7,,,,,,,,,,,,,101001035
1,6,1,35,6,,,,,,,,,,,,,101001035
1,8,13,8,6,,,,,,,,,,,,,101013008
1,8,13,8,14,,,,,,,,,,,,,101013008
1,8,13,8,10,,,,,,,,,,,,,101013008
1,8,13,8,8,,,,,,,,,,,,,101013008
1,8,13,8,3,,,,,,,,,,,,,101013008
1,8,13,8,11,,,,,,,,,,,,,101013008
1,8,13,8,15,,,,,,,,,,,,,101013008
1,8,13,8,9,,,,,,,,,,,,,101013008
1,8,13,8,7,,,,,,,,,,,,,101013008
1,8,13,8,4,,,,,,,,,,,,,101013008
1,8,13,8,5,,,,,,,,,,,,,101013008
1,8,13,8,13,,,,,,,,,,,,,101013008
1,8,13,8,2,,,,,,,,,,,,,101013008
1,8,13,8,1,6,"COCOA",10,14,10,14,2,2,,2,,,101013008
1,8,13,8,12,,,,,,,,,,,,,101013008
1,8,13,95,2,,,,,,,,,,,,,101013095
1,8,13,95,9,,,,,,,,,,,,,101013095
1,8,13,95,6,,,,,,,,,,,,,101013095
1,8,13,95,14,,,,,,,,,,,,,101013095
1,8,13,95,11,,,,,,,,,,,,,101013095
1,8,13,95,10,,,,,,,,,,,,,101013095
1,8,13,95,7,,,,,,,,,,,,,101013095
1,8,13,95,8,,,,,,,,,,,,,101013095
1,8,13,95,13,,,,,,,,,,,,,101013095
1,8,13,95,15,,,,,,,,,,,,,101013095
1,8,13,95,5,,,,,,,,,,,,,101013095
1,8,13,95,12,,,,,,,,,,,,,101013095
1,8,13,95,4,,,,,,,,,,,,,101013095
1,8,13,95,3,,,,,,,,,,,,,101013095
1,8,13,95,1,32,"RUBBER",1.5,24,1.5,24,5,2,,2,,,101013095
1,8,14,11,12,,,,,,,,,,,,,101014011
1,8,14,11,9,,,,,,,,,,,,,101014011
1,8,14,11,1,19,"MAIZE",2,18,1,19,3,2,,1,3,"1",101014011
1,8,14,11,6,,,,,,,,,,,,,101014011
1,8,14,11,5,,,,,,,,,,,,,101014011
1,8,14,11,2,,,,,,,,,,,,,101014011
1,8,14,11,11,,,,,,,,,,,,,101014011
1,8,14,11,15,,,,,,,,,,,,,101014011
1,8,14,11,13,,,,,,,,,,,,,101014011
1,8,14,11,4,,,,,,,,,,,,,101014011
1,8,14,11,7,,,,,,,,,,,,,101014011
1,8,14,11,14,,,,,,,,,,,,,101014011
1,8,14,11,8,,,,,,,,,,,,,101014011
1,8,14,11,3,,,,,,,,,,,,,101014011
1,8,14,11,10,,,,,,,,,,,,,101014011
1,8,14,22,8,,,,,,,,,,,,,101014022
1,8,14,22,10,,,,,,,,,,,,,101014022
1,8,14,22,14,,,,,,,,,,,,,101014022
1,8,14,22,9,,,,,,,,,,,,,101014022
1,8,14,22,4,,,,,,,,,,,,,101014022
1,8,14,22,15,,,,,,,,,,,,,101014022
1,8,14,22,1,19,"MAIZE",1,18,8,2,2,2,,1,10,"5",101014022
1,8,14,22,5,,,,,,,,,,,,,101014022
1,8,14,22,11,,,,,,,,,,,,,101014022
1,8,14,22,6,,,,,,,,,,,,,101014022
1,8,14,22,2,,,,,,,,,,,,,101014022
1,8,14,22,12,,,,,,,,,,,,,101014022
1,8,14,22,3,,,,,,,,,,,,,101014022
1,8,14,22,7,,,,,,,,,,,,,101014022
1,8,14,22,13,,,,,,,,,,,,,101014022
1,8,14,41,11,,,,,,,,,,,,,101014041
1,8,14,41,1,19,"OWUSU",1,19,1,19,2,2,,2,,,101014041
1,8,14,41,5,,,,,,,,,,,,,101014041
1,8,14,41,7,,,,,,,,,,,,,101014041
1,8,14,41,12,,,,,,,,,,,,,101014041
1,8,14,41,15,,,,,,,,,,,,,101014041
1,8,14,41,6,,,,,,,,,,,,,101014041
1,8,14,41,4,,,,,,,,,,,,,101014041
1,8,14,41,14,,,,,,,,,,,,,101014041
1,8,14,41,3,,,,,,,,,,,,,101014041
1,8,14,41,8,,,,,,,,,,,,,101014041
1,8,14,41,10,,,,,,,,,,,,,101014041
1,8,14,41,9,,,,,,,,,,,,,101014041
1,8,14,41,13,,,,,,,,,,,,,101014041
1,8,14,41,2,,,,,,,,,,,,,101014041
1,8,14,46,9,,,,,,,,,,,,,101014046
1,8,14,46,6,,,,,,,,,,,,,101014046
1,8,14,46,2,,,,,,,,,,,,,101014046
1,8,14,46,12,,,,,,,,,,,,,101014046
1,8,14,46,13,,,,,,,,,,,,,101014046
1,8,14,46,11,,,,,,,,,,,,,101014046
1,8,14,46,15,,,,,,,,,,,,,101014046
1,8,14,46,10,,,,,,,,,,,,,101014046
1,8,14,46,3,,,,,,,,,,,,,101014046
1,8,14,46,8,,,,,,,,,,,,,101014046
1,8,14,46,5,,,,,,,,,,,,,101014046
1,8,14,46,1,19,"MAIZE",16.5,19,15,19,2,2,,1,10,"1,2,5",101014046
1,8,14,46,14,,,,,,,,,,,,,101014046
1,8,14,46,4,,,,,,,,,,,,,101014046
1,8,14,46,7,,,,,,,,,,,,,101014046
1,8,14,69,7,,,,,,,,,,,,,101014069
1,8,14,69,13,,,,,,,,,,,,,101014069
1,8,14,69,15,,,,,,,,,,,,,101014069
1,8,14,69,1,19,"MAIZE",10,29,3,29,2,1,"10",1,5,"1",101014069
1,8,14,69,11,,,,,,,,,,,,,101014069
1,8,14,69,14,,,,,,,,,,,,,101014069
1,8,14,69,10,,,,,,,,,,,,,101014069
1,8,14,69,5,,,,,,,,,,,,,101014069
1,8,14,69,9,,,,,,,,,,,,,101014069
1,8,14,69,2,,,,,,,,,,,,,101014069
1,8,14,69,6,,,,,,,,,,,,,101014069
1,8,14,69,3,,,,,,,,,,,,,101014069
1,8,14,69,8,,,,,,,,,,,,,101014069
1,8,14,69,12,,,,,,,,,,,,,101014069
1,8,14,69,4,,,,,,,,,,,,,101014069
1,8,15,6,14,,,,,,,,,,,,,101015006
1,8,15,6,12,,,,,,,,,,,,,101015006
1,8,15,6,5,,,,,,,,,,,,,101015006
1,8,15,6,3,,,,,,,,,,,,,101015006
1,8,15,6,1,6,"COCOA",,18,1.5,18,3,2,,2,,,101015006
1,8,15,6,2,,,,,,,,,,,,,101015006
1,8,15,6,7,,,,,,,,,,,,,101015006
1,8,15,6,6,,,,,,,,,,,,,101015006
1,8,15,6,9,,,,,,,,,,,,,101015006
1,8,15,6,11,,,,,,,,,,,,,101015006
1,8,15,6,4,,,,,,,,,,,,,101015006
1,8,15,6,10,,,,,,,,,,,,,101015006
1,8,15,6,15,,,,,,,,,,,,,101015006
1,8,15,6,13,,,,,,,,,,,,,101015006
1,8,15,6,8,,,,,,,,,,,,,101015006
1,8,15,55,,,,,,,,,,,,,,101015055
1,8,15,191,11,,,,,,,,,,,,,101015191
1,8,15,191,2,,,,,,,,,,,,,101015191
1,8,15,191,6,,,,,,,,,,,,,101015191
1,8,15,191,7,,,,,,,,,,,,,101015191
1,8,15,191,14,,,,,,,,,,,,,101015191
1,8,15,191,12,,,,,,,,,,,,,101015191
1,8,15,191,1,6,"COCOA",1,14,1,14,2,2,,2,,,101015191
1,8,15,191,8,,,,,,,,,,,,,101015191
1,8,15,191,9,,,,,,,,,,,,,101015191
1,8,15,191,15,,,,,,,,,,,,,101015191
1,8,15,191,13,,,,,,,,,,,,,101015191
1,8,15,191,4,,,,,,,,,,,,,101015191
1,8,15,191,3,,,,,,,,,,,,,101015191
1,8,15,191,5,,,,,,,,,,,,,101015191
1,8,15,191,10,,,,,,,,,,,,,101015191
1,8,16,1,2,,,,,,,,,,,,,101016001
1,8,16,1,11,,,,,,,,,,,,,101016001
1,8,16,1,4,,,,,,,,,,,,,101016001
1,8,16,1,15,,,,,,,,,,,,,101016001
1,8,16,1,10,,,,,,,,,,,,,101016001
1,8,16,1,9,,,,,,,,,,,,,101016001
1,8,16,1,14,,,,,,,,,,,,,101016001
1,8,16,1,5,,,,,,,,,,,,,101016001
1,8,16,1,6,,,,,,,,,,,,,101016001
1,8,16,1,8,,,,,,,,,,,,,101016001
1,8,16,1,13,,,,,,,,,,,,,101016001
1,8,16,1,12,,,,,,,,,,,,,101016001
1,8,16,1,7,,,,,,,,,,,,,101016001
1,8,16,1,3,,,,,,,,,,,,,101016001
1,8,16,1,1,19,"MAIZE",6,2,1,2,2,2,,1,10,"1",101016001
1,8,16,144,14,,,,,,,,,,,,,101016144
1,8,16,144,5,,,,,,,,,,,,,101016144
1,8,16,144,10,,,,,,,,,,,,,101016144
1,8,16,144,3,,,,,,,,,,,,,101016144
1,8,16,144,4,,,,,,,,,,,,,101016144
1,8,16,144,12,,,,,,,,,,,,,101016144
1,8,16,144,9,,,,,,,,,,,,,101016144
1,8,16,144,6,,,,,,,,,,,,,101016144
1,8,16,144,7,,,,,,,,,,,,,101016144
1,8,16,144,15,,,,,,,,,,,,,101016144
1,8,16,144,1,19,"MAIZE",10,6,5,6,2,2,,1,10,"5",101016144
1,8,16,144,13,,,,,,,,,,,,,101016144
1,8,16,144,2,,,,,,,,,,,,,101016144
1,8,16,144,8,,,,,,,,,,,,,101016144
1,8,16,144,11,,,,,,,,,,,,,101016144
1,8,16,152,10,,,,,,,,,,,,,101016152
1,8,16,152,9,,,,,,,,,,,,,101016152
1,8,16,152,2,,,,,,,,,,,,,101016152
1,8,16,152,15,,,,,,,,,,,,,101016152
1,8,16,152,3,,,,,,,,,,,,,101016152
1,8,16,152,8,,,,,,,,,,,,,101016152
1,8,16,152,14,,,,,,,,,,,,,101016152
1,8,16,152,13,,,,,,,,,,,,,101016152
1,8,16,152,4,,,,,,,,,,,,,101016152
1,8,16,152,1,19,"MAIZE",2,6,2,17,2,2,,2,,,101016152
1,8,16,152,7,,,,,,,,,,,,,101016152
1,8,16,152,5,,,,,,,,,,,,,101016152
1,8,16,152,12,,,,,,,,,,,,,101016152
1,8,16,152,6,,,,,,,,,,,,,101016152
1,8,16,152,11,,,,,,,,,,,,,101016152
1,10,17,56,13,,,,,,,,,,,,,101017056
1,10,17,56,7,,,,,,,,,,,,,101017056
1,10,17,56,1,,,,,,,,,,,,,101017056
1,10,17,56,10,,,,,,,,,,,,,101017056
1,10,17,56,3,,,,,,,,,,,,,101017056
1,10,17,56,14,,,,,,,,,,,,,101017056
1,10,17,56,8,,,,,,,,,,,,,101017056
