"id1","id2","id3","id4","s9d_ie","s9e_i","s9e_ii","s9e_9","s9e_10","s9e_11","s9e_12","s9e_13","s9e_14","s9e_15","s9e_16","s9e_iii","s9e_iv","hhno"
1,1,8,78,4,10,16,"A","C","D","A","A","B","A","C",10,19,101008078
1,1,8,78,2,9,32,"A","A","C","A","C","A","D","A",9,35,101008078
1,1,31,1,2,,,"B","B","D","C","C","B","D","C",,,101031001
1,1,31,1,4,,,"B","B","B","C","C","B","B","A",,,101031001
1,1,31,1,3,,,"B","B","B","C","B","C","B","A",,,101031001
1,1,31,1,5,,,"B","B","B","C","C","B","B","A",,,101031001
1,1,31,15,2,14,48,"B","C","D","C","C","B","D","A",14,59,101031015
1,1,31,17,3,18,39,"C","B","A","B","A","A","B","C",18,46,101031017
1,1,31,17,2,18,30,"B","A","D","C","C","B","D","A",18,38,101031017
1,1,31,17,4,18,47,"C","C","C","A","A","B","C","D",18,54,101031017
1,1,31,24,4,16,52,"A","B","B","A","A","A","A","C",17,0,101031024
1,1,31,30,5,10,55,"B","A","D","C","C","B","D","A",11,0,101031030
1,1,31,38,3,5,30,"B","A","D","C","C","B","D","C",5,35,101031038
1,1,31,38,2,5,20,"B","A","D","C","C","B","D","A",5,25,101031038
1,1,31,47,3,2,30,"C","A","A","A","B","A","D","C",,,101031047
1,1,31,69,2,8,30,"B","A","D","C","C","B","D","A",8,35,101031069
1,1,31,70,3,1,47,"B","A","D","C","C","B","D","B",1,52,101031070
1,1,31,70,4,1,53,"B","A","D","C","C","B","D","A",1,58,101031070
1,1,31,73,4,1,5,"B","A","D","C","C","B","D","C",1,15,101031073
1,1,31,73,6,12,17,"B","C","D","C","C","B","D","A",12,25,101031073
1,1,31,73,3,1,33,"B","A","D","C","C","B","D","B",1,35,101031073
1,1,31,73,5,12,45,"B","A","D","C","C","B","D","B",1,0,101031073
1,1,31,75,5,5,40,"B","A","D","C","C","B","D","B",5,40,101031075
1,1,31,75,4,6,2,"B","A","D","C","C","B","D","B",6,5,101031075
1,1,31,75,3,6,7,"B","A","D","C","C","B","D","B",6,8,101031075
1,1,31,84,5,17,54,"B","B","A","B","B","A","A","C",18,0,101031084
1,1,31,84,4,17,42,"C","B","A","B","C","B","B","C",17,54,101031084
1,1,31,84,6,18,0,"B","A","C","C","A","B","A","C",18,10,101031084
1,2,5,3,2,5,10,"B","A","D","C","C","B","D","A",5,16,101005003
1,2,5,3,3,5,17,"B","A","D","C","C","B","D","B",5,21,101005003
1,2,5,4,3,6,44,"B","A","D","C","C","B","D","B",6,52,101005004
1,2,5,4,2,6,32,"B","A","D","C","C","B","D","A",6,41,101005004
1,2,5,13,6,3,51,"A","B","D","D","C","D","C","A",3,56,101005013
1,2,5,13,3,3,36,"B","A","C","C","C","B","D","B",3,40,101005013
1,2,5,13,5,3,46,"D","B","D","C","C","B","A","A",3,50,101005013
1,2,5,13,4,3,41,"B","A","B","C","D","A","A","D",3,45,101005013
1,2,5,22,1,10,1,"A","C","D","C","A","A","A","A",10,11,101005022
1,2,5,22,2,10,15,"A","B","D","C","A","B","B","C",10,20,101005022
1,2,5,23,3,10,50,"B","A","C","C","D","A","B","A",10,55,101005023
1,2,5,25,2,11,50,"B","A","D","A","C","A","D","A",11,55,101005025
1,2,5,33,5,2,53,"B","A","D","B","B","B","C","C",2,56,101005033
1,2,5,33,4,2,50,"B","A","D","B","B","A","A","C",2,53,101005033
1,2,5,36,2,3,26,"B","A","D","C","C","B","D","A",3,30,101005036
1,2,5,36,6,3,55,"B","A","D","D","C","A","D","A",4,1,101005036
1,2,5,36,4,3,40,"B","A","D","C","C","B","A","B",3,44,101005036
1,2,5,36,3,3,32,"B","A","D","C","C","B","A","A",3,37,101005036
1,2,5,36,5,3,50,"B","A","D","C","C","B","D","A",3,52,101005036
1,2,5,40,3,3,25,"C","C","B","C","C","A","A","C",3,29,101005040
1,2,5,40,2,3,19,"B","A","D","C","C","B","D","B",3,24,101005040
1,2,5,41,2,3,45,"B","A","D","C","C","A","A","A",3,50,101005041
1,2,5,51,3,18,12,"B","B","D","C","C","B","D","A",18,14,101005051
1,2,5,51,4,18,15,"B","A","C","C","B","C","D","A",18,18,101005051
1,2,5,52,3,1,41,"B","A","D","C","C","B","D","A",1,48,101005052
1,2,5,52,5,2,20,"B","A","D","B","C","A","D","B",2,29,101005052
1,2,5,52,4,2,8,"B","A","D","C","C","B","D","A",2,15,101005052
1,2,6,9,1,6,46,"B","A","D","C","C","B","D","A",6,51,101006009
1,2,6,15,4,16,33,"B","A","D","C","C","B","D","B",16,40,101006015
1,2,6,15,3,16,22,"B","A","D","C","C","B","D","A",16,31,101006015
1,2,6,23,4,16,52,"B","A","D","C","C","B","D","B",17,8,101006023
1,2,6,23,6,17,27,"C","B","D","D","C","C","C","C",17,45,101006023
1,2,6,23,3,,,,,,,,,,,,,101006023
1,2,6,23,5,17,9,"B","C","D","C","D","A","D","A",17,25,101006023
1,2,6,56,3,15,35,"B","B","A","B","D","A","D",,15,55,101006056
1,2,6,56,2,15,12,"C","C","B","C","C","A","C",,15,30,101006056
1,2,6,59,2,8,39,"C","A","B","C","D","A","A","D",8,50,101006059
1,2,6,59,1,8,24,"B","A","D","C","A","B","A","B",8,35,101006059
1,2,7,4,6,11,21,"B","A","D","C","C","B","D","A",11,23,101007004
1,2,7,4,3,11,23,"B","A","D","A","C","B","D","B",11,25,101007004
1,2,7,7,1,14,55,"B","A","D","C","C","B","D","A",15,7,101007007
1,2,7,19,3,4,34,"B","A","D","C","C","B","D","A",4,39,101007019
1,2,7,19,5,4,48,"B","A","D","B","C","C","B","C",4,58,101007019
1,2,7,19,4,4,41,"B","A","D","C","C","B","D","A",4,47,101007019
1,2,7,26,4,3,37,"B","A","D","C","C","B","D","A",3,42,101007026
1,2,7,26,5,2,13,"C","B","D","A","D","A","B","A",2,16,101007026
1,2,7,33,5,8,3,"C","A","D","C","C","B","D","A",8,11,101007033
1,2,7,33,4,9,25,"B","A","D","C","C","B","D","A",9,28,101007033
1,2,7,33,3,7,58,"A","C","A","C","D","C","A","D",8,2,101007033
1,2,7,36,6,3,54,"B","A","D","C","C","B","A","A",3,58,101007036
1,2,7,36,4,3,41,"B","A","C","C","C","A","A","A",3,45,101007036
1,2,7,36,7,4,1,"C","A","A","C","A","B","A","D",4,8,101007036
1,2,7,36,5,3,48,"B","A","D","C","C","B","D","A",3,51,101007036
1,2,7,68,4,10,12,"B","A","D","C","B","A","D","A",10,23,101007068
1,2,7,68,2,,,,,,,,,,,,,101007068
1,2,25,2,3,2,6,"B","A","A","C","C","A","A","A",2,8,101025002
1,2,25,2,5,2,13,"B","A","C","C","C","B","A","B",2,16,101025002
1,2,25,2,4,2,9,"B","A","D","C","C","B","D","A",2,12,101025002
1,2,25,3,4,2,35,"B","B","B","B","C","B","D","B",2,38,101025003
1,2,25,3,3,2,30,"A","A","D","C","C","B","A","A",2,34,101025003
1,2,25,6,3,8,40,"B","A","D","C","C","B","D","A",8,43,101025006
1,2,25,13,2,12,16,"B","A","D","C","C","B","A","C",12,20,101025013
1,2,25,13,1,12,10,"B","A","D","C","C","B","D","A",12,15,101025013
1,2,25,37,4,2,48,"C","A","D",,"B","A","A","B",2,52,101025037
1,2,25,37,3,2,42,"B","A","D","C","C","B","D","C",2,45,101025037
1,2,25,50,,,,,,,,,,,,,,101025050
1,2,25,50,4,8,53,"B","A","D","C","C","B","D","B",8,54,101025050
1,2,25,50,7,9,2,"B","A","D","C","C","B","D","C",9,6,101025050
1,2,25,50,8,9,7,"B","A","C","B","C","B","A","B",9,10,101025050
1,2,25,50,3,8,50,"B","A","D","C","C","B","D","A",8,52,101025050
1,2,25,50,6,8,57,"B","A","D","C","C","B","D","A",8,59,101025050
1,2,25,54,5,13,55,"B","A","D","C","C","B","D","B",13,59,101025054
1,2,25,54,4,,,,,,,,,,,,,101025054
1,2,25,54,3,13,50,"B","A","D","C","C","B","D","A",13,52,101025054
1,2,25,97,4,3,26,"B","A","D","C","C","B","D","B",3,30,101025097
1,2,25,97,5,3,30,"B","A","D","C","C","B","D","A",3,35,101025097
1,2,25,97,3,3,22,"B","B","D","C","D","A","D","C",3,26,101025097
1,2,25,101,3,4,59,"B","A","D","C","C","B","D","A",5,5,101025101
1,2,26,4,3,14,48,"B","A","C","C","C","B","D","A",14,59,101026004
1,2,26,6,4,8,21,"B","C","C","B","B","B","D","C",8,25,101026006
1,2,26,6,3,8,12,"B","B","B","C","C","C","B","B",8,20,101026006
1,2,26,8,3,16,52,"B","B","C","C","C","C","B","B",16,56,101026008
1,2,26,10,2,15,53,"B","A","D","B","D","A","D","A",15,57,101026010
1,2,26,23,6,15,30,"B","A","D","C","C","B","D","A",15,33,101026023
1,2,26,23,7,15,34,"B","A","D","C","C","B","D","A",15,38,101026023
1,2,26,23,5,15,27,"B","A","D","C","C","B","D","B",15,30,101026023
1,2,26,24,2,15,41,"B","A","D","C","C","B","D","A",15,44,101026024
1,2,26,26,5,7,17,"B","C","B","B","D","D","B","B",7,21,101026026
1,2,26,26,3,17,6,"B","A","A","A","A","C","A","D",17,11,101026026
1,2,26,26,4,7,12,"C","B","C","C","C","C","C","C",17,16,101026026
1,2,26,29,2,15,29,"B","A","D","B","D","B","A","A",15,33,101026029
1,2,26,30,2,15,48,"B","A","B","B","C","A","A","A",15,52,101026030
1,2,26,40,3,14,47,"B","A","A","C","C","A","A","A",14,51,101026040
1,2,26,42,3,16,5,"B","A","A","C","C","B","B","D",16,11,101026042
1,2,26,43,3,11,52,"B","A","D","A","B","A","A","D",12,0,101026043
1,2,28,15,2,14,44,"B","C","C","A","C","B","A","B",14,56,101028015
1,2,28,21,3,15,31,"B","A","C","C","A","B","D","A",15,45,101028021
1,2,28,21,2,15,16,"B","A","D","C","C","B","D","B",15,30,101028021
1,2,28,26,5,15,35,"B","B","B","C","A","A","C","B",15,48,101028026
1,2,28,26,3,15,12,"B","A","D","C","C","B","D","A",15,22,101028026
1,2,28,26,4,15,23,"B","A","D","C","D","B","B","A",15,34,101028026
1,2,28,28,2,14,16,"C","A","B","C","C","B","B","B",14,27,101028028
1,2,28,34,3,15,11,"B","A","D","C","C","B","D","A",15,19,101028034
1,2,28,34,4,15,20,"B","B","C","B","C","C","C","B",15,35,101028034
1,2,28,34,2,15,2,"B","A","D","C","C","B","D","A",15,10,101028034
1,2,28,35,4,15,3,"B","A","D","C","C","B","D","B",15,15,101028035
1,2,28,35,5,15,16,"B","A","D","B","A","B","A","A",15,28,101028035
1,2,28,35,3,14,55,"B","A","D","C","C","B","D","A",15,2,101028035
1,2,28,41,3,14,21,"B","A","D","C","C","B","D","A",14,22,101028041
1,2,28,41,5,14,34,"B","C","C","C","A","B","B","B",14,44,101028041
1,2,28,44,2,14,31,"B","C","C","C","A","C","A","B",14,40,101028044
1,5,4,1,3,9,32,"B","A","D","C","C","B","D","A",9,34,101004001
1,5,4,1,5,7,26,"B","A","D","A","C","B","D","A",7,30,101004001
1,5,4,1,6,7,33,"B","A","A","C","C","B","D","A",7,35,101004001
1,5,4,1,4,,,,,,,,,,,,,101004001
1,5,4,2,1,2,23,"B","A","D","D","A","C","D","B",2,27,101004002
1,5,4,6,3,4,45,"B","A","D","C","C","B","D","A",4,47,101004006
1,5,4,6,6,4,56,"B","A","A","D","C","B","D","D",5,59,101004006
1,5,4,10,5,6,22,"B","B","D","C","A","A","A","C",6,24,101004010
1,5,4,10,3,7,12,"B","A","D","C","C","B","D","B",7,14,101004010
1,5,4,10,4,6,13,"C","A","A","C","A","A","A","C",6,20,101004010
1,5,4,10,6,6,46,"B","A","D","C","C","B","A","D",6,50,101004010
1,5,4,10,2,7,7,"B","A","D","C","C","B","D","B",7,10,101004010
1,5,4,10,8,6,52,"C","A","C","C","A","B","D","B",6,54,101004010
1,5,4,16,,,,,,,,,,,,,,101004016
1,5,4,16,4,10,7,"B","A","C","C","D","B","D","D",10,15,101004016
1,5,4,20,2,3,36,"B","A","D","A","C","A","D","A",3,40,101004020
1,5,4,20,3,3,45,"A","A","D","D","C","B","D","A",3,46,101004020
1,5,4,27,3,6,48,"C","A","A","C","A","A","D","A",6,52,101004027
1,5,4,31,2,6,16,"B","A","D","B","D","B","A","C",6,22,101004031
1,5,4,32,2,4,56,"B","A","C","C","C","B","D","A",5,0,101004032
1,5,4,32,5,3,54,"B","A","D","C","C","B","D","A",3,56,101004032
1,5,4,32,4,6,41,"B","A","D","C","C","B","D","B",6,44,101004032
1,5,4,32,3,3,35,"B","A","C","C","C","A","D","A",3,37,101004032
1,6,1,2,2,11,47,"B","B","C","C","C","A","A","A",11,52,101001002
1,6,1,3,1,5,33,"B","A","D","C","C","B","D","A",5,35,101001003
1,6,1,4,1,12,35,"B","A","D","C","C","B","D","A",12,37,101001004
1,6,1,9,1,18,28,"B","A","D","C","C","B","D","B",18,31,101001009
1,6,1,9,2,18,35,"B","C","D","C","C","A","A","B",18,39,101001009
1,6,1,12,2,12,1,"B","A","D","C","C","B","D","A",12,9,101001012
1,6,1,15,1,8,8,"C","A","D","C","C","B","D","A",8,12,101001015
1,6,1,22,1,11,23,"B","B","A","A","A","A","A","A",11,28,101001022
1,6,1,23,3,1,40,"B","A","D","C","C","B","B","D",1,40,101001023
1,6,1,23,2,1,30,"B","A","D","C","C","B","A","A",1,35,101001023
1,6,1,24,3,18,50,"A","A","D","B","C","A","A","A",18,54,101001024
1,6,1,24,4,18,55,"D","C","D","D","C","A","A","B",18,59,101001024
1,6,1,26,2,10,39,"A","A","A","B","A","A","A","A",10,45,101001026
1,6,1,34,8,7,32,"A","A","A","C","C","B","A","A",7,35,101001034
1,6,1,34,5,7,29,"B","A","D","C","D","A","D","A",7,31,101001034
1,6,1,34,4,7,25,"B","A","D","C","C","B","D","A",7,28,101001034
1,6,1,35,5,4,31,"B","A","B","C","C","C","C","A",4,35,101001035
1,6,1,35,4,4,19,"A","A","D","B","A","B","A","C",4,22,101001035
1,6,1,35,3,4,9,"A","A","D","C","C","B","B","C",4,12,101001035
1,6,2,16,2,16,31,"B","A","A","C","C","A","A","A",16,39,101002016
1,6,2,19,1,17,3,"B","A","D","C","D","B","D","A",17,7,101002019
1,6,2,25,3,14,13,"B","A","D","C","C","B","D","B",14,15,101002025
1,6,2,25,4,14,19,"B","A","D","C","C","B","D","A",14,21,101002025
1,6,2,28,5,11,30,"B","A","D","C","C","C","D","A",11,39,101002028
1,6,2,28,4,11,22,"B","A","D","C","C","B","D","A",11,27,101002028
1,6,2,28,3,11,12,"B","A","D","C","C","B","D","A",11,21,101002028
1,6,2,29,2,,,,,,,,,,,,,101002029
1,6,2,29,1,,,,,,,,,,,,,101002029
1,6,2,43,1,16,53,"B","A","B","C","C","B","B","A",17,4,101002043
1,6,2,50,1,12,59,"B","A","D","B","C","B","D","D",13,9,101002050
1,8,13,8,3,2,55,"C","A","C","C","C","A","A","A",3,0,101013008
1,8,13,19,3,8,20,"A","B","A","C","A","B","C","C",8,25,101013019
1,8,13,19,2,8,0,"B","A","D","C","C","B","D","C",8,5,101013019
1,8,13,20,3,3,5,"B","A","D","C","C","B","D","A",3,10,101013020
1,8,13,20,4,3,15,"D","D","D","A","C","B","B","B",3,20,101013020
1,8,13,28,4,10,20,"D","A","B","B","A","D","B",,10,25,101013028
1,8,13,28,3,9,56,"A","C","A","A","D","B","D","B",9,55,101013028
1,8,13,30,1,12,40,"A","B","A","D","A","B","A","B",12,45,101013030
1,8,13,32,2,9,55,"A","B","A","D","A","B","C","A",10,0,101013032
1,8,13,36,3,11,35,"B","B","A","B","D","C","A","A",11,40,101013036
1,8,13,36,4,1,55,"A","C","D","C","C","A","D","A",2,0,101013036
1,8,13,36,5,2,45,"C","A","B","B","B","B","B","A",2,50,101013036
1,8,14,15,3,9,7,"B","A","C","C","C","B","D","B",9,12,101014015
1,8,14,15,6,8,53,"B","C","D","C","A","B","A","A",9,3,101014015
1,8,14,15,4,8,35,"A","C","A","B","D","B","B","C",8,41,101014015
1,8,14,15,,,,,,,,,,,,,,101014015
1,8,14,33,1,3,50,"B","A","D","C","C","B","D","A",3,55,101014033
1,8,14,41,3,12,40,"B","C","B","A","A","A","A","D",12,50,101014041
1,8,14,41,4,12,55,"B","A","D","C","C","B","D","C",1,5,101014041
1,8,14,46,2,3,12,"B","A","D","C","C","B","D","A",3,16,101014046
1,8,14,46,7,3,47,"A","D","B","C","C","B","D","B",3,55,101014046
1,8,14,46,6,3,31,"B","A","A","B","B","B","D","A",3,37,101014046
1,8,14,46,3,3,18,"B","A","D","C","C","B","D","A",3,22,101014046
1,8,14,57,4,12,45,"A","C","D","A","B","A","A","C",12,50,101014057
1,8,14,57,6,1,5,"B","C","D","A","C","B","A","D",1,10,101014057
1,8,14,57,5,12,55,"B","A","A","B","C","B","A","A",1,0,101014057
1,8,14,57,3,12,35,"B","A","D","A","C","B","A","A",12,40,101014057
1,8,14,61,1,18,5,"B","A","D","C","C","B","D","C",18,9,101014061
1,8,14,65,3,6,35,"B","B","B","B","A","B","A",,6,42,101014065
1,8,14,69,2,1,35,"A","B","B","C","A","D","A","B",11,40,101014069
1,8,14,82,5,3,15,"A","C","B","C","C","B","C","D",3,20,101014082
1,8,14,82,3,2,55,"A","B","C","A","A","B","A","D",3,0,101014082
1,8,14,82,4,3,5,"B","A","D","C","D","A","B","C",3,10,101014082
1,8,14,118,2,2,40,"D","C","A","C","B","B","D","B",2,43,101014118
1,8,14,129,2,3,24,"C","C","D","D","B","B","D","D",3,29,101014129
1,8,15,34,2,3,24,"B","A","D","C","C","B","D","B",3,25,101015034
1,8,15,55,3,3,44,"A","C","D","D","A","A","B","D",3,45,101015055
1,8,15,55,2,3,29,"B","C","C","C","D","C","A","D",3,31,101015055
1,8,15,65,3,7,19,"B","D","D","C","C","B","D","C",7,24,101015065
1,8,15,65,9,8,54,"B","C","A","A","D","B","A","C",8,59,101015065
1,8,15,65,6,8,9,"B","A","C","D","A","B","C","D",8,13,101015065
1,8,15,65,5,8,6,"D","C","B","A","A","D","C","C",8,9,101015065
1,8,15,65,4,7,40,"D","A","D","C","A","B","D","C",7,52,101015065
1,8,15,120,2,4,15,"B","A","C","C","C","B","D","A",4,17,101015120
1,8,16,41,4,12,15,"B","A","D","C","C","A","D","C",12,20,101016041
1,8,16,41,3,,,,,,,,,,,,,101016041
1,8,16,111,2,12,23,"B","A","D","A","C","C","D","A",12,30,101016111
1,8,16,137,2,7,24,"B","A","D","C","C","B","D","A",7,25,101016137
1,8,16,137,4,8,3,"B","A","B","C","B","B","A","B",8,6,101016137
1,8,16,144,4,5,32,"C","A","C","B","D","A","C","A",5,38,101016144
1,8,16,144,3,5,11,"B","A","D","C","C","B","D","A",5,12,101016144
1,8,16,145,1,11,59,"C","B","D","C","B","C","A","D",12,2,101016145
1,8,16,154,4,5,11,"D","C","D","D","D","D","A","D",5,12,101016154
1,8,16,217,5,6,54,"A","A","A","C","C","B","B","C",6,59,101016217
1,10,17,2,3,14,53,"B","A","D","D","C","B","D","A",14,57,101017002
1,10,17,4,3,14,31,"B","A","D","C","C","B","B","A",14,39,101017004
1,10,17,19,3,14,26,"B","A","D","C","C","B","D","A",14,28,101017019
1,10,17,31,2,14,11,"B","A","D","C","A","B","A","B",14,20,101017031
1,10,17,49,1,14,51,"B","A","D","C","C","B","D","A",14,54,101017049
1,10,17,56,2,14,52,"B","B","B","B","C","C","A","B",15,3,101017056
1,10,18,2,3,7,10,"B","A","A","C","C","A","A","A",7,16,101018002
1,10,18,11,1,19,7,"B","A","D","B","C","A","A","C",19,16,101018011
1,10,18,14,3,15,4,"B","A","D","C","C","B","D","A",15,6,101018014
1,10,18,14,4,15,7,"B","A","D","C","C","B","D","A",15,9,101018014
1,10,18,18,1,9,0,"B","A","D","C","C","B","D","B",9,2,101018018
1,10,18,27,3,,,,,,,,,,,,,101018027
1,10,18,33,4,3,17,"B","A","D","C","C","B","D","A",3,19,101018033
1,10,18,33,2,3,15,"B","A","D","C","C","B","D","A",3,16,101018033
1,10,18,43,3,14,53,"B","A","D","C","C","B","A","A",14,56,101018043
1,10,18,58,2,8,4,"B","A","D","C","C","B","A","A",8,7,101018058
1,10,19,4,5,15,57,"B","C","D","B","C","B","D","A",16,5,101019004
1,10,19,4,4,15,53,"B","A","D","C","C","B","D","A",15,56,101019004
1,10,19,4,8,16,5,"B","A","D","C","C","B","D","B",16,9,101019004
1,10,19,5,2,2,25,"B","A","D","C","C","B","D","B",2,27,101019005
1,10,19,5,3,2,29,"B","A","D","C","C","B","D","A",2,32,101019005
1,10,19,6,3,4,52,"B","A","D","C","C","B","D","B",4,53,101019006
1,10,19,8,3,2,34,"B","A","D","C","D","A","A","A",2,37,101019008
1,10,19,11,3,18,34,"B","A","D","C","C","B","B","A",18,36,101019011
1,10,19,13,2,9,17,"B","A","D","C","C","B","A","A",9,24,101019013
1,10,19,17,4,2,53,"B","A","D","C","C","B","B","A",2,56,101019017
1,10,19,20,3,10,55,"B","A","D","C","C","B","D","A",10,58,101019020
1,10,20,2,1,14,36,"B","A","D","C","D","B","D","A",14,44,101020002
1,10,20,4,3,15,45,"B","A","D","C","C","B","D","A",15,55,101020004
1,10,20,4,4,15,56,"B","A","D","C","C","B","B","B",16,8,101020004
1,10,20,21,2,15,13,"B","A","D","C","C","B","D","A",15,25,101020021
1,10,20,24,2,15,9,"B","A","D","C","C","B","B","B",15,20,101020024
1,10,20,35,3,15,0,"B","A","D","C","C","B","D","B",15,8,101020035
1,10,20,35,2,14,50,"B","A","D","C","C","B","D","B",14,49,101020035
1,10,21,1,2,2,10,"B","A","D","C","C","B","D","A",2,13,101021001
1,10,21,26,3,2,20,"B","A","D","C","C","B","A","A",2,22,101021026
1,10,21,30,2,4,35,"B","A","D","C","C","B","D","B",4,37,101021030
1,10,21,54,3,16,42,"B","A","D","C","C","B","D","B",16,46,101021054
1,10,21,54,4,16,46,"B","A","D","B","D","A","A","A",16,51,101021054
1,10,21,69,5,14,55,"B","C","D","B","A","A","A","A",14,59,101021069
1,10,21,69,,,,,,,,,,,,,,101021069
1,10,21,69,,,,,,,,,,,,,,101021069
1,10,27,4,3,15,20,"B","A","D","C","D","A","A","A",15,25,101027004
1,10,27,9,4,16,36,"C","C","A","B","B","A","A","C",16,41,101027009
1,10,27,9,3,16,27,"B","A","D","C","C","B","A","A",16,35,101027009
1,10,27,9,5,16,42,"A","C","B","C","D","A","B","A",16,48,101027009
1,10,27,11,2,16,37,"B","A","C","C","A","B","A","A",16,41,101027011
1,10,27,13,4,17,0,"B","A","D","C","C","B","D","A",17,6,101027013
1,10,27,20,3,14,13,"B","A","D","C","C","B","D","A",14,15,101027020
1,10,27,20,4,14,15,"B","A","D","C","C","A","A","A",14,18,101027020
1,10,27,23,3,16,0,"B","A","D","C","C","A","A","A",16,7,101027023
1,10,27,23,4,16,8,"B","B","D","B","B","C","B","C",16,14,101027023
1,10,27,32,3,11,16,"B","A","D","C","D","B","A","A",11,20,101027032
1,10,27,42,1,16,36,"B","A","D","C","A","B","D","A",16,39,101027042
1,12,29,2,1,14,41,"B","A","D","C","C","B","D","B",14,55,101029002
1,12,29,2,2,14,56,"C","B","A","C","D","B","C","C",15,18,101029002
1,12,29,4,3,16,30,"A","C","A","C","A","B","B","D",16,45,101029004
1,12,29,6,6,17,16,"B","A","A","D","A","B","A","C",17,29,101029006
1,12,29,6,5,17,3,"B","A","D","C","C","B","D","A",17,15,101029006
1,12,29,6,4,16,50,"B","A","D","C","C","B","D","B",17,2,101029006
1,12,29,6,3,16,37,"B","A","D","C","C","B","D","A",16,49,101029006
1,12,29,8,2,15,7,"B","A","D","C","C","B","D","A",15,15,101029008
1,12,29,11,2,14,22,"B","B","B","B","B","B","A",,14,40,101029011
1,12,29,20,1,14,16,"B","A","D","C","C","B","D","A",14,28,101029020
1,12,29,23,4,14,57,"B","B","C","B","B","B","B","C",15,14,101029023
1,12,29,29,3,16,33,"B","A","D","C","C","B","B","B",16,46,101029029
1,12,29,29,2,16,19,"B","A","D","C","C","B","D","A",16,32,101029029
1,12,29,33,3,15,6,"B","A","D","C","A","A","A","B",15,30,101029033
1,12,29,33,2,14,49,"B","A","D","C","C","B","B","C",15,5,101029033
1,12,29,34,4,16,6,"B","A","D","C","C","B","D","A",16,16,101029034
1,12,29,34,7,16,41,"B","A","D","C","C","B","D","A",16,54,101029034
1,12,29,34,8,16,55,"B","A","D","C","C","B","A","C",17,15,101029034
1,12,29,34,6,16,30,"B","A","D","C","C","B","D","A",16,40,101029034
1,12,29,34,3,15,50,"B","A","D","C","C","B","D","A",15,59,101029034
1,12,29,34,5,16,17,"B","A","D","C","C","B","D","B",16,29,101029034
1,12,29,39,2,15,22,"B","A","D","C","C","B","D","A",15,30,101029039
1,12,29,39,3,15,31,"B","B","C","C","B","A","A","B",15,45,101029039
1,12,30,4,5,3,54,"B","A","D","C","C","B","D","B",3,56,101030004
1,12,30,4,6,3,58,"A","C","D","C","C","B","D","D",4,0,101030004
