"id1","id2","hhno","hhmid","s10av_a42","s10av_a43","s10av_a44","s10av_a45","s10av_a46","s10av_a47","s10av_a48"
1,1,101031084,1,3,4,2,2,1,1,1
1,1,101031084,2,1,3,3,2,1,3,1
1,1,101031084,4,4,5,1,2,1,2,1
1,2,101005001,1,1,2,2,2,2,,1
1,2,101005003,1,1,1,5,1,2,,1
1,2,101005003,2,1,1,5,1,2,,1
1,2,101005003,3,1,1,5,1,2,,1
1,2,101005004,1,1,2,5,2,2,,1
1,2,101005004,2,1,2,4,2,2,,2
1,2,101005004,3,1,2,4,1,2,,2
1,2,101005013,1,4,3,1,2,1,10,1
1,2,101005013,2,4,3,4,2,2,,1
1,2,101005013,4,4,3,4,2,1,10,1
1,2,101005019,1,2,2,4,2,2,,1
1,2,101005019,2,1,2,5,2,1,10,1
1,2,101005022,1,4,1,4,2,1,7,2
1,2,101005023,1,1,1,5,2,1,10,1
1,2,101005023,2,1,1,5,2,2,,1
1,2,101005024,1,2,2,1,2,1,4,1
1,2,101005024,2,1,2,1,2,2,,1
1,2,101005025,1,2,2,4,2,2,,2
1,2,101005025,2,2,2,4,2,2,,2
1,2,101005033,1,3,1,4,2,1,35,1
1,2,101005033,2,2,1,4,2,2,,1
1,2,101005036,1,1,2,4,1,2,,1
1,2,101005036,2,1,1,4,2,2,,1
1,2,101005036,3,1,2,4,1,2,,1
1,2,101005040,1,1,2,4,1,2,,2
1,2,101005041,1,1,1,5,1,1,10,1
1,2,101005041,2,1,2,5,1,2,,1
1,2,101005051,1,2,2,4,2,1,4,1
1,2,101005051,2,1,2,5,2,2,,1
1,2,101005051,3,2,2,4,2,2,,1
1,2,101005052,1,2,1,1,2,1,10,1
1,2,101005052,2,2,1,2,2,2,,1
1,2,101005052,3,1,1,1,2,2,,1
1,2,101006001,1,4,3,1,1,1,42,4
1,2,101006001,2,4,2,2,1,1,15,2
1,2,101006002,1,3,2,2,1,1,28,1
1,2,101006009,1,4,4,2,2,2,,1
1,2,101006011,1,2,1,4,2,1,44,3
1,2,101006015,1,3,2,2,2,1,18,1
1,2,101006015,2,3,3,2,2,1,24,2
1,2,101006015,3,4,2,1,2,2,,1
1,2,101006023,1,4,2,2,1,1,36,2
1,2,101006023,2,3,1,3,1,1,32,3
1,2,101006023,4,4,4,2,1,2,,1
1,2,101006029,1,4,2,2,2,1,22,1
1,2,101006036,1,4,2,2,2,2,,1
1,2,101006042,1,4,5,2,1,1,36,1
1,2,101006042,2,4,4,3,1,2,,1
1,2,101006052,1,3,2,2,1,2,,1
1,2,101006055,1,5,2,2,2,1,40,5
1,2,101006055,2,4,1,5,2,1,36,3
1,2,101006056,1,2,1,4,1,1,36,1
1,2,101006056,2,3,3,4,1,2,,3
1,2,101006059,1,3,2,2,2,1,24,1
1,2,101006059,2,4,3,2,2,1,20,3
1,2,101006060,1,4,2,2,1,1,20,1
1,2,101006064,1,3,2,2,1,1,18,1
1,2,101007001,1,2,4,4,1,1,4,1
1,2,101007004,1,5,3,4,2,2,,1
1,2,101007004,2,3,3,4,2,2,,1
1,2,101007004,3,2,3,4,2,2,,1
1,2,101007007,1,2,2,2,2,1,12,1
1,2,101007010,1,1,1,5,1,1,5,1
1,2,101007010,2,1,1,5,1,1,3,1
1,2,101007011,1,2,2,5,1,1,2,1
1,2,101007014,1,1,1,5,1,1,7,1
1,2,101007014,2,1,2,4,1,2,,1
1,2,101007019,1,2,2,5,1,1,6,1
1,2,101007019,3,3,3,3,1,2,,1
1,2,101007025,1,1,1,4,1,1,5,1
1,2,101007025,6,1,1,3,1,2,,1
1,2,101007026,1,1,2,5,1,2,,1
1,2,101007026,2,2,2,3,1,2,,1
1,2,101007026,3,2,2,5,1,2,,3
1,2,101007028,1,1,3,5,1,1,3,1
1,2,101007033,1,1,2,5,1,1,4,1
1,2,101007033,2,2,1,5,1,1,5,1
1,2,101007033,5,1,3,4,1,2,,1
1,2,101007036,1,3,4,4,1,2,,1
1,2,101007036,4,2,3,4,1,2,,1
1,2,101007036,5,3,2,4,1,2,,1
1,2,101007040,1,,4,4,2,2,,1
1,2,101007068,2,1,2,4,1,1,4,2
1,2,101007082,1,2,3,1,1,1,10,1
1,2,101007082,2,1,2,1,1,1,7,1
1,2,101025002,1,5,4,5,2,1,10,1
1,2,101025002,2,5,4,5,2,1,7,2
1,2,101025002,3,5,4,5,2,1,9,1
1,2,101025003,1,5,4,5,2,1,5,1
1,2,101025003,2,5,5,5,2,1,4,1
1,2,101025003,3,5,4,5,2,1,4,1
1,2,101025006,1,5,5,5,2,1,8,1
1,2,101025006,2,5,5,5,2,1,7,1
1,2,101025006,3,5,5,5,2,2,,1
1,2,101025012,1,5,5,5,2,1,10,1
1,2,101025012,2,5,5,5,2,1,8,1
1,2,101025013,1,5,3,5,2,1,3,1
1,2,101025013,2,5,3,5,2,2,,1
1,2,101025033,1,5,4,5,2,1,8,1
1,2,101025033,2,5,4,5,2,1,5,1
1,2,101025033,3,5,4,5,2,2,,1
1,2,101025037,1,5,5,5,2,1,15,1
1,2,101025037,2,5,5,5,2,1,14,1
1,2,101025037,3,5,5,5,2,2,,1
1,2,101025043,1,5,5,5,2,1,10,1
1,2,101025043,2,5,5,5,2,1,8,1
1,2,101025043,3,5,5,5,2,2,,1
1,2,101025044,1,5,5,4,2,1,5,1
1,2,101025050,1,5,5,5,2,1,5,1
1,2,101025050,2,5,5,5,2,1,6,1
1,2,101025050,3,5,5,5,2,2,,1
1,2,101025051,1,5,3,5,2,1,4,1
1,2,101025051,2,5,3,5,2,1,4,1
1,2,101025054,1,5,5,5,,1,10,1
1,2,101025054,2,5,5,5,,1,12,1
1,2,101025054,4,5,5,5,,1,8,1
1,2,101025097,1,5,4,5,2,1,5,1
1,2,101025097,2,5,4,5,2,2,,1
1,2,101025097,4,5,4,5,2,2,,1
1,2,101025100,1,5,5,5,2,1,10,1
1,2,101025100,2,5,5,5,2,1,8,1
1,2,101025101,1,5,4,5,2,1,9,1
1,2,101025101,2,5,4,5,2,1,8,1
1,2,101025101,3,5,4,5,2,2,,1
1,2,101026004,1,1,1,5,2,1,3,1
1,2,101026004,2,1,1,5,2,1,3,1
1,2,101026006,1,2,2,1,2,1,5,1
1,2,101026006,2,2,2,2,2,1,3,1
1,2,101026008,1,2,2,5,2,1,5,1
1,2,101026008,2,2,2,4,2,1,3,1
1,2,101026010,1,4,1,5,2,1,6,1
1,2,101026017,1,2,2,4,2,1,2,1
1,2,101026019,1,2,4,4,2,1,7,1
1,2,101026019,2,1,2,4,2,1,5,1
1,2,101026023,1,1,1,5,2,1,6,1
1,2,101026023,2,1,1,5,2,1,3,1
1,2,101026023,6,1,1,5,2,2,,1
1,2,101026024,1,1,1,5,2,1,6,1
1,2,101026024,2,2,3,5,2,2,,1
1,2,101026026,1,2,2,4,2,1,4,1
1,2,101026026,2,3,2,5,2,1,4,2
1,2,101026026,3,3,3,3,2,2,,1
1,2,101026029,1,1,1,5,2,1,4,1
1,2,101026030,1,1,1,4,2,1,5,1
1,2,101026039,1,1,2,4,2,2,,1
1,2,101026040,1,2,1,5,2,1,6,1
1,2,101026040,2,1,1,5,2,1,4,1
1,2,101026040,3,3,2,3,2,2,,1
1,2,101026042,1,4,2,4,2,1,10,1
1,2,101026042,2,3,2,4,2,1,8,1
1,2,101026043,1,2,1,5,2,1,6,1
1,2,101026043,2,1,1,4,2,1,4,1
1,2,101028008,1,4,2,5,2,2,,1
1,2,101028009,1,1,1,1,2,1,6,1
1,2,101028010,1,4,4,2,2,1,10,1
1,2,101028010,2,4,1,2,2,1,10,1
1,2,101028015,1,5,2,2,2,1,6,1
1,2,101028015,2,5,2,1,2,2,,1
1,2,101028018,1,2,2,1,1,2,,1
1,2,101028021,1,4,2,3,2,1,6,1
1,2,101028021,2,5,4,1,2,2,,1
1,2,101028021,3,4,3,1,2,2,,1
1,2,101028026,2,1,1,5,2,1,3,1
1,2,101028026,3,4,2,4,2,2,,1
1,2,101028026,4,5,1,1,2,2,,1
1,2,101028028,1,5,1,1,2,1,10,1
1,2,101028028,2,4,2,2,2,2,,1
1,2,101028031,1,2,1,2,2,2,,1
1,2,101028032,1,2,1,1,1,2,,1
1,2,101028034,1,2,2,2,2,1,8,1
1,2,101028034,2,4,1,1,2,2,,1
1,2,101028034,3,4,2,3,2,2,,1
1,2,101028035,1,4,1,1,2,1,5,1
1,2,101028035,2,5,2,1,2,1,4,1
1,2,101028035,3,3,2,1,2,2,,1
1,2,101028041,1,4,1,2,2,1,5,1
1,2,101028041,2,5,3,1,2,1,4,1
1,2,101028041,3,4,5,2,2,2,,1
1,2,101028043,1,4,3,3,2,1,12,1
1,2,101028044,1,4,2,4,2,1,6,1
1,2,101028044,2,4,2,3,2,1,5,1
1,5,101004001,1,4,5,5,2,1,10,1
1,5,101004001,2,4,5,5,2,1,20,1
1,5,101004001,3,3,4,5,2,2,,
1,5,101004002,1,5,5,4,2,1,3,1
1,5,101004005,1,5,5,4,2,1,12,1
1,5,101004006,1,5,5,2,2,2,,1
1,5,101004006,2,5,4,2,2,2,,1
1,5,101004006,3,5,4,4,2,2,,1
1,5,101004010,1,5,5,1,2,1,24,1
1,5,101004010,2,5,5,1,2,2,,1
1,5,101004010,8,5,5,1,2,1,24,1
1,5,101004012,1,1,4,5,2,1,10,1
1,5,101004012,2,1,4,5,2,2,,1
1,5,101004014,1,5,5,5,2,2,,1
1,5,101004014,2,5,5,5,2,2,,1
1,5,101004016,1,4,5,4,2,1,20,1
1,5,101004016,2,4,5,4,2,1,20,1
1,5,101004016,3,5,5,3,2,2,,1
1,5,101004017,1,4,5,2,2,1,12,1
1,5,101004017,4,4,5,2,2,2,,1
1,5,101004020,1,4,5,4,2,1,8,1
1,5,101004020,2,4,5,4,2,2,,1
1,5,101004020,3,4,5,4,2,2,,1
1,5,101004022,1,4,4,4,2,1,10,1
1,5,101004022,2,2,5,1,2,2,,1
1,5,101004022,3,4,5,4,2,1,12,1
1,5,101004024,1,5,5,1,2,1,24,1
1,5,101004024,2,5,5,1,2,1,24,1
1,5,101004027,1,5,5,4,2,1,4,1
1,5,101004027,2,5,5,4,2,1,4,1
1,5,101004027,3,5,5,2,2,2,,1
1,5,101004031,1,5,5,1,2,1,4,1
1,5,101004032,1,2,2,4,2,1,6,1
1,5,101004032,2,2,2,4,2,2,,1
1,5,101004032,3,2,2,4,2,2,,1
1,6,101001002,1,2,2,5,2,1,3,2
1,6,101001002,2,2,2,5,2,,2,2
1,6,101001002,3,1,2,4,2,2,,1
1,6,101001003,1,4,4,5,2,2,,1
1,6,101001004,1,4,4,4,2,1,4,1
1,6,101001009,1,4,4,4,2,1,1,1
1,6,101001009,2,4,4,4,2,2,,1
1,6,101001010,1,4,2,4,2,1,2,1
1,6,101001010,2,4,2,4,2,1,3,1
1,6,101001012,1,1,2,5,2,1,10,2
1,6,101001012,2,1,2,4,2,1,3,1
1,6,101001013,1,4,4,4,2,2,,1
1,6,101001013,2,5,4,4,2,2,,1
1,6,101001015,1,4,4,4,2,2,,1
1,6,101001015,2,4,4,4,2,2,,1
1,6,101001015,3,4,4,4,2,2,,1
1,6,101001022,1,1,1,4,2,1,20,1
1,6,101001022,2,1,1,5,2,1,15,1
1,6,101001023,1,4,4,4,2,1,2,1
1,6,101001023,2,4,4,4,2,2,,1
1,6,101001023,3,4,4,4,2,2,,1
1,6,101001024,1,4,2,4,2,1,5,1
1,6,101001024,2,1,2,4,2,1,3,1
1,6,101001026,1,4,4,4,2,1,5,1
1,6,101001026,2,4,4,4,2,1,3,1
1,6,101001029,1,4,4,4,2,1,10,1
1,6,101001029,2,4,4,4,2,2,,1
1,6,101001034,1,4,4,,2,1,7,1
1,6,101001034,2,4,4,,2,1,7,1
1,6,101001034,3,4,4,,2,1,3,1
1,6,101001035,1,5,5,5,2,1,10,1
1,6,101001035,2,5,5,5,2,1,5,1
1,6,101001035,3,4,5,4,2,1,2,1
1,6,101002002,1,2,1,5,1,2,,1
1,6,101002004,1,1,1,5,2,2,,1
1,6,101002016,1,1,1,5,2,1,4,1
1,6,101002016,2,1,1,5,2,2,,1
1,6,101002019,1,1,1,5,1,2,,1
1,6,101002021,1,2,1,5,2,1,4,2
1,6,101002023,1,1,1,5,2,1,5,1
1,6,101002023,2,1,1,5,2,1,3,1
1,6,101002024,1,2,1,5,1,2,,1
1,6,101002024,2,2,1,4,1,2,,1
1,6,101002025,2,1,1,5,2,2,,1
1,6,101002025,3,1,1,5,2,2,,1
1,6,101002025,4,1,1,5,2,2,,1
1,6,101002028,1,1,1,1,2,1,5,1
1,6,101002028,2,1,1,1,2,1,3,1
1,6,101002028,3,1,2,1,2,2,,1
1,6,101002029,1,1,1,5,2,2,,1
1,6,101002029,2,1,1,5,2,2,,1
1,6,101002037,1,1,2,5,1,1,3,1
1,6,101002041,1,1,1,5,2,2,,1
1,6,101002041,2,1,1,5,2,2,,1
1,6,101002043,1,1,1,5,1,2,,1
1,6,101002050,1,1,1,5,2,1,5,1
1,6,101002052,1,1,1,5,2,1,10,1
1,6,101002052,2,1,1,5,2,1,6,1
1,8,101013006,1,4,4,4,2,1,6,1
1,8,101013008,1,3,4,4,1,2,,1
1,8,101013008,2,3,4,2,1,2,,2
1,8,101013008,3,4,4,1,2,2,,1
1,8,101013015,1,5,2,1,1,2,,1
1,8,101013019,1,4,1,5,2,2,,1
1,8,101013019,2,3,1,1,2,1,1,1
1,8,101013019,3,2,1,5,2,2,,1
1,8,101013020,1,3,4,4,2,1,1,5
1,8,101013020,2,4,4,4,2,1,1,2
1,8,101013020,3,4,4,4,2,2,,1
1,8,101013028,1,3,2,4,2,1,1,5
1,8,101013028,2,3,4,5,2,1,1,5
1,8,101013030,1,4,4,4,2,1,3,5
1,8,101013032,1,4,1,4,2,2,,1
1,8,101013032,2,4,1,4,2,2,,1
1,8,101013036,1,4,2,1,2,1,2,1
1,8,101013036,2,4,3,4,2,2,,1
1,8,101013036,3,4,4,4,1,2,,1
1,8,101013048,1,3,4,4,2,1,4,4
1,8,101013048,2,4,4,4,2,1,4,5
1,8,101013066,1,4,2,2,2,1,4,2
1,8,101013067,1,2,5,4,2,1,4,1
1,8,101013067,2,1,4,4,2,1,4,1
1,8,101013087,1,5,5,5,1,2,,1
1,8,101013087,2,5,3,4,1,2,,1
1,8,101013087,3,4,2,4,2,2,,2
1,8,101013095,1,4,2,4,2,1,3,5
1,8,101013095,2,4,3,4,1,1,1,5
1,8,101013095,3,3,4,1,1,1,1,5
1,8,101013103,1,4,2,2,2,1,3,4
1,8,101013103,2,4,4,1,2,1,6,1
1,8,101014011,1,5,5,1,2,1,7,1
1,8,101014011,2,5,5,1,2,2,,1
1,8,101014015,1,3,5,5,2,1,2,1
1,8,101014015,2,4,5,5,2,1,2,1
1,8,101014015,3,3,5,5,2,2,,1
1,8,101014022,1,4,4,4,2,1,3,1
1,8,101014022,2,4,4,4,2,1,2,1
1,8,101014033,1,4,4,3,2,1,36,1
1,8,101014033,2,4,4,3,2,1,16,1
1,8,101014036,1,4,4,2,2,1,6,1
1,8,101014041,1,4,5,2,2,1,45,1
1,8,101014041,2,4,4,2,2,2,,
1,8,101014041,5,,4,3,2,1,15,1
1,8,101014046,1,5,5,4,2,2,,1
1,8,101014046,2,5,5,4,2,1,2,1
1,8,101014046,3,5,5,4,2,1,2,1
1,8,101014057,1,4,4,1,2,1,6,1
1,8,101014057,2,4,5,1,2,1,7,1
1,8,101014057,3,5,4,1,2,1,3,1
1,8,101014061,1,5,5,1,2,2,,1
1,8,101014065,1,4,4,2,1,1,3,1
1,8,101014065,2,4,4,2,1,1,3,1
1,8,101014065,3,4,4,3,1,1,2,1
1,8,101014069,1,5,5,1,2,1,3,1
1,8,101014069,2,4,4,1,2,1,3,1
1,8,101014082,1,4,4,4,2,1,4,5
1,8,101014082,2,4,4,4,2,1,2,5
1,8,101014082,4,4,1,4,2,2,,5
1,8,101014113,1,5,5,1,2,1,3,1
1,8,101014118,2,4,4,4,2,2,,2
1,8,101014129,1,5,5,1,2,1,5,1
1,8,101014129,2,5,5,1,2,1,6,1
1,8,101015006,1,5,5,4,2,1,7,1
1,8,101015006,2,5,5,4,2,1,3,1
1,8,101015006,4,5,5,1,2,2,,1
1,8,101015009,1,3,3,4,2,1,4,1
1,8,101015034,1,3,4,4,2,2,,1
1,8,101015034,2,4,3,4,2,2,,1
1,8,101015049,1,4,2,4,2,2,,1
1,8,101015055,1,4,2,3,2,2,,2
1,8,101015064,1,4,5,3,2,2,,1
1,8,101015064,2,4,5,3,2,2,,1
1,8,101015065,1,1,1,4,2,1,2,2
1,8,101015065,2,4,2,4,2,1,6,2
1,8,101015065,4,3,4,4,2,2,,1
1,8,101015090,1,4,3,4,2,1,2,3
1,8,101015090,2,3,4,4,2,1,3,1
1,8,101015119,1,3,1,5,2,2,,2
1,8,101015119,2,3,2,5,2,2,,2
1,8,101015120,1,4,4,5,2,1,3,1
1,8,101015120,2,4,4,4,2,2,,1
1,8,101015149,1,2,2,4,2,2,,1
1,8,101015151,1,4,4,4,2,1,15,1
1,8,101015151,2,2,2,4,2,1,3,2
1,8,101015188,1,5,5,5,2,1,7,2
1,8,101015191,1,5,5,3,2,2,,1
1,8,101015191,2,5,5,3,2,1,12,1
1,8,101015194,1,5,2,4,2,1,10,1
1,8,101016001,1,5,4,5,2,2,,1
1,8,101016001,2,5,4,5,2,1,2,1
1,8,101016023,1,5,5,5,2,1,2,1
1,8,101016023,2,5,5,5,2,1,2,1
1,8,101016041,1,4,4,1,2,2,,1
1,8,101016041,2,4,4,2,2,2,,1
1,8,101016051,1,4,5,5,2,1,4,1
1,8,101016053,1,5,5,4,2,1,4,1
1,8,101016107,1,1,1,5,2,2,,1
1,8,101016111,1,4,4,4,2,1,2,1
1,8,101016111,2,4,4,4,2,2,,1
1,8,101016137,1,2,2,4,2,1,3,1
1,8,101016137,2,2,2,2,2,2,,1
1,8,101016144,1,2,3,4,2,1,3,1
1,8,101016144,2,3,3,4,2,1,1,1
1,8,101016144,3,4,3,4,2,2,,1
1,8,101016145,1,3,4,4,2,2,,1
1,8,101016149,1,2,2,4,2,2,,1
1,8,101016152,1,3,2,4,2,2,,1
1,8,101016154,1,2,2,4,2,2,,1
1,8,101016154,2,4,2,4,2,1,3,1
1,8,101016154,4,4,3,3,2,2,,1
1,8,101016163,1,3,2,4,2,1,2,1
1,8,101016217,1,4,5,5,2,1,2,1
1,8,101016217,2,4,5,5,2,1,2,1
1,10,101017002,1,5,1,1,2,1,12,1
1,10,101017002,2,4,1,2,2,1,13,1
1,10,101017002,3,4,2,1,2,2,,1
1,10,101017004,1,5,4,1,2,1,9,1
1,10,101017004,2,5,3,2,2,1,4,1
1,10,101017004,3,4,5,2,2,2,,2
1,10,101017011,1,4,2,2,2,1,4,1
1,10,101017019,1,4,2,2,2,2,,1
1,10,101017019,2,5,2,2,2,2,,1
1,10,101017019,3,4,3,1,2,2,,1
1,10,101017020,1,5,2,1,2,1,6,1
1,10,101017021,1,4,2,2,2,1,10,1
1,10,101017021,2,4,3,2,2,1,12,
1,10,101017021,3,4,3,2,2,2,,1
1,10,101017022,1,4,2,2,2,1,4,1
1,10,101017022,2,4,3,1,2,1,6,1
1,10,101017027,1,4,3,2,2,1,8,1
1,10,101017027,2,3,2,2,2,1,16,1
1,10,101017029,1,4,3,2,2,1,4,1
1,10,101017031,1,5,2,1,2,1,11,1
1,10,101017031,2,4,1,1,2,1,6,1
1,10,101017036,1,4,3,1,2,1,6,1
1,10,101017036,2,4,2,2,2,1,4,1
1,10,101017049,1,5,2,2,2,1,5,1
1,10,101017051,1,5,1,1,2,1,12,1
1,10,101017051,2,4,2,2,2,1,8,1
1,10,101017056,1,5,3,1,1,1,10,1
1,10,101017056,2,4,2,1,1,1,6,1
1,10,101017057,1,5,1,3,2,1,6,1
1,10,101018002,1,1,1,5,2,1,4,1
1,10,101018002,2,1,1,5,2,1,2,1
1,10,101018002,3,1,1,5,2,2,,1
1,10,101018011,1,1,2,5,2,1,2,1
1,10,101018014,1,1,1,4,2,2,,1
1,10,101018014,2,2,1,4,2,1,2,1
1,10,101018014,3,2,2,4,2,2,,1
1,10,101018018,1,1,1,5,2,1,20,1
1,10,101018019,1,5,4,1,2,1,5,1
1,10,101018026,1,3,2,3,1,2,,2
1,10,101018027,1,5,2,2,2,1,5,1
1,10,101018027,2,5,1,1,2,1,7,1
1,10,101018028,1,5,4,1,2,1,2,1
1,10,101018028,2,5,4,1,2,1,2,1
1,10,101018030,1,5,2,1,2,2,,1
1,10,101018033,1,5,2,5,2,2,,1
1,10,101018033,2,4,2,5,2,2,,1
1,10,101018033,4,4,2,5,2,2,,1
1,10,101018034,1,4,1,5,2,2,,1
1,10,101018041,1,5,5,5,2,1,2,1
1,10,101018043,1,5,3,5,1,2,,1
1,10,101018043,2,5,2,5,1,2,,1
1,10,101018043,3,5,2,5,1,2,,1
1,10,101018058,1,5,2,5,2,1,2,1
1,10,101018059,1,1,1,5,2,2,,1
1,10,101019003,1,4,4,4,2,1,7,1
1,10,101019004,1,1,1,5,2,1,8,1
1,10,101019004,2,1,1,5,2,1,8,1
1,10,101019004,8,1,1,5,2,2,,1
1,10,101019005,1,2,3,4,2,1,2,1
1,10,101019005,2,2,4,4,2,2,,1
1,10,101019005,3,2,3,4,2,2,,1
1,10,101019006,1,3,2,4,2,1,3,1
1,10,101019006,2,3,2,5,2,2,,1
1,10,101019006,3,3,2,4,2,2,,1
1,10,101019008,1,4,5,4,2,1,12,1
1,10,101019008,2,4,5,5,2,1,6,1
1,10,101019009,1,2,4,4,2,1,7,1
1,10,101019009,2,2,2,4,2,1,5,1
1,10,101019010,1,2,1,4,2,1,5,1
1,10,101019011,1,4,4,4,2,1,2,1
1,10,101019011,2,4,4,4,2,2,,1
1,10,101019012,1,1,1,4,2,1,3,1
1,10,101019013,1,1,1,4,2,1,9,1
1,10,101019013,2,1,2,4,2,2,,1
1,10,101019014,1,2,3,4,2,1,8,1
1,10,101019016,1,1,1,5,2,1,10,1
1,10,101019017,1,4,4,4,2,1,4,1
1,10,101019017,2,4,4,5,2,1,2,1
1,10,101019017,4,4,4,5,2,2,,1
1,10,101019019,1,2,1,5,2,1,8,1
1,10,101019020,1,4,4,5,2,1,2,1
1,10,101019020,2,4,5,5,2,2,,1
1,10,101019020,3,4,5,5,2,2,,1
1,10,101020002,1,4,3,2,2,1,3,1
1,10,101020004,1,4,3,1,2,1,10,1
1,10,101020004,2,5,2,1,2,1,10,1
1,10,101020004,3,5,3,1,1,2,,1
1,10,101020006,1,5,5,1,2,2,,1
1,10,101020010,1,5,5,1,2,2,,1
1,10,101020014,1,4,3,2,1,1,6,1
1,10,101020016,1,5,3,1,2,1,3,1
1,10,101020016,2,5,2,2,2,1,6,1
1,10,101020018,1,4,3,1,2,2,,1
1,10,101020018,2,4,2,1,2,1,12,
1,10,101020021,1,5,2,1,2,1,10,1
1,10,101020021,2,5,1,2,2,2,,1
1,10,101020024,1,5,1,1,1,2,,1
1,10,101020024,2,5,3,1,1,2,,1
1,10,101020025,1,4,2,1,2,1,6,1
1,10,101020025,2,4,2,2,2,2,,1
1,10,101020026,1,4,2,2,1,2,,1
1,10,101020027,1,5,1,1,1,2,,1
1,10,101020035,1,4,2,1,2,1,6,1
1,10,101020035,2,5,3,2,1,2,,1
1,10,101020035,3,5,2,2,1,2,,1
1,10,101020037,1,4,1,1,2,1,4,1
1,10,101020037,2,5,2,1,2,1,2,1
