"id1","id2","hhno","plot_no","s4aii_a10","s4aii_a11","s4aii_a12","s4aii_a13","s4aii_a14","s4aii_a15a","s4aii_a15b","s4aii_a15c","s4aii_a16","s4aii_a17","area_ha"
1,1,101008067,1,2.5,2,1,1,3,,"2.5MILES",90,2,,1.02387702465057
1,1,101008067,2,10,2,1,,10,,"10MILES",360,2,,4.09550809860229
1,1,101008067,3,10,2,1,,10,,"5MILES",180,2,,4.09550809860229
1,1,101008074,1,5,2,1,1,3,,"3MILES",60,1,1,2.04775404930115
1,1,101008074,2,0.200000002980232,2,1,2,,10,"5MILES",12,2,,0.0819101557135582
1,1,101008074,3,2,2,1,3,1,,"2MILES",30,2,,0.819101572036743
1,1,101008078,3,3,2,,1,3,,"1MILE",30,2,,1.22865235805511
1,1,101008078,1,10,2,1,1,10,,"4MILES",60,1,1,4.09550809860229
1,1,101008078,2,1,2,1,3,1,,"1MILE",30,2,,0.409550786018372
1,2,101005013,1,2,2,1,1,3,,"2KM",30,1,1,0.819101572036743
1,2,101005013,2,2,2,1,1,3,,"3KM",45,1,1,0.819101572036743
1,2,101005033,2,2,1,1,2,,2.5,"5KM",120,1,1,0.809388935565948
1,2,101005033,3,3,1,1,3,,,"7KM",130,1,1,1.21408331394196
1,2,101005033,1,3,1,1,3,,,"8KM",180,1,1,1.21408331394196
1,2,101005036,2,3,2,1,1,4,,"4KM",90,1,1,1.22865235805511
1,2,101005036,1,0.5,2,1,2,,1,"2KM",45,1,1,0.204775393009186
1,2,101005036,3,1,2,1,1,2,,"1KM",25,1,1,0.409550786018372
1,2,101005041,1,0.5,2,1,2,,2,"4KM",90,1,1,0.204775393009186
1,2,101005052,1,3,1,1,1,4,,"2KM",40,1,1,1.21408331394196
1,2,101005052,3,0.5,1,1,3,,,"2KM",40,2,,0.202347233891487
1,2,101005052,2,0.5,1,1,3,,,"1KM",2,2,,0.202347233891487
1,2,101006001,1,3,2,1,2,,3,"3MILES",40,1,1,1.22865235805511
1,2,101006011,1,1,1,1,2,,2,"0.8MILE",20,1,1,0.404694467782974
1,2,101006015,1,8,2,1,1,3,,"2MILES",45,1,1,3.27640628814697
1,2,101006023,1,9,2,1,1,2,,"0.5MILE",10,1,1,3.68595719337463
1,2,101006029,1,6,2,1,1,6,,"2(44)",40,1,1,2.45730471611023
1,2,101006036,1,12,1,1,1,24,,"5(44)",120,1,1,4.85633325576782
1,2,101006042,1,3,2,1,1,1.5,,"0.5MILE",18,1,1,1.22865235805511
1,2,101007010,1,1,2,1,2,,2,"1KM",15,2,,0.409550786018372
1,2,101007011,1,3,2,1,1,3.5,,"0.5KM",18,2,,1.22865235805511
1,2,101007014,2,0.5,1,1,2,,2,"1KM",15,1,2,0.202347233891487
1,2,101007014,1,0.5,1,1,2,,2,"1KM",15,2,,0.202347233891487
1,2,101007019,1,2,2,1,3,,,"3MILES",45,2,,0.819101572036743
1,2,101007025,1,0.300000011920929,3,1,2,,7,"2KM",30,1,1,0.0709024742245674
1,2,101007026,1,0.600000023841858,2,1,2,,3,"50METRES",4,2,,0.245730489492416
1,2,101007028,1,4,4,1,1,3,,"8KM",51,1,1,0.409550786018372
1,2,101007033,1,1,2,1,2,,4,"1KM",15,2,,0.409550786018372
1,2,101007033,2,0.300000011920929,2,1,2,,6,"2KM",28,2,,0.122865244746208
1,2,101007033,3,0.300000011920929,2,1,2,,6,"2KM",30,2,,0.122865244746208
1,2,101007036,1,1,2,1,3,,,"1.5KM",10,2,,0.409550786018372
1,2,101007068,1,0.300000011920929,2,1,2,,6,"1.5KM",30,1,,0.122865244746208
1,2,101007082,2,1,2,1,2,,1.5,"2KM",23,1,1,0.409550786018372
1,2,101007082,1,2,2,1,3,,,"2KM",23,2,,0.819101572036743
1,2,101025002,2,2,1,1,3,,,"0.5KM",30,1,1,0.809388935565948
1,2,101025002,1,6,1,1,1,4,,"0.5KM",30,1,1,2.42816662788391
1,2,101025003,1,4.5,1,1,1,5,,"1KM",20,1,1,1.82112503051758
1,2,101025006,2,10,1,1,1,5,,"0.5KM",9,1,1,4.0469446182251
1,2,101025006,1,6,1,1,1,3,,"1.5KM",27,1,1,2.42816662788391
1,2,101025012,1,7,1,1,1,7,,"1KM",22,1,1,2.83286118507385
1,2,101025013,1,1,1,1,3,,,"4KM",120,1,1,0.404694467782974
1,2,101025013,2,2,1,1,,2,,"4KM",120,1,1,0.809388935565948
1,2,101025033,1,5,1,1,1,6.5,,"1KM",22,1,1,2.02347230911255
1,2,101025033,2,10,1,1,1,13,,"0.3KM",8,1,1,4.0469446182251
1,2,101025037,2,3,1,1,1,4.5,,"4.5KM",110,1,1,1.21408331394196
1,2,101025037,1,6,1,1,1,7.5,,"3.5KM",95,1,1,2.42816662788391
1,2,101025043,1,4,1,1,1,2,,"1KM",16,1,1,1.6187778711319
1,2,101025043,2,0.800000011920929,1,1,3,,,"0.5KM",8,1,1,0.32375556230545
1,2,101025044,1,16,1,1,1,16,,"12KM",240,1,1,6.47511148452759
1,2,101025050,1,6,1,1,1,4,,"6KM",180,1,1,2.42816662788391
1,2,101025051,1,15,1,1,1,17,,"6KM",120,1,1,6.07041692733765
1,2,101025054,2,7,1,1,1,3.5,,"3MILES",45,1,1,2.83286118507385
1,2,101025054,1,20,1,1,1,10,,"5MILES",90,1,1,8.0938892364502
1,2,101025097,1,30,1,1,1,15,,"7KM",180,1,1,12.1408338546753
1,2,101025100,1,4,1,1,1,3.5,,"2KM",60,1,1,1.6187778711319
1,2,101025100,2,4,1,1,1,3.5,,"3KM",90,1,1,1.6187778711319
1,2,101025101,1,6,1,1,1,4.5,,"5KM",78,1,1,2.42816662788391
1,2,101026004,1,6,1,1,1,2,,"6KM",60,1,1,2.42816662788391
1,2,101026006,1,2,1,1,1,3.5,,"2KM",25,1,1,0.809388935565948
1,2,101026008,1,2,1,1,3,,,"3KM",75,2,,0.809388935565948
1,2,101026008,2,3,1,1,1,1.5,,"3KM",75,1,1,1.21408331394196
1,2,101026010,1,2.5,1,1,1,3.5,,"1.6KM",40,1,1,1.01173615455627
1,2,101026010,2,1.5,1,1,1,2.5,,"3KM",80,1,1,0.607041656970978
1,2,101026017,1,2,1,1,3,,,"3KM",45,1,1,0.809388935565948
1,2,101026019,1,5,1,1,1,8,,"1.6KM",22,1,1,2.02347230911255
1,2,101026023,2,10,1,1,1,5,,"2.0KM",46,1,1,4.0469446182251
1,2,101026023,1,4,1,1,1,2,,"1.6KM",40,1,1,1.6187778711319
1,2,101026024,1,2,1,1,1,1.70000004768372,,"1KM",15,1,1,0.809388935565948
1,2,101026024,2,1.5,1,1,3,,,"0.5KM",8,1,1,0.607041656970978
1,2,101026026,1,3,1,1,1,3,,"3KM",60,1,1,1.21408331394196
1,2,101026029,1,3.5,1,1,1,2,,"1MILE",18,1,2,1.41643059253693
1,2,101026030,2,0.5,1,1,2,,2,"1KM",20,1,1,0.202347233891487
1,2,101026030,1,1,1,1,3,,,"0.5KM",10,1,1,0.404694467782974
1,2,101026040,1,3,1,1,1,2.5,,"1KM",30,1,1,1.21408331394196
1,2,101026040,2,4,1,1,1,3.5,,"3.5KM",76,1,1,1.6187778711319
1,2,101026042,2,15,1,1,1,15,,"1.6KM",60,1,1,6.07041692733765
1,2,101026042,3,5,1,1,1,5,,"1.6KM",60,1,1,2.02347230911255
1,2,101026042,1,20,1,1,1,20,,"3KM",120,1,1,8.0938892364502
1,2,101026043,1,4,1,1,1,4,,"3KM",45,1,1,1.6187778711319
1,2,101026043,2,2,1,1,1,2,,"3KM",45,1,1,0.809388935565948
1,2,101028008,3,2,1,1,1,2,,"0.5MILE",10,1,1,0.809388935565948
1,2,101028008,2,8,1,1,1,8,,"0.5MILE",10,1,1,3.23755574226379
1,2,101028008,1,3,1,1,1,3,,"0.5MILE",10,1,1,1.21408331394196
1,2,101028008,4,1,1,1,3,,,"0.5MILE",10,1,1,0.404694467782974
1,2,101028009,2,5,2,1,1,4,,"3MILE",60,1,1,2.04775404930115
1,2,101028009,3,6,2,1,1,5,,"0.4KM",7,1,1,2.45730471611023
1,2,101028009,1,2.59999990463257,2,1,1,1.79999995231628,,"1MILE",20,1,1,1.06483197212219
1,2,101028010,1,3,2,1,3,,,"2MILES",40,1,1,1.22865235805511
1,2,101028015,1,5,2,1,1,3,,"1.5MILES",30,1,1,2.04775404930115
1,2,101028021,2,3,2,1,3,,,"3MILES",1,1,1,1.22865235805511
1,2,101028021,1,4,2,1,1,1.70000004768372,,"1.5MILES",34,1,1,1.63820314407349
1,2,101028021,3,3,2,1,3,,,"0.5MILE",12,1,1,1.22865235805511
1,2,101028026,1,1.5,1,1,1,1.29999995231628,,"2MILES",40,1,1,0.607041656970978
1,2,101028028,1,5,2,1,1,3,,"2.5MILES",50,1,1,2.04775404930115
1,2,101028032,1,3,2,1,1,2.5,,"1.5MILE",15,1,1,1.22865235805511
1,2,101028032,2,5,2,1,1,4,,"1MILE",28,1,1,2.04775404930115
1,2,101028034,1,2,1,1,1,3,,"1.5MILES",36,1,1,0.809388935565948
1,2,101028035,3,4,1,1,1,3,,"1.5MILE",10,1,1,1.6187778711319
1,2,101028035,2,6,1,1,1,5,,"3MILES",60,1,1,2.42816662788391
1,2,101028035,1,11,1,1,1,8,,"2.5MILES",50,1,1,4.45163917541504
1,2,101028041,2,20,2,1,1,10,,"1.5MILES",30,1,1,8.19101619720459
1,2,101028041,1,16,2,1,1,8,,"1.5MILES",30,1,1,6.55281257629395
1,2,101028044,3,2,2,1,2,,1.5,"1",20,2,,0.819101572036743
1,2,101028044,2,2,2,1,2,,1.5,"1.5",30,2,,0.819101572036743
1,2,101028044,1,5,2,1,1,1.5,,"2MILES",40,1,1,2.04775404930115
1,5,101004010,1,1.5,2,1,1,3,,"2KM",60,2,,0.614326179027557
1,5,101004014,1,5,2,1,1,20,,"800M",30,1,1,2.04775404930115
1,5,101004016,2,20,3,1,1,1.5,,"1.5MILE",45,2,,4.72683143615723
1,5,101004016,1,40,3,1,1,6,,"3MILES",90,2,,9.45366287231445
1,5,101004020,1,0.5,2,1,3,,,"500M",30,1,1,0.204775393009186
1,5,101004022,1,5,2,1,1,12,,"500M",45,1,1,2.04775404930115
1,5,101004024,1,12,3,1,1,2.5,,"800M",60,2,,2.83609867095947
1,5,101004024,2,0.5,2,1,3,,,"100M",10,2,,0.204775393009186
1,5,101004031,2,0.300000011920929,2,1,3,,,"800M",60,2,,0.122865244746208
1,5,101004031,1,0.100000001490116,2,1,2,,2,"800M",60,2,,0.0409550778567791
1,5,101004032,1,0.200000002980232,2,1,2,,2,"2MILES",60,2,,0.0819101557135582
1,5,101004032,2,0.200000002980232,2,1,2,,3,"3MILES",90,2,,0.0819101557135582
1,5,101004032,3,0.200000002980232,2,1,2,,3,"4MILES",120,2,,0.0819101557135582
1,6,101001003,1,4,2,1,1,4,,"2KM",35,2,,1.63820314407349
1,6,101001003,2,5,2,1,1,5,,"1KM",20,2,,2.04775404930115
1,6,101001004,1,1,1,1,1,1.5,,"3KM",60,1,1,0.404694467782974
1,6,101001004,2,1,1,1,1,1.5,,"3.5KM",90,1,1,0.404694467782974
1,6,101001004,3,1,1,1,1,1.5,,"3.5KM",90,1,1,0.404694467782974
1,6,101001012,1,2,4,1,1,1.5,,"4KM",51,1,1,0.204775393009186
1,6,101001015,3,6,1,1,1,6,,"1KM",20,1,1,2.42816662788391
1,6,101001015,2,2,1,1,1,2,,"1KM",25,1,1,0.809388935565948
1,6,101001015,1,4,1,1,1,4,,"2KM",45,1,1,1.6187778711319
1,6,101001023,1,2,2,1,1,1.5,,"2.5KM",2,1,1,0.819101572036743
1,6,101001024,3,2,1,1,1,1.5,,"6KM",60,1,2,0.809388935565948
1,6,101001024,2,2,1,1,1,1.5,,"5KM",51,1,2,0.809388935565948
1,6,101001024,1,3,1,1,1,2,,"4KM",38,1,2,1.21408331394196
1,6,101001029,1,5,2,1,1,2,,"10KM",150,1,2,2.04775404930115
1,6,101001034,1,3,1,1,1,3,,"3KM",60,1,1,1.21408331394196
1,6,101001035,1,4,2,1,1,3,,"1.5KM",30,1,1,1.63820314407349
1,6,101002002,1,7,2,1,1,4,,"4KM",80,2,,2.86685562133789
1,6,101002023,1,10,2,1,1,10,,"5KM",60,1,1,4.09550809860229
1,6,101002028,1,4,1,1,1,6,,"3KM",30,1,1,1.6187778711319
1,6,101002052,1,3,2,1,1,2,,"4KM",30,1,1,1.22865235805511
1,8,101013006,2,1,2,1,1,2,,"0.5KM",10,1,1,0.409550786018372
1,8,101013006,1,1,2,1,1,2,,"0.6KM",15,1,1,0.409550786018372
1,8,101013008,2,2,1,1,1,3,,"1KM",25,1,1,0.809388935565948
1,8,101013008,1,2,1,1,1,3,,"1KM",25,1,1,0.809388935565948
1,8,101013008,3,0.5,2,1,3,,,"0.8KM",25,1,1,0.204775393009186
1,8,101013015,3,2.5,2,1,1,3,,"1KM",20,1,1,1.02387702465057
1,8,101013015,1,2,2,1,1,2,,"1.2KM",20,1,1,0.819101572036743
1,8,101013015,2,1.5,2,1,1,1.5,,"1KM",20,1,1,0.614326179027557
1,8,101013019,1,6,1,1,1,6,,"1KM",30,1,1,2.42816662788391
1,8,101013020,2,2,2,1,1,4,,"0.75KM",20,1,1,0.819101572036743
1,8,101013020,1,4,2,1,1,6,,"1.6KM",45,1,1,1.63820314407349
1,8,101013020,3,6,2,1,1,12,,"3KM",75,1,1,2.45730471611023
1,8,101013028,2,4,2,1,1,12,,"0.8KM",40,1,1,1.63820314407349
1,8,101013028,4,1.5,2,1,1,4,,"2.4KM",120,1,1,0.614326179027557
1,8,101013028,5,3,2,1,1,9,,"1.6KM",50,1,1,1.22865235805511
1,8,101013028,3,1.5,2,1,1,4,,"0.8KM",40,1,1,0.614326179027557
1,8,101013028,1,1,2,1,1,3,,"0.8KM",40,1,1,0.409550786018372
1,8,101013030,1,0.5,2,1,2,,,"0.8KM",30,1,1,0.204775393009186
1,8,101013030,2,0.5,2,1,2,,,"1.2KM",45,1,1,0.204775393009186
1,8,101013032,1,1.5,2,1,1,3,,"0.5KM",30,2,,0.614326179027557
1,8,101013036,1,4,1,1,1,4,,"1KM",15,1,1,1.6187778711319
1,8,101013036,2,2,1,1,1,2,,"1KM",15,1,1,0.809388935565948
1,8,101013048,1,5,1,1,1,15,,"1.5KM",30,2,,2.02347230911255
1,8,101013066,1,3,2,1,1,3,,"0.4KM",10,1,1,1.22865235805511
1,8,101013067,1,1,2,1,1,2,,"0.5KM",20,1,1,0.409550786018372
1,8,101013067,2,6,2,1,1,12,,"0.5KM",20,1,1,2.45730471611023
1,8,101013067,4,1.5,2,1,1,3,,"1KM",30,1,1,0.614326179027557
1,8,101013067,3,2,2,1,1,4,,"0.25KM",10,1,1,0.819101572036743
1,8,101013087,2,0.899999976158142,2,1,3,,,"0.4KM",30,1,1,0.368595689535141
1,8,101013087,1,1,2,1,3,,,"0.8KM",60,1,1,0.409550786018372
1,8,101013095,2,30,1,1,1,60,,"0.5KM",10,1,1,12.1408338546753
1,8,101013095,1,20,1,1,1,50,,"1KM",15,1,1,8.0938892364502
1,8,101013103,3,1.5,2,1,1,5,,"0.7KM",15,1,1,0.614326179027557
1,8,101013103,2,3,2,1,1,10,,"2.4KM",60,1,1,1.22865235805511
1,8,101013103,1,1.5,2,1,1,5,,"0.8KM",20,1,1,0.614326179027557
1,8,101014011,2,3,2,1,1,3,,"3MILES",60,2,,1.22865235805511
1,8,101014011,1,2,2,1,1,2.5,,"3MILES",60,1,1,0.819101572036743
1,8,101014015,2,2,2,1,1,1.5,,"0.25MILES",10,2,,0.819101572036743
1,8,101014015,1,7,2,1,1,6,,"0.25MILES",10,2,,2.86685562133789
1,8,101014015,5,1.20000004768372,2,1,3,,,"1.5MILES",60,2,,0.491460978984833
1,8,101014015,3,3,2,1,1,2,,"0.5MILES",15,2,,1.22865235805511
1,8,101014015,4,2,2,1,1,1.5,,"1MILE",30,2,,0.819101572036743
1,8,101014022,1,5,2,1,1,6,,"0.5MILES",10,1,1,2.04775404930115
1,8,101014033,2,1,2,1,1,2,,"2MILES",60,2,,0.409550786018372
1,8,101014033,3,1,2,1,1,2,,"2MILES",60,2,,0.409550786018372
1,8,101014033,1,1,2,1,1,2,,"1MILE",45,2,,0.409550786018372
1,8,101014036,2,4,2,1,1,2,,"1MILE",30,2,,1.63820314407349
1,8,101014036,1,5,2,1,1,3,,"50METERS",1,2,,2.04775404930115
1,8,101014041,2,7,1,,,,,"2.5MILES",90,1,1,2.83286118507385
1,8,101014041,1,3,1,,,,,"3.25MILES",120,1,1,1.21408331394196
1,8,101014046,1,1.5,2,1,1,4,,"1MILE",45,2,,0.614326179027557
1,8,101014046,3,1,2,1,1,3,,"0.5MILE",20,2,,0.409550786018372
1,8,101014046,2,1.20000004768372,2,1,1,3,,"0.5MILE",20,2,,0.491460978984833
1,8,101014046,5,0.5,2,1,1,1.5,,"0.25",10,2,,0.204775393009186
1,8,101014046,4,0.5,2,1,1,1.5,,"1MILE",50,2,,0.204775393009186
1,8,101014057,1,5,2,1,1,5,,"0.1KM",13,2,,2.04775404930115
1,8,101014057,2,7,2,1,1,7,,"0.1KM",15,2,,2.86685562133789
1,8,101014065,1,1,2,1,1,5,,"400METERS",5,1,2,0.409550786018372
1,8,101014065,2,2,2,1,1,10,,"350METERS",5,1,2,0.819101572036743
1,8,101014065,3,10,2,1,1,50,,"500METERS",10,1,2,4.09550809860229
1,8,101014069,2,2,1,1,1,3,,"1.6KM",40,2,,0.809388935565948
1,8,101014069,1,5,1,1,1,4,,"3.2KM",60,2,,2.02347230911255
1,8,101014082,1,2,2,1,1,2,,"0.5KM",25,2,,0.819101572036743
1,8,101014082,3,30,2,1,1,30,,"0.75KM",30,2,,12.2865238189697
1,8,101014082,2,1,2,1,3,,,"0.5KM",25,2,,0.409550786018372
1,8,101014113,1,1,1,1,1,3,,"300METRES",5,2,,0.404694467782974
1,8,101014118,2,1,2,1,1,1.5,,"500METRES",30,2,,0.409550786018372
1,8,101014118,1,2,2,1,1,3,,"2MILES",120,2,,0.819101572036743
1,8,101014129,1,1,2,1,1,1.5,,"0.25MILE",7,2,,0.409550786018372
1,8,101015006,1,3,1,1,1,2,,"4MILES",120,1,1,1.21408331394196
1,8,101015006,2,1,1,1,3,,,"1.5MILE",35,1,1,0.404694467782974
1,8,101015006,3,1,1,1,3,,,"1.5MILE",35,1,1,0.404694467782974
1,8,101015006,4,0.5,1,1,2,,2,"1.5MILE",35,1,1,0.202347233891487
1,8,101015009,1,14,2,1,1,10,,"1.25MILES",20,2,,5.73371124267578
1,8,101015034,1,7,2,1,1,15,,"6MILES",120,1,1,2.86685562133789
1,8,101015034,3,6.5,2,1,1,12,,"0.5MILE",15,2,,2.66208004951477
1,8,101015034,2,2,2,1,1,4,,"1MILES",30,1,1,0.819101572036743
1,8,101015049,2,0.100000001490116,2,1,2,,4,"2MILES",120,2,,0.0409550778567791
1,8,101015049,1,0.5,2,1,2,,2,"0.5MILES",30,2,,0.204775393009186
1,8,101015055,1,0.5,2,1,2,2,,"3MILES",120,1,1,0.204775393009186
1,8,101015055,2,1,2,1,2,4,,"1MILE",30,1,1,0.409550786018372
1,8,101015064,1,1.5,2,1,1,1.5,,"1MILE",30,1,1,0.614326179027557
1,8,101015064,4,0.5,2,1,2,,2,"0.5MIL",20,2,,0.204775393009186
1,8,101015064,2,1,2,1,3,,,"1MILE",30,1,1,0.409550786018372
1,8,101015064,3,0.5,2,1,2,,2,"0.5MILE",20,2,,0.204775393009186
1,8,101015065,1,1,2,1,1,2,,"1MILE",20,2,,0.409550786018372
1,8,101015065,2,1.10000002384186,2,1,1,2,,"1.5MILE",60,1,1,0.450505882501602
1,8,101015090,1,3.5,2,1,1,6,,"12MILES",180,1,1,1.43342781066895
1,8,101015090,2,1.5,2,,1,2.5,,"2MILES",90,2,,0.614326179027557
1,8,101015090,3,1,2,1,1,1.5,,"0.5MILES",60,1,2,0.409550786018372
1,8,101015119,1,1,2,1,3,,,"2MILES",30,2,,0.409550786018372
1,8,101015120,1,0.5,2,1,2,,2,"300M",20,1,1,0.204775393009186
1,8,101015120,2,0.5,2,1,2,,2,"500M",45,1,1,0.204775393009186
1,8,101015149,1,3,2,1,1,7,,"3MILES",90,1,1,1.22865235805511
1,8,101015151,1,1,2,1,1,2,,"3.5MILES",120,1,1,0.409550786018372
1,8,101015151,2,0.5,2,1,2,,1.10000002384186,"1MILE",30,1,1,0.204775393009186
1,8,101015188,1,0.5,2,1,2,,2,"1.5MILE",60,2,,0.204775393009186
1,8,101015191,1,3,1,1,1,3,,"1.5MILE",90,2,,1.21408331394196
1,8,101015191,3,1,1,1,3,,,"1.5MILES",90,1,1,0.404694467782974
1,8,101015191,2,2,1,1,1,2,,"2MILES",120,1,1,0.809388935565948
1,8,101016001,2,1.5,2,1,3,,,"0.5MILE",30,1,1,0.614326179027557
1,8,101016001,1,1.5,2,1,3,,,"2.5MILES",90,1,1,0.614326179027557
1,8,101016001,3,2.5,2,1,1,2.5,,"1.5MILE",60,1,1,1.02387702465057
1,8,101016023,3,2,2,1,1,1.5,,"1.5MILE",50,1,1,0.819101572036743
1,8,101016023,1,10,1,1,1,8,,"1MILE",30,1,1,4.0469446182251
1,8,101016023,2,4,1,1,1,2,,"3MILES",90,1,1,1.6187778711319
1,8,101016041,1,2,2,1,1,2,,"1MILE",30,1,1,0.819101572036743
1,8,101016053,2,0.5,2,1,2,,2,"2MILES",45,1,1,0.204775393009186
1,8,101016053,1,3,2,1,1,3,,"2MILES",45,2,,1.22865235805511
1,8,101016107,1,6,2,1,1,8,,"1MILE",60,1,1,2.45730471611023
1,8,101016111,1,2,2,1,1,2,,"1MILE",60,2,,0.819101572036743
1,8,101016111,2,1.5,2,1,1,1.5,,"1MILE",60,2,,0.614326179027557
1,8,101016137,3,1,2,1,1,1.5,,"1.5MILES",90,2,,0.409550786018372
1,8,101016137,1,10,2,1,1,20,,"3MILES",120,2,,4.09550809860229
1,8,101016137,2,4,2,1,1,5,,"4MILES",180,1,1,1.63820314407349
1,8,101016144,2,13,1,1,1,4,,"2MILES",60,1,1,5.26102781295776
1,8,101016144,1,4,2,1,1,2,,"4MILES",120,1,1,1.63820314407349
1,8,101016149,1,2,2,1,1,2,,"2MILES",180,1,1,0.819101572036743
1,8,101016149,2,1,2,1,3,,,"5MILES",300,2,,0.409550786018372
1,8,101016152,2,0.5,2,1,2,,3,"1MILE",30,1,1,0.204775393009186
1,8,101016152,3,0.5,2,1,2,,3,"1MILE",30,2,,0.204775393009186
1,8,101016152,1,0.5,2,1,2,,3,"2MILES",60,2,,0.204775393009186
1,8,101016154,1,4,2,1,1,3,,"120YARDS",10,1,1,1.63820314407349
1,8,101016154,2,4,2,1,1,3,,"120YARDS",10,2,,1.63820314407349
1,8,101016163,2,2,2,1,1,2,,"2MILES",90,1,1,0.819101572036743
1,8,101016163,1,7,2,1,1,5,,"5MILES",120,1,1,2.86685562133789
1,8,101016217,2,0.5,2,1,2,,2,"500M",15,1,1,0.204775393009186
1,8,101016217,3,4,2,1,1,4,,"3MILES",60,1,1,1.63820314407349
1,8,101016217,1,3,2,1,1,2,,"500M",20,1,1,1.22865235805511
1,10,101017002,2,1,2,1,1,2,,"1MILE",20,1,1,0.409550786018372
1,10,101017002,1,3,2,1,1,6,0.5,"0.5MILE",10,1,1,1.22865235805511
1,10,101017004,1,25,2,1,1,30,,"0.25M",5,2,,10.23876953125
1,10,101017004,2,2,2,1,1,3,,"0.25M",5,2,,0.819101572036743
1,10,101017011,1,4,2,1,1,4,,"2MILES",40,1,1,1.63820314407349
1,10,101017011,2,3,2,1,1,3,,"2MILES",40,1,1,1.22865235805511
1,10,101017019,1,2,1,1,1,2,,"3M",60,1,,0.809388935565948
1,10,101017019,2,1,1,1,3,,,"3M",60,1,,0.404694467782974
1,10,101017020,1,4,2,1,1,4,,"0.5MILE",10,2,,1.63820314407349
1,10,101017021,2,1.79999995231628,1,1,1,4,,"1MILE",20,1,1,0.728450000286102
1,10,101017021,1,15,1,1,1,30,,"0.25MILE",8,1,1,6.07041692733765
1,10,101017022,1,6,2,1,1,6,,"3MILES",60,1,2,2.45730471611023
1,10,101017022,2,10,2,1,1,10,3.5,"3.5MILES",70,2,,4.09550809860229
1,10,101017027,2,2,2,1,1,2,,"1MILE",20,1,1,0.819101572036743
1,10,101017027,1,10,2,1,1,10,,"0.5MILE",10,1,1,4.09550809860229
1,10,101017029,1,4,2,1,1,3,0.300000011920929,"0.5KM",7,1,1,1.63820314407349
1,10,101017036,3,1.5,1,1,2,,1.20000004768372,"0.3KM",3,1,1,0.607041656970978
1,10,101017036,1,3,1,1,1,1.5,,"2MILE",40,2,,1.21408331394196
1,10,101017036,2,2,1,1,3,,,"0.25KM",6,1,1,0.809388935565948
1,10,101017051,1,4,1,1,1,3,,"1MILE",20,1,1,1.6187778711319
1,10,101017056,2,10,1,1,1,11,,"1.25MILES",25,1,1,4.0469446182251
1,10,101017056,1,6,1,1,1,7,,"2MILES",40,1,1,2.42816662788391
1,10,101017057,1,2,2,1,1,2,,"2MILES",40,1,2,0.819101572036743
1,10,101018002,1,3,1,1,1,3,,"7KM",120,1,1,1.21408331394196
