wage	educ	exper	nonwhite	gender	married
3.5	12	48	0	Male	1
2.9	11	6	0	Female	0
4.5	12	12	0	Male	1
2.3	12	5	0	Female	0
5	14	19	0	Male	1
10	16	9	1	Male	1
3.8	2	39	0	Male	1
10	14	28	0	Female	1
11	16	23	0	Male	1
7.9	12	2	0	Male	0
4.7	12	15	0	Female	0
5.8	13	5	0	Female	1
3.8	12	18	0	Female	0
3.2	15	2	0	Female	0
2	10	3	1	Female	0
4.5	12	31	0	Female	1
12	16	20	0	Female	1
2.1	13	34	1	Female	1
2.4	9	5	1	Male	0
3.8	12	11	0	Male	0
5.5	13	31	0	Male	0
6.5	12	8	0	Female	1
3.1	12	2	0	Female	0
10	14	18	0	Male	1
6.6	16	3	0	Male	1
10	16	3	0	Male	1
2.3	9	4	0	Female	0
6.9	18	4	0	Male	0
2.8	10	1	0	Male	0
3.1	10	1	0	Female	0
8	13	28	0	Male	1
4.5	12	47	0	Female	1
8.6	18	13	0	Female	0
2	13	2	0	Female	0
4.8	12	48	0	Female	1
6.3	13	6	0	Female	1
6	13	8	0	Male	1
15	13	25	0	Male	1
15	18	13	0	Female	0
13	12	8	0	Male	0
5.3	12	19	0	Female	1
2.2	13	1	0	Female	0
7.1	12	43	0	Female	0
6.2	12	19	0	Female	1
9	12	11	0	Female	1
10	14	43	0	Male	1
5.8	10	44	0	Male	1
4	12	22	0	Female	1
8.8	16	3	0	Male	1
6.5	16	3	0	Female	0
7.6	12	41	0	Female	0
5	14	5	0	Male	0
5	12	14	0	Female	0
22	12	24	0	Male	1
8.6	12	28	0	Male	1
3.3	12	25	0	Male	1
4.4	12	3	0	Male	0
4.6	12	11	0	Male	1
3.5	12	7	1	Female	1
6.3	16	9	0	Male	1
3.8	16	5	0	Male	1
6.2	14	9	0	Female	1
2.9	11	1	0	Female	0
6.3	16	2	1	Female	0
6.3	12	13	0	Female	1
9.1	12	10	0	Male	1
10	17	5	0	Male	1
11	12	30	0	Male	1
6.9	12	31	0	Male	1
8.8	16	1	1	Male	0
10	8	9	0	Male	1
3	12	10	0	Female	1
3	12	38	0	Female	1
5.8	12	19	0	Female	1
4.1	16	5	0	Female	1
8	12	26	0	Male	1
6.2	12	35	0	Female	0
2.7	9	2	0	Female	0
2.8	13	1	0	Female	0
3	16	19	0	Female	1
3	14	3	0	Female	0
7.4	8	36	0	Male	1
7.5	14	29	0	Male	1
3.5	13	1	0	Male	0
8.1	12	38	0	Female	1
3.8	18	1	0	Male	0
3.3	9	29	1	Male	1
5.8	8	36	0	Female	1
3.5	8	4	0	Male	0
3.3	12	45	0	Female	1
4	14	22	0	Female	0
3.5	12	20	0	Female	1
6.3	16	5	0	Male	1
3	8	15	1	Female	1
5.7	13	10	0	Female	1
3	9	3	0	Female	0
23	16	16	0	Male	1
9	12	38	0	Male	1
8.3	15	33	0	Male	1
3	11	2	0	Male	0
5.8	14	6	0	Male	1
6.8	12	19	1	Male	1
10	12	29	0	Male	1
3	12	2	0	Male	0
3.5	18	3	0	Female	0
3.3	12	4	0	Male	0
4	12	10	1	Female	0
2.9	12	4	0	Female	0
3.1	12	14	1	Female	0
3.2	12	15	0	Female	1
4.8	12	19	0	Male	1
3	14	17	0	Female	1
18	16	29	0	Male	1
3.5	12	2	0	Female	0
4.1	14	5	0	Male	0
2	11	38	1	Female	0
4.3	12	3	0	Female	0
3	10	47	0	Male	0
6.4	12	7	0	Male	1
5.2	6	47	1	Male	1
4.5	13	23	1	Female	0
3.9	12	12	0	Male	1
3.5	10	11	0	Female	0
11	12	25	0	Male	0
4.1	14	6	0	Female	1
3	13	3	0	Male	0
5.9	12	14	1	Male	1
18	18	13	0	Female	0
4	12	9	0	Male	0
3	12	1	1	Male	0
3.5	12	6	0	Female	1
3	12	11	0	Female	1
8.8	12	47	0	Male	1
2.9	8	49	0	Female	0
6.3	13	37	0	Female	1
3.5	13	2	0	Female	0
4.6	14	7	0	Female	1
6	12	22	0	Male	0
2.9	10	8	0	Female	0
5.6	16	1	0	Male	1
4	12	43	0	Female	1
6	16	2	0	Male	0
4.5	12	2	0	Female	0
2.9	14	1	0	Male	0
4.3	18	1	0	Male	0
19	17	26	0	Male	1
4.3	13	1	0	Female	0
4.6	14	37	0	Female	1
6.3	15	12	0	Female	1
3	14	41	1	Male	1
8.8	12	24	0	Male	0
8.5	8	38	0	Male	0
3.8	12	18	0	Female	1
3.2	12	26	0	Male	1
5	8	45	0	Male	0
6.5	12	27	0	Male	1
2	9	2	0	Male	0
4.8	12	41	0	Male	1
5.8	16	11	0	Male	1
3.2	12	5	0	Female	1
4.7	16	3	0	Female	0
4.1	12	3	0	Female	0
2.9	12	4	0	Male	1
6	13	21	0	Male	1
3.6	10	34	0	Female	1
4	6	49	0	Male	1
7	12	6	1	Male	1
3	12	26	0	Female	1
6.1	16	9	0	Male	0
8.6	12	23	0	Male	1
3	8	33	0	Male	1
3.8	12	5	0	Female	1
2.9	6	49	0	Male	1
3	4	48	1	Male	1
6.3	11	35	0	Male	1
3.5	11	23	1	Female	0
3	7	26	0	Female	0
3.2	12	16	0	Female	1
8	18	23	0	Female	1
3.3	12	36	0	Female	1
5.3	16	4	0	Male	0
6.3	12	10	0	Male	1
3.5	14	18	0	Male	1
3	12	3	0	Male	0
3	10	7	0	Female	1
4.7	10	7	0	Male	0
3.7	9	33	0	Female	0
4	10	34	0	Male	1
4	12	8	0	Female	1
2.9	12	17	0	Female	1
3	12	2	0	Female	0
5.1	10	5	0	Female	0
14	16	41	0	Male	1
18	16	35	0	Male	1
6.3	16	11	0	Male	0
5.3	12	4	1	Male	0
4.8	12	12	0	Female	1
3.3	7	35	0	Female	0
3	8	33	0	Male	1
8.4	16	8	0	Male	1
5.7	16	2	0	Male	0
12	18	8	0	Male	1
3.5	13	29	0	Female	1
4.2	10	14	1	Male	1
7	16	26	0	Female	1
6	14	11	0	Female	1
12	16	10	0	Male	0
4.5	12	13	0	Male	1
3	9	23	0	Female	1
2.9	11	1	1	Male	0
15	11	35	0	Male	1
4	12	5	0	Male	1
5.3	11	13	0	Male	1
4	12	22	0	Male	1
3.3	12	21	0	Female	1
5.1	12	19	0	Female	1
3.6	12	13	0	Male	0
5	14	15	0	Male	1
4.6	14	3	0	Male	1
13	18	6	0	Male	0
3.5	12	6	0	Female	1
4.6	12	16	0	Female	0
10	12	31	0	Male	1
2.9	11	1	0	Female	0
4.5	12	5	0	Male	0
6.5	17	3	0	Male	1
7.5	16	11	0	Male	1
3.5	13	6	0	Female	1
4.2	13	11	0	Female	1
3.5	12	7	0	Female	1
4.5	14	5	0	Male	1
3.3	14	5	0	Female	1
2.9	11	2	0	Male	0
5.3	10	44	0	Male	1
4.1	8	44	0	Male	1
3.8	14	13	0	Female	1
3.4	12	26	0	Female	1
3	10	2	0	Female	0
6.3	17	10	0	Male	1
2.5	9	2	0	Female	0
4.5	12	35	0	Female	1
3.1	12	6	0	Female	1
6.4	14	8	0	Male	1
4.7	16	1	0	Male	0
6.8	12	14	0	Male	1
8.5	10	14	0	Male	1
4.2	0	22	0	Female	0
3.8	14	8	0	Female	1
11	15	1	0	Female	0
3.3	16	15	1	Female	1
9.1	12	14	0	Male	1
4.5	11	37	0	Male	1
3	11	1	0	Female	0
8.8	12	4	0	Male	1
4.1	13	29	0	Female	1
2.9	12	45	0	Female	1
3.3	13	22	0	Female	0
6.1	16	42	0	Male	0
3	15	9	1	Male	0
4.2	16	8	0	Female	1
5.6	15	31	0	Female	0
10	12	24	0	Male	1
13	18	16	0	Male	1
3.8	6	6	0	Male	0
3.1	6	14	1	Female	0
4.3	12	47	0	Female	1
11	12	34	0	Male	1
7.5	16	6	0	Female	1
4.1	9	7	0	Female	1
4.7	12	27	0	Male	1
5	11	24	0	Male	1
2.9	10	18	0	Female	1
8	12	12	1	Female	0
8.4	8	27	0	Male	1
2.9	9	49	0	Female	0
6.3	17	4	0	Female	0
6.3	16	24	0	Female	1
5.1	11	3	0	Male	0
4	10	2	0	Female	0
4.4	8	29	0	Male	1
6.9	13	34	0	Male	1
5.4	14	10	1	Male	1
3	13	5	0	Female	0
2.9	11	2	0	Female	0
6.3	7	39	1	Male	1
4.3	16	5	1	Female	0
3.3	12	14	0	Female	1
7.3	13	8	0	Male	0
6.3	14	10	0	Female	1
5.6	16	2	0	Male	1
8.8	14	9	0	Male	1
3.2	11	1	0	Male	0
3	8	45	0	Female	1
3	14	33	0	Female	1
13	17	21	0	Male	1
2.9	10	2	0	Female	0
3.3	12	9	0	Male	1
6.5	12	33	0	Male	1
10	18	16	1	Male	1
4.5	14	10	0	Male	1
10	18	9	0	Male	0
3.8	12	8	0	Female	1
8.8	16	9	0	Male	1
9.4	14	23	0	Female	1
6.3	12	23	0	Male	1
4	9	22	1	Male	0
2.9	12	37	0	Female	1
20	12	22	0	Male	1
11	17	28	0	Male	1
3.5	12	14	1	Female	0
6	15	19	0	Female	1
14	17	10	1	Male	1
6.4	16	25	0	Male	1
3.5	12	21	0	Female	1
3	15	32	0	Male	1
4.5	16	21	0	Male	1
6.6	12	36	0	Female	0
9.3	15	2	0	Male	1
3	12	11	0	Female	1
3.3	12	40	0	Female	0
1.5	12	11	0	Female	1
5.9	12	9	0	Female	1
8	16	23	0	Male	0
2.9	11	1	0	Female	0
3.3	14	30	0	Male	0
6.5	14	41	0	Male	1
4	13	6	0	Female	0
6	14	11	0	Male	1
4.1	12	43	0	Female	1
3.8	12	39	0	Female	1
3	8	50	0	Female	0
3.5	12	26	0	Female	1
2.9	3	51	1	Male	0
4.5	11	3	0	Male	0
3.3	15	3	0	Female	1
5.9	11	15	1	Male	1
8	12	17	0	Male	1
3	4	36	0	Male	1
5	9	31	1	Male	1
5.5	12	9	0	Male	1
2.7	12	42	0	Female	1
3	11	3	0	Female	0
4.5	12	37	0	Female	1
18	16	23	0	Male	1
8.2	13	21	0	Male	0
9.1	15	11	0	Male	1
12	16	35	0	Male	1
3.3	12	42	0	Female	1
4.5	12	3	0	Male	0
4.5	12	13	0	Male	1
3.7	9	14	0	Male	1
6.5	10	14	0	Male	1
2.9	12	39	0	Female	1
5.6	11	11	0	Male	1
2.2	8	28	0	Male	1
5	6	18	0	Female	1
8.3	16	6	0	Male	1
2.9	12	26	0	Female	0
6.3	12	21	0	Male	1
4.6	16	34	0	Male	1
3.3	12	17	0	Female	0
2.3	10	2	0	Female	0
3.3	13	5	0	Female	0
3.2	13	1	0	Female	0
13	14	40	0	Male	1
5.2	16	39	0	Female	0
3.1	10	1	0	Male	0
7.3	12	14	0	Male	1
2.9	12	2	0	Female	0
1.8	11	2	0	Male	0
2.9	0	42	0	Female	1
2.9	5	34	0	Female	1
18	16	10	0	Male	1
6.3	16	4	0	Male	1
2.6	9	4	0	Male	0
6.6	15	21	0	Female	1
3.5	12	31	1	Female	0
6.5	12	20	0	Male	1
3	12	36	1	Female	0
4.4	13	7	1	Male	1
10	12	15	0	Male	0
4.9	7	25	0	Male	1
9	17	7	0	Female	1
1.4	12	17	0	Female	1
3.1	12	3	0	Male	0
9.3	14	12	0	Male	1
7.5	12	18	0	Male	1
4.8	13	47	0	Male	1
5.7	12	2	0	Male	0
15	16	14	0	Female	1
2.3	10	2	0	Female	0
4.7	15	13	0	Male	1
12	16	5	0	Male	1
3.5	14	5	1	Female	0
