"id1","id2","id3","id4","s4aiv_plotno","s4aiv_a41","s4aiv_a42","s4aiv_a43","s4aiv_a44","s4aiv_a45","s4aiv_a46","s4aiv_a47i","s4aiv_a47ii","s4aiv_a48i","s4aiv_a48ii","s4aiv_a49i","s4aiv_a49ii","s4aiv_a50","s4aiv_a51i","s4aiv_a51ii","s4aiv_a52i","s4aiv_a52ii","s4aiv_a53i","s4aiv_a53ii","s4aiv_a54i","s4aiv_a54ii","s4aiv_a55i","s4aiv_a55ii","s4aiv_a56","s4aiv_a57i","s4aiv_a57ii","s4aiv_a58","s4aiv_a59","s4aiv_a60","s4aiv_a61","s4aiv_a62","s4aiv_a63","s4aiv_a64ii","s4aiv_a65","s4aiv_a66i","s4aiv_a66ii","s4aiv_a67","s4aiv_a68","s4aiv_a69","s4aiv_a70","s4aiv_a71","s4aiv_a72","s4aiv_a73ii","s4aiv_a74i","s4aiv_a74ii","s4aiv_a75i","s4aiv_a75ii","s4aiv_a76","s4aiv_a77","hhno"
1,1,8,35,3,2,,,,4,,,,,,,,,,,,,,,,,,,2,,,7,1,4,"1",2,2,-8,1,1,,6,1,3,2,4,2,-8,,,,,6,2,101008035
1,1,8,35,6,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,2,,2,,,,,,,,,,,,,,,1,101008035
1,1,8,35,4,2,,,,4,,,,,,,,,,,,,,,,,,,2,,,7,1,4,"1",2,2,-8,1,1,,6,1,3,2,4,2,-8,,,,,6,2,101008035
1,1,8,35,2,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101008035
1,1,8,35,5,2,,,,4,,,,,,,,,,,,,,,,,,,2,,,7,1,4,"1",2,2,-8,1,1,,6,1,3,2,4,2,-8,,,,,6,2,101008035
1,1,8,44,2,2,,,,2,,,,,,,,3,1500,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101008044
1,1,8,44,1,2,,,,2,,,,,,,,3,1200,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,2,101008044
1,1,8,47,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,44,2,,,,,,,,,,,,,,,1,101008047
1,1,8,47,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,2,"8",2,2,-8,2,,,,,,,,,,,,,,,1,101008047
1,1,8,53,2,2,,,,2,,,,,,,,3,200,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101008053
1,1,8,53,1,2,,,,2,,,,,,,,3,600,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,2,101008053
1,1,8,67,3,2,,,,1,2009,1200,,60,,200,,3,1500,,,,,,,,,,,,,,,1,"11",2,2,-8,2,,,,,,,,,,,,,,,2,101008067
1,1,8,67,1,1,1,"1",2,2,,,,,,,,3,500,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101008067
1,1,8,67,2,1,1,"1",2,1,2007,500,,10,,,,3,1000,,,,,,,,,,,,,,,1,"11",2,2,-8,2,,,,,,,,,,,,,,,2,101008067
1,1,8,74,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,79,2,,,,,,,,,,,,,,,1,101008074
1,1,8,74,1,1,1,"1",2,2,,,,,,,,4,500,,,,,,,,,,,,,,,1,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101008074
1,1,8,74,3,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101008074
1,1,8,78,3,2,,,,2,,,,,,,,4,500,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,2,101008078
1,1,8,78,1,1,1,"1",2,2,,,,,,,,4,2000,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101008078
1,1,8,78,2,2,,,,2,,,,,,,,4,200,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101008078
1,2,5,13,1,1,1,"1",1,1,2006,15,,,,,,1,2000,,,,,,,,,,,,,,,2,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101005013
1,2,5,13,2,1,1,"1",1,1,2006,20,,,,,,1,2200,,,,,,,,,,,,,,,2,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101005013
1,2,5,33,3,1,1,"1",1,4,,,,,,,,,,,,,,,,,,,2,,,2,2,6,"14",1,1,-8,2,,,,,,,,,,,,,,,1,101005033
1,2,5,33,1,1,1,"1",1,4,,,,,,,,,,,,,,,,,,,2,,,2,2,6,"14",1,1,-8,2,,,,,,,,,,,,,,,1,101005033
1,2,5,33,2,1,1,"1",1,4,,,,,,,,,,,,,,,,,,,2,,,2,2,6,"14",1,1,-8,2,,,,,,,,,,,,,,,1,101005033
1,2,5,36,1,2,,,,4,,,,,,,,,,,,,,,,,,,2,,,4,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101005036
1,2,5,36,3,2,,,,4,,,,,,,,,,,,,,,,,,,2,,,4,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101005036
1,2,5,36,2,1,1,"1",1,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101005036
1,2,5,41,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101005041
1,2,5,52,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,-8,2,,,,,,,,,,,,,,,2,101005052
1,2,5,52,3,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",2,2,-8,2,,,,,,,,,,,,,,,2,101005052
1,2,5,52,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101005052
1,2,6,1,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101006001
1,2,6,11,1,1,1,"3",1,2,,,,,,,,1,300,,,,,,,,,,,,,,,5,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101006011
1,2,6,15,1,2,,,,2,,,,,,,,1,2400,,,,,,,,,,,,,,,1,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101006015
1,2,6,23,1,1,1,"1",1,2,,,,,,,,1,3000,,,,,,,,,,,,,,,4,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101006023
1,2,6,29,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,1,"12",1,1,-8,2,,,,,,,,,,,,,,,2,101006029
1,2,6,36,1,2,,,,2,,,,,,,,1,15000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101006036
1,2,6,42,1,2,,,,2,,,,,,,,1,1500,,,,,,,,,,,,,,,4,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101006042
1,2,7,10,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007010
1,2,7,11,1,2,,,,2,,,,,,,,3,2500,,,,,,,,,,,,,,,4,"1",1,2,,2,,,,,,,,,,,,,,,1,101007011
1,2,7,14,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007014
1,2,7,14,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007014
1,2,7,19,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007019
1,2,7,25,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,,2,,,,,,,,,,,,,,,1,101007025
1,2,7,26,1,2,,,,2,,,,,,,,3,100,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101007026
1,2,7,28,1,1,1,"1",2,1,2003,850,,,,,,1,1000,,,,,,,,,,,,,,,6,"1",2,2,-8,2,,,,,,,,,,,,,,,2,101007028
1,2,7,33,3,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007033
1,2,7,33,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007033
1,2,7,33,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007033
1,2,7,36,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,,101007036
1,2,7,68,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101007068
1,2,7,82,1,2,,,,1,2002,600,,,,,,3,2000,,,,,,,,,,,,,,,2,"8",1,2,-8,2,,,,,,,,,,,,,,,2,101007082
1,2,7,82,2,2,,,,1,2002,400,,,,,,3,1000,,,,,,,,,,,,,,,2,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101007082
1,2,25,2,2,2,,"1",1,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025002
1,2,25,2,1,1,1,"1",1,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025002
1,2,25,3,1,2,,,,1,2000,570,,40,,,,3,3000,,,,,,,,,,,,,,,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025003
1,2,25,6,2,1,1,"1",2,2,,,,,,,,3,3500,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025006
1,2,25,6,1,1,1,"1",2,2,,,,,,,,3,2000,,,,,,,,,,,,,,,1,"12",1,2,-8,2,,,,,,,,,,,,,,,1,101025006
1,2,25,12,1,1,1,"1",1,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025012
1,2,25,13,2,1,1,"1",2,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025013
1,2,25,13,1,2,,,,2,,,,,,,,3,800,,,,,,,,,,,,,,,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101025013
1,2,25,33,2,2,,,,1,1998,500,,,,,,3,7000,,,,,,,,,,,,,,,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025033
1,2,25,33,1,2,,,,2,,,,,,,,4,3500,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025033
1,2,25,37,2,1,1,"1",2,2,,,,,,,,3,3500,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025037
1,2,25,37,1,1,2,"1",2,2,,,,,,,,3,7000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025037
1,2,25,43,1,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025043
1,2,25,43,2,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025043
1,2,25,44,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,1,"12",1,2,-8,2,,,,,,,,,,,,,,,1,101025044
1,2,25,50,1,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025050
1,2,25,51,1,1,1,"1",1,2,,,,,,,,3,1000,,,,,,,,,,,,,,,4,"14",1,2,-8,2,,,,,,,,,,,,,,,1,101025051
1,2,25,54,1,1,1,"1",2,2,,,,,,,,3,30000,,,,,,,,,,,,,,,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101025054
1,2,25,54,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,5,"1",1,2,-8,1,4,9,5,2,2,2,4,2,-8,,,30,,2,2,101025054
1,2,25,97,1,1,2,"1",1,2,,,,,,,,3,3000,,,,,,,,,,,,,,,4,"1",1,2,,2,,,,,,,,,,,,,,,1,101025097
1,2,25,100,2,1,1,"1",1,1,2001,120,,,,,,3,1200,,,,,,,,,,,,,,,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025100
1,2,25,100,1,2,,,,2,,,,,,,,3,1200,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025100
1,2,25,101,1,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101025101
1,2,26,4,1,2,,,,6,,,,,,,,,,,100,,25,,1993,,100,,2,,,3,2,6,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026004
1,2,26,6,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026006
1,2,26,8,2,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026008
1,2,26,8,1,2,,,,2,,,,,,,,3,600,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026008
1,2,26,10,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026010
1,2,26,10,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101026010
1,2,26,17,1,2,,,,2,,,,,,,,3,200,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026017
1,2,26,19,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101026019
1,2,26,23,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,1,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026023
1,2,26,23,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101026023
1,2,26,24,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026024
1,2,26,24,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026024
1,2,26,26,1,1,1,"1",2,2,,,,,,,,3,3000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026026
1,2,26,29,1,2,,,,2,,,,,,,,2,3000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026029
1,2,26,30,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"1",1,1,,2,,,,,,,,,,,,,,,1,101026030
1,2,26,30,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,,2,,,,,,,,,,,,,,,1,101026030
1,2,26,40,1,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026040
1,2,26,40,2,1,,"1",2,4,,,,,,,,,,,,,,,,,,,2,,,3,7,6,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101026040
1,2,26,42,3,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026042
1,2,26,42,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026042
1,2,26,42,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101026042
1,2,26,43,1,1,1,"1",1,4,,,,,,,,,,,,,,,,,,,2,,,3,1,5,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101026043
1,2,26,43,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",2,2,-8,2,,,,,,,,,,,,,,,1,101026043
1,2,28,8,4,2,,,,2,,,,,,,,3,600,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028008
1,2,28,8,1,2,,,,2,,,,,,,,3,500,,,,,,,,,,,,,,,5,"1",1,2,-8,1,5,,5,1,2,2,1,1,7,,,120,,2,2,101028008
1,2,28,8,3,2,,,,2,,,,,,,,3,750,,,,,,,,,,,,,,,4,"1",1,2,-8,1,1,2,4,2,2,2,1,5,-8,,,140,,1,2,101028008
1,2,28,8,2,2,,,,2,,,,,,,,3,1500,,,,,,,,,,,,,,,5,"1",1,2,-8,1,16,,5,1,2,2,1,1,-8,,,150,,2,2,101028008
1,2,28,9,1,2,,,,2,,,,,,,,3,3200,,,,,,,,,,,,,,,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101028009
1,2,28,9,3,2,,,,2,,,,,,,,3,5200,,,,,,,,,,,,,,,4,"1",1,2,-8,1,7,,4,2,2,2,1,5,-8,,,140,,1,2,101028009
1,2,28,9,2,2,,,,2,,,,,,,,3,4500,,,,,,,,,,,,,,,4,"1",1,2,-8,1,9,,4,2,2,1,4,2,-8,,,60,,2,2,101028009
1,2,28,10,1,1,1,"1",2,2,,,,,,,,4,4500,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028010
1,2,28,15,1,2,,,,2,,,,,,,,3,3000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028015
1,2,28,21,3,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,5,"11",2,2,-8,2,,,,,,,,,,,,,,,1,101028021
1,2,28,21,2,2,,,,2,,,,,,,,3,1500,,,,,,,,,,,,,,,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101028021
1,2,28,21,1,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101028021
1,2,28,26,1,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"1",1,2,-8,1,1,2,6,2,2,2,1,2,-8,,,150,,2,2,101028026
1,2,28,28,1,2,,,,2,,,,,,,,3,6000,,,,,,,,,,,,,,,4,"7",1,2,-8,2,,,,,,,,,,,,,,,1,101028028
1,2,28,32,2,2,,,,2,,,,,,,,3,4000,,,,,,,,,,,,,,,5,"1",1,2,-8,1,2,,5,2,2,2,1,1,-8,,,120,,2,2,101028032
1,2,28,32,1,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,5,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028032
1,2,28,34,1,2,,,,2,,,,,,,,3,5000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101028034
1,2,28,35,1,2,,,,2,,,,,,,,3,14000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028035
1,2,28,35,3,2,,,,2,,,,,,,,3,6000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101028035
1,2,28,35,2,2,,,,2,,,,,,,,3,8000,,,,,,,,,,,,,,,4,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101028035
1,2,28,41,1,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101028041
1,2,28,41,2,2,,,,2,,,,,,,,3,2500,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101028041
1,2,28,44,2,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101028044
1,2,28,44,3,2,,,,2,,,,,,,,3,1000,,,,,,,,,,,,,,,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101028044
1,2,28,44,1,2,,,,2,,,,,,,,3,3000,,,,,,,,,,,,,,,4,"8",1,1,-8,2,,,,,,,,,,,,,,,1,101028044
1,5,4,10,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,22,2,,,,,,,,,,,,,,,1,101004010
1,5,4,14,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,4,"8",1,1,-8,2,,,,,,,,,,,,,,,1,101004014
1,5,4,16,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004016
1,5,4,16,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,3,6,"8",1,1,7,2,,,,,,,,,,,,,,,1,101004016
1,5,4,20,1,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004020
1,5,4,22,1,2,,,,2,,,,,,,,4,2500,,,,,,,,,,,,,,,1,"1",1,2,-8,2,,,,,,,,,,,,,,,1,101004022
1,5,4,24,1,2,,,,2,,,,,,,,4,180,,,,,,,,,,,,,,,1,"8",1,1,-8,2,,,,,,,,,,,,,,,1,101004024
1,5,4,24,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,6,"1",1,1,25,2,,,,,,,,,,,,,,,1,101004024
1,5,4,31,1,2,,,,3,,,,,,,,,,,30,,3,,,10,0,,2,,,1,2,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004031
1,5,4,31,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004031
1,5,4,32,2,2,,,,3,,,,,,,,,,,10,,3,,,10,0,,2,,,1,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004032
1,5,4,32,1,2,,,,3,,,,,,,,,,,10,,3,,2,2,10,,2,,,1,2,6,"1",1,1,43,2,,,,,,,,,,,,,,,1,101004032
1,5,4,32,3,2,,,,3,,,,,,,,,,,10,,3,,,10,0,,2,,,1,2,6,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101004032
1,6,1,3,2,2,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101001003
1,6,1,3,1,2,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,4,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101001003
1,6,1,4,3,2,,,,2,,,,,,,,3,4000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101001004
1,6,1,4,1,2,,,,2,,,,,,,,3,4000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101001004
1,6,1,4,2,2,,,,2,,,,,,,,3,4000,,,,,,,,,,,,,,,4,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101001004
1,6,1,12,1,2,,,,2,,,,,,,,3,1500,,,,,,,,,,,,,,,1,"8",1,2,-8,2,,,,,,,,,,,,,,,1,101001012
1,6,1,15,3,2,,,,2,,,,,,,,3,10000,,,,,,,,,,,,,,,1,"8",1,2,13,2,,,,,,,,,,,,,,,1,101001015
1,6,1,15,2,2,,,,2,,,,,,,,3,2000,,,,,,,,,,,,,,,1,"8",1,2,13,2,,,,,,,,,,,,,,,1,101001015
1,6,1,15,1,2,,,,2,,,,,,,,3,3000,,,,,,,,,,,,,,,1,"8",1,2,13,2,,,,,,,,,,,,,,,1,101001015
1,6,1,23,1,2,,,,2,,,,,,,,3,4000,,,,,,,,,,,,,,,1,"11",1,2,-8,2,,,,,,,,,,,,,,,1,101001023
1,6,1,24,2,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101001024
1,6,1,24,1,1,1,"1",2,5,,,,,,,,,,,,,,,,,,,,,,,1,5,"1",1,1,-8,2,,,,,,,,,,,,,,,1,101001024
