"id1","id2","id3","id4","s4aix2_plotno","s4aix_299i","s4aix_299ii","s4aix_299iii","s4aix_300i","s4aix_300ii","s4aix_300iii","s4aix_301i","s4aix_301ii","s4aix_301iii","s4aix_302i","s4aix_302ii","s4aix_302iii","s4aix_303i","s4aix_303ii","s4aix_303iii","s4aix_304i","s4aix_304ii","s4aix_304iii","s4aix_305i","s4aix_305ii","s4aix_305iii","s4aix_306i","s4aix_306ii","s4aix_306iii","s4aix_307i","s4aix_307ii","s4aix_307iii","hhno"
1,2,5,36,1,,,,,,,,,,,,,,,,,,,4,2,1,4,2,1,,,,101005036
1,2,5,36,2,,,,,,,,,,,,,,,,,,,4,2,1,4,2,1,,,,101005036
1,2,5,41,1,,,,,,,,,,,,,,,,,,,,,,5,6,1,1,6,1,101005041
1,2,5,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,2,,,,,,,,,,,,,,,,,,,,,,18,6,1,18,2,2,101005052
1,2,6,1,1,,,,,,,,,,,,,,,,,,,16,2,1,5,3,3,,,,101006001
1,2,6,11,1,,,,,,,,,,,,,,,,,,,14,4,1,14,4,1,,,,101006011
1,2,6,15,1,,,,,,,,,,,,,,,,,,,5,6,2,5,4,1,5,4,1,101006015
1,2,6,23,1,3,6,2,,,,,,,,,,,,,,,,14,3,2,5,3,1,,,,101006023
1,2,6,29,1,,,,,,,,,,,,,,,,,,,12,6,2,7,4,1,,,,101006029
1,2,6,36,1,14,6,3,,,,,,,,,,,,,,,,16,4,1,,,,,,,101006036
1,2,6,42,1,7,2,1,5,2,5,,,,,,,,,,,,,,,,7,1,1,,,,101006042
1,2,7,10,1,,,,,,,,,,,,,,,,,,,,,,15,4,1,,,,101007010
1,2,7,11,1,,,,,,,,,,,,,5,3,2,,,,,,,,,,,,,101007011
1,2,7,14,1,,,,,,,,,,,,,,,,,,,5,3,1,5,2,1,,,,101007014
1,2,7,14,2,,,,,,,,,,,,,,,,,,,5,3,1,5,4,1,,,,101007014
1,2,7,19,1,,,,,,,,,,,,,,,,,,,14,3,1,,,,,,,101007019
1,2,7,25,1,,,,,,,,,,,,,,,,,,,,,,14,5,1,14,5,2,101007025
1,2,7,26,1,,,,,,,,,,,,,,,,,,,,,,7,14,2,5,2,2,101007026
1,2,7,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007028
1,2,7,33,1,,,,,,,,,,,,,,,,,,,14,5,1,14,5,1,,,,101007033
1,2,7,33,3,,,,,,,,,,,,,,,,,,,6,5,1,6,,,,,,101007033
1,2,7,33,2,,,,,,,,,,,,,,,,,,,6,5,1,6,5,1,,,,101007033
1,2,7,36,1,,,,,,,,,,,,,,,,,,,30,4,1,14,2,1,,,,101007036
1,2,7,68,1,,,,,,,,,,,,,,,,,,,,,,5,5,1,,,,101007068
1,2,7,82,2,,,,,,,,,,,,,,,,,,,2,3,1,2,4,1,,,,101007082
1,2,7,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007082
1,2,25,2,1,,,,,,,,,,,,,,,,,,,10,10,3,10,10,1,5,5,2,101025002
1,2,25,2,2,,,,,,,,,,,,,,,,,,,5,5,3,5,5,1,2,4,1,101025002
1,2,25,3,1,4,3,1,,,,,,,,,,,,,,,,4,5,1,4,5,1,,,,101025003
1,2,25,6,1,3,4,3,,,,,,,,,,,,,,,,4,5,2,4,5,1,,,,101025006
1,2,25,6,2,2,4,3,,,,,,,,,,,,,,,,3,5,1,3,5,1,,,,101025006
1,2,25,12,1,10,5,10,,,,,,,,,,,,,,,,10,5,1,10,5,1,,,,101025012
1,2,25,13,2,,,,,,,,,,,,,,,,,,,6,6,1,6,6,1,,,,101025013
1,2,25,13,1,,,,,,,,,,,,,,,,,,,6,6,1,6,6,1,,,,101025013
1,2,25,33,1,4,6,2,,,,,,,,,,,,,,,,5,6,2,5,6,1,,,,101025033
1,2,25,33,2,4,6,2,,,,,,,,,,,,,,,,4,6,1,5,6,1,,,,101025033
1,2,25,37,1,20,4,3,18,3,3,,,,,,,,,,,,,15,3,1,15,3,1,,,,101025037
1,2,25,37,2,7,6,2,,,,,,,,,,,,,,,,3,4,1,4,3,1,,,,101025037
1,2,25,43,1,,,,,,,,,,,,,,,,,,,4,6,1,4,4,1,,,,101025043
1,2,25,43,2,,,,,,,,,,,,,,,,,,,10,5,1,5,4,1,,,,101025043
1,2,25,44,1,3,4,4,5,4,5,,,,,,,,,,,,,3,4,1,,,,,,,101025044
1,2,25,50,1,,,,,,,,,,,,,,,,,,,5,4,1,5,4,1,5,4,3,101025050
1,2,25,51,1,,,,,,,,,,,,,,,,,,,4,4,1,3,4,1,,,,101025051
1,2,25,54,1,,,,,,,,,,,,,,,,,,,20,8,1,20,8,1,,,,101025054
1,2,25,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025054
1,2,25,97,1,3,3,2,,,,,,,,,,,,,,,,3,3,1,3,3,1,,,,101025097
1,2,25,100,2,,,,,,,,,,,,,,,,,,,10,6,1,7,6,2,,,,101025100
1,2,25,100,1,,,,,,,,,,,,,,,,,,,10,6,1,7,6,2,,,,101025100
1,2,25,101,1,,,,,,,,,,,,,,,,,,,6,4,1,6,4,1,,,,101025101
1,2,26,4,1,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,101026004
1,2,26,6,1,,,,,,,,,,,,,,,,,,,14,5,1,14,5,1,,,,101026006
1,2,26,8,2,,,,,,,,,,,,,,,,,,,21,6,1,21,6,1,,,,101026008
1,2,26,8,1,,,,,,,,,,,,,,,,,,,14,6,1,,,,,,,101026008
1,2,26,10,1,,,,,,,,,,5,5,4,,,,,,,,,,,,,,,,101026010
1,2,26,10,2,,,,,,,,,,7,4,3,,,,,,,,,,,,,,,,101026010
1,2,26,17,1,7,4,3,,,,,,,,,,,,,,,,,,,14,5,1,,,,101026017
1,2,26,19,1,,,,,,,,,,,,,,,,,,,7,5,1,7,5,1,,,,101026019
1,2,26,23,1,4,5,2,,,,,,,,,,,,,,,,7,3,1,7,3,1,,,,101026023
1,2,26,23,2,,,,,,,,,,4,6,2,,,,,,,,,,,,,,,,101026023
1,2,26,24,1,,,,,,,,,,5,5,1,,,,,,,,,,,,,,,,101026024
1,2,26,24,2,,,,,,,,,,,,,,,,,,,,,,14,4,1,14,4,1,101026024
1,2,26,26,1,,,,,,,,,,,,,,,,,,,21,5,1,21,5,1,10,2,3,101026026
1,2,26,29,1,3,5,2,,,,,,,,,,,,,,,,,,,5,4,1,,,,101026029
1,2,26,30,1,3,5,2,,,,,,,,,,,,,,,,,,,6,4,1,,,,101026030
1,2,26,30,2,,,,,,,,,,,,,,,,,,,,,,21,4,1,,,,101026030
1,2,26,40,2,,,,,,,,,,5,5,1,,,,,,,14,5,1,,,,,,,101026040
1,2,26,40,1,,,,,,,,,,5,5,2,,,,,,,7,5,1,7,5,1,3,3,1,101026040
1,2,26,42,1,,,,,,,,,,10,5,2,15,5,3,,,,7,5,1,7,5,1,,,,101026042
1,2,26,42,2,,,,,,,,,,7,5,2,15,5,3,,,,7,5,1,7,5,1,,,,101026042
1,2,26,42,3,,,,,,,,,,,,,,,,,,,14,5,1,14,5,1,,,,101026042
1,2,26,43,2,,,,,,,,,,,,,,,,,,,14,5,1,14,5,1,,,,101026043
1,2,26,43,1,,,,,,,,,,7,5,1,,,,,,,7,5,1,,,,,,,101026043
1,2,28,8,4,6,6,2,,,,,,,,,,,,,,,,,,,8,5,1,,,,101028008
1,2,28,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028008
1,2,28,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028009
1,2,28,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028009
1,2,28,9,1,10,6,2,,,,,,,,,,,,,,,,15,6,1,10,6,1,10,6,4,101028009
1,2,28,10,1,4,6,2,,,,,,,,,,,,,,,,8,7,1,5,6,2,,,,101028010
1,2,28,15,1,16,7,1,,,,,,,,,,,,,,,,,,,35,7,1,10,5,1,101028015
1,2,28,21,1,5,6,2,,,,,,,,,,,,,,,,,,,10,5,1,6,5,2,101028021
1,2,28,21,2,5,6,2,,,,,,,,,,,,,,,,,,,8,5,1,5,5,2,101028021
1,2,28,21,3,4,6,2,,,,,,,,,,,,,,,,,,,8,5,1,4,5,2,101028021
1,2,28,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028026
1,2,28,28,1,15,6,2,,,,,,,,,,,,,,,,20,7,1,12,5,1,,,,101028028
1,2,28,32,1,12,6,2,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,34,1,,,,,,,,,,,,,,,,,,,10,6,1,12,5,1,10,5,2,101028034
1,2,28,35,3,15,6,2,,,,,,,,,,,,,,,,15,7,1,12,6,2,7,5,2,101028035
1,2,28,35,1,20,6,2,,,,,,,,,,,,,,,,18,7,1,14,6,1,6,5,2,101028035
1,2,28,35,2,18,6,2,,,,,,,,,,,,,,,,16,7,1,15,7,1,6,5,2,101028035
1,2,28,41,2,25,6,5,,,,,,,,,,,,,,,,18,7,2,8,5,1,,,,101028041
1,2,28,41,1,20,6,5,,,,,,,,,,,,,,,,15,7,2,6,5,1,,,,101028041
1,2,28,44,1,,,,,,,,,,,,,,,,,,,18,5,1,12,5,1,8,4,2,101028044
1,2,28,44,3,,,,,,,,,,,,,,,,,,,15,5,1,10,5,1,5,4,2,101028044
1,2,28,44,2,,,,,,,,,,,,,,,,,,,15,5,1,10,5,1,6,4,2,101028044
1,5,4,10,1,,,,,,,,,,,,,,,,,,,,,,24,4,4,4,4,3,101004010
1,5,4,14,1,,,,,,,,,,,,,,,,,,,40,4,3,40,4,3,40,4,4,101004014
1,5,4,16,2,,,,,,,,,,,,,,,,,,,30,5,1,30,5,1,,,,101004016
1,5,4,16,1,,,,,,,,,,,,,,,,,,,60,5,1,60,5,1,,,,101004016
1,5,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101004020
1,5,4,22,1,,,,,,,,,,,,,,,,,,,40,4,1,40,4,1,,,,101004022
1,5,4,24,1,,,,,,,,,,,,,,,,,,,40,3,1,30,3,1,,,,101004024
1,5,4,24,2,,,,,,,,,,,,,,,,,,,8,3,1,8,4,1,,,,101004024
1,5,4,31,2,,,,,,,,,,,,,,,,,,,,,,60,4,1,,,,101004031
1,5,4,31,1,,,,,,,,,,,,,,,,,,,,,,30,4,1,,,,101004031
1,5,4,32,3,,,,,,,,,,,,,,,,,,,,,,8,5,1,6,4,3,101004032
1,5,4,32,2,,,,,,,,,,,,,,,,,,,,,,8,5,1,6,4,3,101004032
1,5,4,32,1,,,,,,,,,,,,,,,,,,,,,,20,5,1,10,4,3,101004032
1,6,1,3,2,,,,2,4,2,,,,,,,,,,,,,2,4,1,,,,,,,101001003
1,6,1,3,1,,,,,,,,,,,,,,,,,,,3,5,1,3,5,1,,,,101001003
1,6,1,4,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,101001004
1,6,1,4,1,3,4,3,,,,,,,,,,,,,,,,3,4,1,,,,,,,101001004
1,6,1,4,2,4,4,3,,,,,,,,,,,,,,,,3,6,3,,,,,,,101001004
1,6,1,12,1,,,,,,,,,,,,,,,,,,,,,,18,5,1,,,,101001012
1,6,1,15,3,,,,,,,,,,,,,,,,,,,1,3,10,1,3,5,1,3,4,101001015
1,6,1,15,1,3,6,2,,,,,,,,,,,,,,,,,,,4,5,2,4,6,1,101001015
1,6,1,15,2,,,,2,6,4,,,,,,,,,,,,,,,,5,7,1,5,7,1,101001015
1,6,1,23,1,,,,,,,,,,,,,,,,,,,,,,5,8,2,5,8,3,101001023
1,6,1,24,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101001024
1,6,1,24,1,,,,,,,,,,,,,,,,,,,5,5,1,5,5,2,,,,101001024
1,6,1,24,2,,,,,,,,,,,,,,,,,,,5,4,1,5,4,2,,,,101001024
1,6,1,29,1,,,,,,,,,,,,,,,,,,,4,3,1,4,3,1,3,3,3,101001029
1,6,1,34,1,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,101001034
1,6,1,35,1,,,,,,,,,,,,,,,,,,,25,9,1,25,9,1,4,2,3,101001035
1,6,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101002002
1,6,2,23,1,,,,,,,,,,7,4,4,,,,,,,,,,,,,,,,101002023
1,6,2,28,1,8,4,3,,,,,,,,,,,,,,,,5,2,1,5,2,1,,,,101002028
1,6,2,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101002052
1,8,13,6,1,,,,,,,,,,,,,,,,,,,33,8,1,,,,,,,101013006
1,8,13,6,2,,,,,,,,,,,,,,,,,,,20,8,1,,,,,,,101013006
1,8,13,8,3,3,8,3,,,,,,,,,,,,,,,,44,8,1,44,8,1,,,,101013008
1,8,13,8,2,3,7,3,,,,,,,,,,,,,,,,44,8,1,44,8,1,,,,101013008
1,8,13,8,1,3,7,3,,,,,,,,,,,,,,,,44,8,1,44,8,1,,,,101013008
1,8,13,15,1,3,8,3,,,,,,,,,,,,,,,,,,,40,6,1,,,,101013015
1,8,13,15,3,3,8,3,,,,,,,,,,,,,,,,,,,40,6,1,,,,101013015
1,8,13,15,2,3,8,3,,,,,,,,,,,,,,,,,,,40,6,1,,,,101013015
1,8,13,19,1,,,,,,,,,,,,,,,,,,,4,6,2,4,6,1,,,,101013019
1,8,13,20,1,3,8,3,,,,,,,,,,,,,,,,43,8,3,33,8,2,,,,101013020
1,8,13,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013020
1,8,13,20,2,3,8,4,,,,,,,,,,,,,,,,63,8,3,43,8,2,,,,101013020
1,8,13,28,2,,,,,,,,,,,,,,,,,,,23,8,3,23,8,1,,,,101013028
1,8,13,28,4,,,,,,,,,,,,,,,,,,,43,8,3,43,8,1,,,,101013028
1,8,13,28,3,,,,,,,,,,,,,,,,,,,43,8,3,43,8,1,,,,101013028
1,8,13,28,1,,,,,,,,,,,,,,,,,,,23,8,3,23,8,1,,,,101013028
1,8,13,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,101013028
1,8,13,30,1,,,,,,,,,,,,,,,,,,,47,8,2,,,,,,,101013030
1,8,13,30,2,,,,,,,,,,,,,,,,,,,42,8,2,,,,,,,101013030
1,8,13,32,1,,,,,,,,,,,,,,,,,,,62,7,1,62,7,2,,,,101013032
1,8,13,36,1,,,,,,,,,,,,,,,,,,,42,8,1,42,8,2,,,,101013036
1,8,13,36,2,,,,,,,,,,,,,,,,,,,42,8,1,42,8,2,,,,101013036
1,8,13,48,1,,,,,,,,,,,,,,,,,,,54,9,1,54,9,1,,,,101013048
1,8,13,66,1,,,,,,,,,,,,,,,,,,,,,,30,8,1,,,,101013066
1,8,13,67,4,3,7,4,,,,,,,,,,,,,,,,19,7,3,27,7,2,,,,101013067
1,8,13,67,1,3,7,4,,,,,,,,,,,,,,,,32,7,3,27,7,2,,,,101013067
1,8,13,67,2,5,6,2,,,,,,,,,,,,,,,,24,7,3,24,7,2,,,,101013067
1,8,13,67,3,3,7,4,,,,,,,,,,,,,,,,19,7,3,27,7,2,,,,101013067
1,8,13,87,2,,,,,,,,,,,,,,,,,,,43,8,1,43,8,2,,,,101013087
1,8,13,87,1,,,,,,,,,,,,,,,,,,,43,8,1,43,8,2,,,,101013087
1,8,13,95,2,1,8,3,1,8,3,,,,1,8,2,,,,,,,1,8,2,1,8,1,,,,101013095
1,8,13,95,1,,,,1,7,8,,,,1,8,2,,,,,,,1,8,2,1,8,1,,,,101013095
1,8,13,103,2,2,9,2,,,,,,,,,,,,,,,,63,9,1,53,9,1,,,,101013103
1,8,13,103,3,3,9,2,,,,,,,,,,,,,,,,62,9,1,52,9,1,,,,101013103
1,8,13,103,1,2,9,2,,,,,,,,,,,,,,,,63,9,1,53,9,1,,,,101013103
1,8,14,11,1,7,6,3,,,,,,,,,,,,,,,,50,4,1,40,3,1,,,,101014011
1,8,14,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014011
1,8,14,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,15,3,2,4,6,,,,,,,,,,,,,,,,30,3,1,30,3,1,,,,101014015
1,8,14,15,4,,,,,,,,,,,,,,,,,,,48,4,3,48,4,2,14,4,1,101014015
1,8,14,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,22,1,10,3,2,,,,,,,,,,,,,,,,50,5,1,50,5,1,,,,101014022
1,8,14,33,1,,,,,,,,,,,,,,,,,,,14,4,1,12,2,1,,,,101014033
1,8,14,33,3,,,,,,,,,,,,,,,,,,,14,4,1,12,2,1,,,,101014033
1,8,14,33,2,,,,,,,,,,,,,,,,,,,16,4,1,12,2,1,,,,101014033
1,8,14,36,2,,,,,,,,,,,,,,,,,,,50,6,2,,,,,,,101014036
1,8,14,36,1,5,6,1,,,,,,,,,,,,,,,,65,4,1,,,,,,,101014036
1,8,14,41,1,,,,,,,,,,,,,,,,,,,16,14,3,12,9,1,10,9,2,101014041
1,8,14,41,2,,,,,,,,,,,,,,,,,,,12,11,2,12,8,2,11,9,2,101014041
1,8,14,46,2,,,,,,,,,,,,,,,,,,,38,4,2,38,4,2,,,,101014046
1,8,14,46,5,,,,,,,,,,,,,,,,,,,30,4,2,30,4,,,,,101014046
1,8,14,46,4,,,,,,,,,,,,,,,,,,,30,4,2,30,4,,,,,101014046
1,8,14,46,1,,,,,,,,,,,,,,,,,,,45,4,2,40,4,2,,,,101014046
1,8,14,46,3,,,,,,,,,,,,,,,,,,,60,3,2,65,4,2,,,,101014046
1,8,14,57,1,3,9,2,,,,,,,,,,,,,,,,48,9,2,56,9,2,21,9,2,101014057
1,8,14,57,2,3,9,2,,,,,,,,,,,,,,,,48,9,2,56,9,2,21,9,2,101014057
1,8,14,65,1,,,,,,,,,,,,,,,,,,,36,4,2,,,,,,,101014065
1,8,14,65,2,,,,,,,,,,,,,,,,,,,24,4,1,24,6,1,,,,101014065
1,8,14,65,3,,,,,,,,,,,,,,,,,,,60,4,2,,,,,,,101014065
1,8,14,69,1,7,8,3,,,,,,,,,,,,,,,,60,9,1,60,9,1,,,,101014069
1,8,14,69,2,7,8,3,,,,,,,,,,,,,,,,60,9,1,60,9,1,,,,101014069
1,8,14,82,2,1,9,4,,,,,,,,,,,,,,,,45,9,1,45,9,3,25,9,1,101014082
1,8,14,82,1,1,9,4,,,,,,,,,,,,,,,,48,9,1,48,9,3,24,9,1,101014082
1,8,14,82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014082
1,8,14,113,1,,,,,,,,,,,,,,,,,,,,,,24,4,1,,,,101014113
1,8,14,118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014118
1,8,14,118,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014118
1,8,14,129,1,,,,,,,,,,,,,,,,,,,60,5,1,60,5,1,,,,101014129
1,8,15,6,1,2,4,5,,,,,,,,,,,,,,,,15,2,1,,,,,,,101015006
1,8,15,6,4,,,,,,,,,,,,,,,,,,,4,2,1,,,,,,,101015006
1,8,15,6,2,2,4,5,,,,,,,,,,,,,,,,6,2,1,,,,,,,101015006
1,8,15,6,3,,,,12,4,4,,,,,,,,,,,,,4,2,1,4,3,1,,,,101015006
1,8,15,9,1,4,7,2,,,,,,,,,,,,,,,,60,4,1,,,,,,,101015009
1,8,15,34,1,6,8,5,,,,,,,,,,,,,,,,15,7,1,,,,,,,101015034
1,8,15,34,2,2,8,2,,,,,,,,,,,,,,,,18,7,1,,,,,,,101015034
1,8,15,34,3,,,,,,,,,,,,,,,,,,,30,6,1,,,,32,6,1,101015034
1,8,15,49,1,,,,,,,,,,,,,,,,,,,,,,38,6,1,,,,101015049
1,8,15,49,2,,,,,,,,,,,,,,,,,,,,,,30,6,1,,,,101015049
1,8,15,55,1,,,,,,,,,,,,,,,,,,,,,,30,6,1,,,,101015055
1,8,15,55,2,,,,,,,,,,,,,,,,,,,,,,35,6,1,,,,101015055
1,8,15,64,3,,,,,,,,,,,,,,,,,,,15,3,1,,,,,,,101015064
1,8,15,64,2,,,,,,,,,,,,,,,,,,,10,3,1,,,,,,,101015064
1,8,15,64,4,,,,,,,,,,,,,,,,,,,3,2,1,,,,,,,101015064
1,8,15,64,1,,,,,,,,,,,,,,,,,,,10,2,1,,,,,,,101015064
1,8,15,65,1,,,,,,,,,,,,,,,,,,,24,3,1,,,,30,3,1,101015065
1,8,15,65,2,,,,,,,,,,,,,,,,,,,20,3,1,45,6,1,24,6,1,101015065
1,8,15,90,2,5,8,4,,,,,,,,,,,,,,,,22,6,1,19,6,1,,,,101015090
1,8,15,90,1,4,8,6,,,,,,,,,,,,,,,,20,6,1,19,6,1,,,,101015090
1,8,15,90,3,,,,,,,,,,,,,,,,,,,30,6,3,26,6,4,,,,101015090
1,8,15,119,1,10,3,1,,,,,,,,,,,,,,,,6,2,1,6,2,1,,,,101015119
1,8,15,120,2,1,2,1,,,,,,,,,,,,,,,,,,,1,2,1,,,,101015120
1,8,15,120,1,8,3,1,,,,,,,,,,,,,,,,,,,24,3,1,,,,101015120
1,8,15,149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015149
1,8,15,151,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015151
1,8,15,151,1,,,,,,,,,,,,,,,,,,,50,6,1,40,6,1,,,,101015151
1,8,15,188,1,4,4,5,,,,,,,,,,,,,,,,40,4,2,,,,,,,101015188
1,8,15,191,2,1,4,4,,,,,,,,,,,,,,,,,,,10,4,1,,,,101015191
1,8,15,191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015191
1,8,15,191,3,,,,,,,,,,,,,,,,,,,1,3,2,,,,,,,101015191
1,8,16,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016001
1,8,16,1,2,,,,,,,,,,,,,,,,,,,,,,3,8,1,,,,101016001
1,8,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016001
1,8,16,23,2,,,,,,,,,,,,,,,,,,,40,4,1,40,4,1,,,,101016023
1,8,16,23,3,,,,,,,,,,,,,,,,,,,30,4,1,30,4,1,,,,101016023
1,8,16,23,1,5,4,3,,,,,,,,,,,,,,,,25,4,1,25,4,1,,,,101016023
1,8,16,41,1,,,,,,,,,,,,,,,,,,,45,4,1,45,4,1,,,,101016041
1,8,16,53,2,,,,,,,,,,,,,,,,,,,10,5,1,,,,,,,101016053
1,8,16,53,1,,,,,,,,,,,,,,,,,,,10,5,1,,,,,,,101016053
1,8,16,107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016107
1,8,16,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016111
1,8,16,111,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016111
1,8,16,137,1,12,6,2,,,,,,,,,,,,,,,,,,,40,7,2,13,7,3,101016137
1,8,16,137,3,,,,,,,,,,,,,,,,,,,,,,28,6,2,5,7,3,101016137
1,8,16,137,2,6,6,2,,,,,,,,,,,,,,,,,,,37,7,2,13,7,3,101016137
